x,y,z,f_65_47,f_107_12,f_189_19,f_192_91,f_255_99,f_301_84,f_325_72,f_369_31,f_471_47,f_487_18,f_492_39,f_536_08,f_581_86,f_656_86,f_660_92,f_730_52,f_741_27,f_801_16,f_815_69,f_918_35,f_927_03,f_972_95,f_995_14,f_1060_1,f_1107_3,f_Freq_1156,f_Freq_1182,f_1232_6,f_1234_7,f_1328_1,f_1346_3,f_1362_9,f_1468_6,f_1483_3,f_Freq_1509,f_1543_8,f_1607_1,f_1630_5,f_Freq_1654,f_1695_2,f_1697_3,f_1827_4,f_Freq_1850,f_Freq_1904,f_1937_7,f_1982_7
-168.515100685984,-107.100817442462,31.2,5.75666307190153e-07+4.88971923980984e-09i,1.70386433175318e-06+4.12545942623429e-08i,1.46875516292422e-06+4.84667988792714e-08i,1.23768879225402e-06+3.57489733849761e-08i,-2.44735468176767e-06+-6.29037029199038e-07i,-2.34634928152291e-07+-1.65724048498403e-07i,5.69685230395614e-06+-3.49875387292542e-07i,1.38170735491793e-06+-2.76430465888376e-07i,-1.66287115097476e-06+1.34999331255167e-07i,6.97688579551271e-07+-1.51771964235443e-06i,7.12889192739678e-07+-9.81452411170709e-07i,-1.19921666710296e-06+1.14151467933563e-07i,9.70726554169361e-07+-8.49707930618999e-07i,-2.96647779043939e-06+-1.51720213680376e-06i,-1.35727729345207e-06+-1.51451832730613e-06i,5.96849655186646e-06+-5.63390157479307e-06i,-6.15054773923754e-06+2.82683384798134e-06i,-8.79220979920942e-06+5.50070284663737e-06i,-2.80139758100448e-06+3.70306274736069e-07i,-1.97024261076685e-06+-1.17393138067891e-06i,-1.78898996931491e-06+-1.30556371077408e-06i,-3.19286540115861e-06+-1.90637047776268e-06i,-1.68149237261626e-05+-2.24729738904946e-05i,-3.04786740383902e-06+-1.86219575999343e-07i,-4.14554464013257e-06+4.59628264358604e-07i,2.13062201187129e-05+-6.74116894369238e-06i,-3.30684222779647e-07+4.13321589391027e-07i,-5.63879054470923e-06+-1.25672548997423e-06i,-5.15011478779038e-06+-8.03843666744329e-07i,-6.36549079513412e-07+-3.43773752860834e-06i,-3.55222506220204e-06+-3.11900358345122e-07i,-9.33681043551858e-07+6.14303716175817e-07i,-3.46886298094767e-06+4.18554184829559e-06i,2.21930982364994e-05+1.87310896571044e-06i,1.18044552036883e-06+1.23605422725629e-06i,-1.64680684330022e-06+4.96377618003165e-06i,3.52931140602059e-07+3.28775791662423e-06i,3.6682282744227e-07+3.44726163705894e-06i,-2.04633199123921e-06+5.9019780698027e-06i,9.44021370436539e-07+3.94974833903856e-06i,1.13316685238209e-06+3.85007662911746e-06i,2.19743829198528e-06+-2.20330394850696e-06i,1.20905476396407e-06+-4.98461429079381e-06i,9.8580282505532e-06+1.60517478947787e-05i,5.5100120631431e-06+5.26370825146071e-06i,3.09975282690173e-06+6.1143722032719e-06i
-168.515100685984,-92.8192649514519,31.2,7.52424257474802e-07+4.74369493589777e-09i,3.05357535971515e-06+4.92645962783549e-08i,1.65060778274572e-06+4.17363244509356e-08i,1.62854356303465e-06+3.28873610547696e-08i,-4.38828108933964e-06+-6.53299276850375e-07i,-4.81569448807304e-07+-1.68605779464056e-07i,7.41301772614562e-06+-4.18506626294526e-07i,1.72680248759004e-06+-3.00828959722301e-07i,-1.83229470708855e-06+1.31534474435286e-07i,-6.01178008123715e-07+-1.6521673959032e-06i,2.2599593852702e-07+-1.06967910714563e-06i,-1.33738225872542e-06+1.00090961927473e-07i,1.2664781655162e-06+-9.43712049212958e-07i,-5.40969817795076e-06+-1.66795043974847e-06i,-2.73071109312962e-06+-1.67017926750088e-06i,7.97320709456224e-06+-6.20886990861134e-06i,-8.85005846811254e-06+2.98016886663709e-06i,-8.2738442338654e-06+6.01924004438889e-06i,-2.8159782407367e-06+3.00556882201464e-07i,-2.07904037758803e-06+-1.54328041808269e-06i,-1.85828262718157e-06+-1.68618964320897e-06i,-3.57130388346716e-06+-2.46956038897523e-06i,-1.40778969371815e-05+-2.6940577392166e-05i,-3.73010813225077e-06+-5.80158146553486e-07i,-5.24978106696181e-06+7.51759251713431e-08i,3.03409845483025e-05+-6.50406490206589e-06i,-3.30149249025777e-08+2.87410297644791e-07i,-5.99180826024545e-06+-2.67785020379881e-06i,-5.55035812739335e-06+-2.02874948741828e-06i,4.52809675154753e-07+-4.70862075362813e-06i,-3.67286878679004e-06+-8.67632852674404e-07i,-1.05573187089818e-06+5.65702111453997e-08i,-3.99632694437474e-06+4.38293828697569e-06i,5.93411250244813e-06+1.10003382701407e-05i,2.96348189742125e-07+1.37255520568807e-06i,-2.73324625893403e-06+5.7685587147496e-06i,-4.45007207125221e-07+3.86172450733362e-06i,-4.81473784396451e-07+4.0347622430786e-06i,-3.59548768518135e-06+6.15746736783513e-06i,-6.80841042095689e-07+5.12840805835184e-06i,-5.25274900985238e-07+5.05987584920422e-06i,3.08410980062981e-06+-2.81586768952085e-06i,2.30832133123408e-06+-6.64233027667636e-06i,9.55986240902465e-06+2.34384303060438e-05i,5.90191329164994e-06+8.11575083173385e-06i,2.28628030583405e-06+8.3496820937139e-06i
-168.515100685984,-78.5377124604416,31.2,9.35485035408072e-07+4.65619698143165e-09i,5.19611584126846e-06+5.69210773283673e-08i,1.52109736125355e-06+3.58031317541033e-08i,1.95479592411882e-06+3.0334255479453e-08i,-6.07963948281489e-06+-6.80374834695788e-07i,-4.13523678979588e-07+-1.71963647857469e-07i,7.53515347578421e-06+-4.92282869770617e-07i,1.98359272441773e-06+-3.2682277185152e-07i,-1.91037869503986e-06+1.2647168673474e-07i,-2.38394350935696e-06+-1.78864218465519e-06i,-4.84744299662493e-07+-1.16001361044971e-06i,-1.40939015162802e-06+8.35103002026766e-08i,1.57920304343788e-06+-1.04216209060424e-06i,-8.78379437020472e-06+-1.82979470919512e-06i,-4.69611138919811e-06+-1.83358468142134e-06i,9.72218800154174e-06+-6.79814158858972e-06i,-1.18142138961951e-05+3.12843743904235e-06i,-4.93584654352321e-06+6.62492327328082e-06i,-2.13016807730961e-06+2.36234894854066e-07i,-1.95845652260339e-06+-1.92659898316852e-06i,-1.70999500251194e-06+-2.0790931420018e-06i,-3.46209402966037e-06+-3.05661087762056e-06i,1.91800605460334e-06+-3.23286467730303e-05i,-4.56834860168289e-06+-9.8383853187439e-07i,-6.46018547727239e-06+-3.17417762603393e-07i,4.0424179718256e-05+-6.31758873026669e-06i,5.18904505818183e-07+1.39064372553852e-07i,-6.98919448996112e-06+-4.16100989542678e-06i,-6.49863434726947e-06+-3.3075092013724e-06i,1.95906051713897e-06+-6.08439233676966e-06i,-2.85425436764323e-06+-1.4828026492966e-06i,-1.70187914259826e-06+-5.50615301973906e-07i,-5.79436949858719e-06+4.62569911862448e-06i,-9.71017447028478e-06+2.12963709950044e-05i,-5.25909931045803e-07+1.48563084351935e-06i,-3.29396594646634e-06+6.62704335493175e-06i,-1.17344776017446e-06+4.44964386228513e-06i,-1.26575201696781e-06+4.63072246144803e-06i,-4.67656812648903e-06+6.30665391312752e-06i,-2.75330838395419e-06+6.39932586672978e-06i,-2.72849604394966e-06+6.38735436758252e-06i,4.16511184068099e-06+-3.654555249554e-06i,3.43908239069332e-06+-8.63764207088829e-06i,1.05868331833719e-05+3.17186999434565e-05i,7.19907051950287e-06+1.12162303502213e-05i,3.52779111089746e-06+1.05571122925227e-05i
-168.515100685984,-64.2561599694313,31.2,1.14136503240299e-06+4.61511006133835e-09i,8.49307600757659e-06+6.27420070790113e-08i,9.93640386862138e-07+3.13407005175248e-08i,2.22632970937856e-06+2.82431234825654e-08i,-7.7134427679406e-06+-7.14693595437675e-07i,1.32621567880941e-07+-1.78014904668268e-07i,4.83868344512655e-06+-5.67287238852626e-07i,2.02579006256301e-06+-3.55429080682171e-07i,-1.91636424790365e-06+1.18061884489554e-07i,-4.05151929519318e-06+-1.93296623262911e-06i,-1.15909734308947e-06+-1.25692307156399e-06i,-1.39801661330766e-06+6.1473413088e-08i,1.90021599590401e-06+-1.14868296371097e-06i,-1.2526020612322e-05+-2.00255193881716e-06i,-6.90274164389838e-06+-2.00711664119592e-06i,1.11641456247351e-05+-7.3914734657054e-06i,-1.478116609887e-05+3.24910369834249e-06i,6.91674349373992e-07+7.30320780100435e-06i,-8.18498787073559e-07+1.71701290217594e-07i,-1.55386926800673e-06+-2.32592449772373e-06i,-1.29403188547645e-06+-2.48670363610574e-06i,-2.67420428738632e-06+-3.6690224323139e-06i,3.59555986234726e-05+-3.87006182294064e-05i,-5.56398212604074e-06+-1.41222904000069e-06i,-7.71374566367731e-06+-7.43778182619366e-07i,5.06326087371285e-05+-6.04681683625902e-06i,1.2678089160401e-06+-3.5927403979739e-08i,-9.32377254150796e-06+-5.73473583670237e-06i,-8.58824582730466e-06+-4.66936471763081e-06i,3.86132790028413e-06+-7.503785387605e-06i,-1.36120685658044e-06+-2.20336598015888e-06i,-2.98231269638761e-06+-1.20387468603071e-06i,-1.17782606309243e-05+4.82659655099644e-06i,-2.01470665734345e-06+3.26058067873818e-05i,6.57000041895045e-08+1.51510584912035e-06i,-2.7501906213967e-06+7.40385558903289e-06i,-1.35248940381068e-06+4.94747226919221e-06i,-1.46197907265154e-06+5.12501849179451e-06i,-4.25114319864671e-06+6.19078038083208e-06i,-4.34306477322675e-06+7.56839919049482e-06i,-4.45166867211647e-06+7.63214840396908e-06i,5.64900258601931e-06+-4.6163325020067e-06i,5.14774141580368e-06+-1.07761129998178e-05i,1.05273418878258e-05+4.0443851722948e-05i,8.57608121363624e-06+1.44771906053764e-05i,7.04787634180521e-06+1.26452953168422e-05i
-168.515100685984,-49.9746074784211,31.2,1.3306883372939e-06+4.58309712574438e-09i,1.25990263815303e-05+6.74943483673854e-08i,6.51071644030426e-08+2.7660106528764e-08i,2.30164229469244e-06+2.63297449324075e-08i,-7.81910446065735e-06+-7.47048581785754e-07i,1.62677092835845e-06+-1.84315629523403e-07i,-2.8997386599482e-06+-6.45655396376575e-07i,1.64871144374824e-06+-3.8446388241437e-07i,-2.35242059824796e-06+1.07602003994423e-07i,-2.75794068413195e-06+-2.06943234942286e-06i,-5.33906466631386e-07+-1.35314717259668e-06i,-1.7140012870644e-06+3.73677846509429e-08i,2.16823602086286e-06+-1.25909614800637e-06i,-1.35157771256393e-05+-2.16268849373235e-06i,-7.36488655046522e-06+-2.18181893877532e-06i,1.33534151558197e-05+-8.00255713248155e-06i,-1.74776344444678e-05+3.34886330569169e-06i,1.94192165774411e-06+7.9874849899019e-06i,-4.40177784901994e-07+1.0850379685382e-07i,-1.17451989667322e-06+-2.75134321608805e-06i,-9.08056772242288e-07+-2.92145280249191e-06i,-1.70105238649594e-06+-4.3289116333169e-06i,7.81269915645062e-05+-4.58213401657771e-05i,-6.67944400915859e-06+-1.87996860090303e-06i,-9.03691663678084e-06+-1.21422151109786e-06i,6.02729963424654e-05+-5.78886179311501e-06i,1.87679561503717e-06+-2.42764661709025e-07i,-1.33032251198802e-05+-7.44397496664982e-06i,-1.21037222692686e-05+-6.14966567113765e-06i,5.67403621500681e-06+-9.04546029964433e-06i,-1.19068388929465e-06+-3.00163288336657e-06i,-4.19541010174125e-06+-1.91435749200705e-06i,-2.35270778958099e-05+5.0735617165922e-06i,4.49035168946533e-05+4.61231312719034e-05i,3.10063609473782e-06+1.53526783486865e-06i,-1.04794903386989e-06+8.24312771310522e-06i,-5.99169899963777e-07+5.49279126199763e-06i,-6.13531774672976e-07+5.66800549385497e-06i,-1.61247245880163e-06+6.02782943891062e-06i,-4.24623083985465e-06+8.84153744371796e-06i,-4.31441540891052e-06+9.00647516169107e-06i,7.62134424940563e-06+-5.74496433529229e-06i,7.80414412071263e-06+-1.32022368434693e-05i,7.94784160512602e-06+5.02851814055174e-05i,9.27352009485515e-06+1.81570022842536e-05i,1.10330421107223e-05+1.49448086059434e-05i
-168.515100685984,-35.6930549874108,31.2,1.48430521347534e-06+4.58548056022106e-09i,1.68872281587341e-05+7.09265206366017e-08i,-1.02327836100624e-06+2.53568168132851e-08i,2.21349052840593e-06+2.49106023583877e-08i,-7.10261794694236e-06+-7.74058953946603e-07i,3.74191778571795e-06+-1.89652464378968e-07i,-1.47657165596692e-05+-7.16399450153097e-07i,7.94286353547576e-07+-4.09141666266714e-07i,-3.19332478340531e-06+9.82937445932072e-08i,2.43721787109524e-06+-2.16794744763606e-06i,1.80374429378531e-06+-1.42870313044288e-06i,-2.31683943963884e-06+1.76369013129212e-08i,2.29941763663958e-06+-1.34898540586574e-06i,-9.40983534568278e-06+-2.26388728012758e-06i,-4.61596025509545e-06+-2.31567973895516e-06i,1.67960485606618e-05+-8.49337601928279e-06i,-1.91103433747165e-05+3.40982835083556e-06i,-8.97916914699756e-06+8.38309709492725e-06i,-3.0020944386745e-06+5.75108344786808e-08i,-1.48854572403975e-06+-3.09127184059373e-06i,-1.23415094146681e-06+-3.26639916845523e-06i,-2.21016848319887e-06+-4.85244408350582e-06i,8.59876800570109e-05+-5.01106434854492e-05i,-7.51918326246804e-06+-2.26638827462196e-06i,-1.02966114239135e-05+-1.60840204370517e-06i,7.05128975564479e-05+-5.39438539026462e-06i,2.22996488267922e-06+-4.31959245496843e-07i,-1.54013168217246e-05+-8.82608944199798e-06i,-1.39974983663627e-05+-7.35296976860311e-06i,7.20927200605102e-06+-1.02715405992406e-05i,-3.02830353768442e-06+-3.6483485672335e-06i,-3.69320675644592e-06+-2.51790557915233e-06i,-3.17997557833054e-05+5.18272311140137e-06i,6.81571292516105e-05+5.66473629388424e-05i,5.38529002768093e-06+1.49623231979402e-06i,1.75733703086085e-07+8.80774887211955e-06i,1.35471456906072e-07+5.83279335533186e-06i,2.80055614112581e-07+5.9955439919437e-06i,1.35824253653982e-06+5.68072174100835e-06i,-3.96157589991588e-06+9.69653401184437e-06i,-3.96937808336805e-06+9.97205408373251e-06i,9.50997758172889e-06+-6.72354714331452e-06i,1.06960112265815e-05+-1.5115500244882e-05i,3.52839415580469e-06+5.78141037137201e-05i,8.63724841309039e-06+2.09541346139674e-05i,1.23350301645161e-05+1.652980767809e-05i
-168.515100685984,-21.4115024964006,31.2,1.58102703197604e-06+4.58271271868484e-09i,2.05437651940687e-05+7.28510289867875e-08i,-1.98077982828635e-06+2.43397399110521e-08i,2.02226976450841e-06+2.38662428212467e-08i,-6.46763839364982e-06+-7.91838638027439e-07i,5.77749349588461e-06+-1.93018548322028e-07i,-2.71870760274063e-05+-7.69453429572635e-07i,-2.79367571049129e-07+-4.26248203038532e-07i,-3.93195144720778e-06+9.30814333156983e-08i,9.06478916495824e-06+-2.22454052121375e-06i,4.75718180089742e-06+-1.47682929420647e-06i,-2.78430361411237e-06+5.74210024073631e-09i,2.28945930040049e-06+-1.40864949765622e-06i,-2.09643923858571e-06+-2.30760000425355e-06i,1.0840778090275e-07+-2.39970152601427e-06i,2.02398958481511e-05+-8.83108795185835e-06i,-1.90766893025423e-05+3.45177448758481e-06i,-2.80621526529934e-05+8.48614711328958e-06i,-7.60763419925093e-06+2.40138023371794e-08i,-2.45051661556986e-06+-3.31366191067492e-06i,-2.23665948181912e-06+-3.48718033914179e-06i,-4.28878051736077e-06+-5.18683988961796e-06i,5.10790052070784e-05+-5.08661348469993e-05i,-7.90940116702863e-06+-2.51678873660217e-06i,-1.1296420184483e-05+-1.85649055953737e-06i,8.03684358404032e-05+-5.06478988449597e-06i,2.52601681415155e-06+-5.68544837288755e-07i,-1.40611865411813e-05+-9.71786281049243e-06i,-1.29226287361316e-05+-8.13126871904511e-06i,8.35958699116723e-06+-1.10980623604993e-05i,-5.26513230984364e-06+-4.02242560138245e-06i,-1.82547494633262e-06+-2.93379746491552e-06i,-2.94221944362152e-05+5.190188843033e-06i,1.787850021419e-05+6.22376546580882e-05i,3.56451317489117e-06+1.51083002312747e-06i,-5.07220853147224e-07+9.25530803516524e-06i,-4.90824575191977e-07+6.10588112168542e-06i,-2.96424471379128e-07+6.26111666538183e-06i,1.58513245217826e-06+5.50820657675939e-06i,-6.03763640890555e-06+1.02882701484634e-05i,-6.35940290415284e-06+1.06777017019492e-05i,1.06356219912332e-05+-7.50801493629939e-06i,1.20680951969584e-05+-1.6476860445082e-05i,4.16134964985161e-06+6.30793548378546e-05i,9.66876149652109e-06+2.28875482653675e-05i,1.45270176395384e-05+1.76360746857049e-05i
-168.515100685984,-7.12995000539033,31.2,1.64429418650782e-06+4.61805130082047e-09i,2.27394544580061e-05+7.42981103926559e-08i,-2.35172924557992e-06+2.43823859540716e-08i,1.87487995193451e-06+2.33429885968446e-08i,-5.98848799156015e-06+-8.03970420152795e-07i,7.06818431743093e-06+-1.95208779396401e-07i,-3.51246223441104e-05+-8.02368018395354e-07i,-9.70911318556708e-07+-4.36901376544484e-07i,-4.55839031729316e-06+8.96560227893232e-08i,1.39871020905163e-05+-2.25803970008324e-06i,6.97032768492157e-06+-1.50636399258314e-06i,-3.22510341639162e-06+-1.28678637900759e-09i,2.28568944683964e-06+-1.44610540892503e-06i,3.50325252719169e-06+-2.33110492320891e-06i,3.73697768278932e-06+-2.45232712880013e-06i,2.33300103569706e-05+-9.05279538685979e-06i,-1.93369670589053e-05+3.47716216703699e-06i,-4.40912713947309e-05+8.51716944514206e-06i,-1.15899519760031e-05+7.00344677073204e-09i,-3.4159530696045e-06+-3.45831211172631e-06i,-3.1984367248674e-06+-3.62674455142087e-06i,-6.42805678198589e-06+-5.3978198689525e-06i,1.13457630573625e-05+-5.04690139213112e-05i,-8.18304465496283e-06+-2.67878668429715e-06i,-1.21442554401026e-05+-2.01427335811441e-06i,8.95172523042057e-05+-4.74954991399622e-06i,3.09122801057863e-06+-6.74016268997839e-07i,-1.14290387011286e-05+-1.02783105619086e-05i,-1.07251110781313e-05+-8.6235111275745e-06i,9.3402476496235e-06+-1.16588338734358e-05i,-6.81114407820741e-06+-4.28536613218299e-06i,1.01515300679446e-07+-3.2008965518291e-06i,-2.27294190294642e-05+5.1893170877686e-06i,-5.81542057887135e-05+6.44025725281137e-05i,1.79079260571853e-07+1.51279882392044e-06i,-2.23225840262155e-06+9.55483505356182e-06i,-1.81101155492994e-06+6.29001653192747e-06i,-1.66792877714024e-06+6.44224072983434e-06i,-5.46478963241576e-08+5.43013618017271e-06i,-9.06512010269282e-06+1.06334403664857e-05i,-9.98704043015717e-06+1.11306876844325e-05i,1.13217555706599e-05+-8.1500921934368e-06i,1.24010012219411e-05+-1.74559256071115e-05i,7.20686724739292e-06+6.68172547294309e-05i,1.16056638379984e-05+2.4270928189683e-05i,1.7380716569818e-05+1.84700473276794e-05i
-168.515100685984,7.15160248561992,31.2,1.63905439847289e-06+4.60461466179269e-09i,2.26576945016022e-05+7.39271479185465e-08i,-1.98435985352197e-06+2.55656586112081e-08i,1.79088186379893e-06+2.30936321594794e-08i,-6.06490876902896e-06+-8.02534898473134e-07i,7.00240288259873e-06+-1.94958254085863e-07i,-3.50385132097467e-05+-7.99961693415044e-07i,-9.81517503256205e-07+-4.36099284120119e-07i,-4.46374087380332e-06+9.04262624333186e-08i,1.37956594318143e-05+-2.25651669002671e-06i,6.90400846832127e-06+-1.504137601873e-06i,-3.14085349551563e-06+-2.65473823092629e-10i,2.27881135904389e-06+-1.44346024925489e-06i,3.53377522731168e-06+-2.3280111332447e-06i,3.74323576118734e-06+-2.44876920670329e-06i,2.32468943528803e-05+-9.04712692977047e-06i,-1.90789029730763e-05+3.48008059276135e-06i,-4.38688348155938e-05+8.50280164937489e-06i,-1.15857206384368e-05+9.11080078104218e-09i,-3.42976667017493e-06+-3.46093019057549e-06i,-3.20466395190894e-06+-3.61531637110434e-06i,-6.43141245740118e-06+-5.38225481384731e-06i,1.00117688688687e-05+-5.02984106161504e-05i,-8.20435155497923e-06+-2.66120619618683e-06i,-1.21271037648386e-05+-1.98780364292978e-06i,8.89343905663445e-05+-4.83796683755774e-06i,3.55253565008116e-06+-7.02348399482647e-07i,-1.1376476773568e-05+-1.02402033829441e-05i,-1.06865196824706e-05+-8.59004893970577e-06i,9.20873235427584e-06+-1.16358780059249e-05i,-7.00997017674638e-06+-4.24187614133368e-06i,1.3326732875794e-07+-3.18321667752051e-06i,-2.23827780537341e-05+5.1701319928088e-06i,-5.86515380725833e-05+6.4875532375401e-05i,1.04550025862874e-07+1.56300716591321e-06i,-2.32883490613811e-06+9.60862491591611e-06i,-1.85817569118714e-06+6.33505354485854e-06i,-1.69764282222658e-06+6.48760343276244e-06i,-1.64771925825332e-07+5.50475960546664e-06i,-8.33746300257629e-06+1.05129542290588e-05i,-9.64056086433201e-06+1.10935705540702e-05i,1.13839097686698e-05+-8.33318877789769e-06i,1.2277394512353e-05+-1.74464759969867e-05i,7.09382804631195e-06+6.67209129840178e-05i,1.16800431443955e-05+2.42886751394443e-05i,1.74909405898257e-05+1.8592412539022e-05i
-168.515100685984,21.4331549766302,31.2,1.59376691395662e-06+4.61129885854426e-09i,2.05232266444305e-05+7.2980530923755e-08i,-9.59665855042761e-07+2.76792716562188e-08i,1.83280888563648e-06+2.33039730137938e-08i,-6.37027235671461e-06+-7.93001976426347e-07i,5.70780955078659e-06+-1.93132755246386e-07i,-2.69664286432266e-05+-7.69704014306627e-07i,-2.2738985353048e-07+-4.26741962579316e-07i,-3.99146938719425e-06+9.26603488063255e-08i,8.99110929355429e-06+-2.2304015856843e-06i,4.79059006011843e-06+-1.47850892327464e-06i,-2.86287652953422e-06+5.41772218686227e-09i,2.32942847523074e-06+-1.41023125053227e-06i,-2.31442669856347e-06+-2.31088118468998e-06i,-1.1801619363415e-08+-2.4020707174872e-06i,2.09350921189217e-05+-8.84728434531441e-06i,-1.95771848833378e-05+3.44529217795178e-06i,-2.78956680302104e-05+8.49899113469626e-06i,-7.70664695767525e-06+2.68334022605318e-08i,-2.42235846450304e-06+-3.35703590991113e-06i,-2.24009465102025e-06+-3.48917390605352e-06i,-4.31525013134813e-06+-5.1915419653071e-06i,5.14171676818305e-05+-5.08350386415022e-05i,-8.07510396122758e-06+-2.51941737999111e-06i,-1.14577843756189e-05+-1.84932016838764e-06i,8.12136634030309e-05+-5.02679518959891e-06i,3.67171391245171e-06+-6.81738156957129e-07i,-1.39207181942854e-05+-9.7354255721139e-06i,-1.28071372978414e-05+-8.15347180024309e-06i,8.40821236586868e-06+-1.10937933897847e-05i,-5.39509826183923e-06+-4.03553436961555e-06i,-1.78237843763298e-06+-2.94317850892407e-06i,-2.93281018514071e-05+5.06269817142326e-06i,1.74895461344249e-05+6.3427825846303e-05i,3.56000802134204e-06+1.54128279524337e-06i,-5.05078330695759e-07+9.22961520986674e-06i,-5.36450465594309e-07+6.08457758136012e-06i,-2.88921481239465e-07+6.22967876844885e-06i,1.68774559235174e-06+5.43585762833963e-06i,-4.36093888314778e-06+9.76254044750662e-06i,-5.58812480323998e-06+1.03874662455047e-05i,1.08173159281822e-05+-7.97401318553441e-06i,1.20978796886845e-05+-1.6344551406621e-05i,3.07546941923063e-06+6.24119030730461e-05i,9.35071337652553e-06+2.28027178385468e-05i,1.44225021055594e-05+1.77259217541762e-05i
