x,y,z,f_67_47,f_108_08,f_192_72,f_200_98,f_253_22,f_314_66,f_328_13,f_376_86,f_481_89,f_499_95,f_510_28,f_558_27,f_598_74,f_660_56,f_679_79,f_749_49,f_782_02,f_817_57,f_855_5,f_927_98,f_929_56,f_1004_4,f_1006,f_1094,f_1129_9,f_1208_2,f_1232_8,f_1248_5,f_1257_2,f_1353,f_1374_6,f_1397_2,f_1482,f_1536_2,f_1539_9,f_1569_8,f_1655_4,f_1666_1,f_1725_6,f_1737_4,f_1763,f_1854_2,f_1867_6,f_1923_1,f_1976_1
-166.7995351256,-107.023836644484,31.2,5.87166472928552e-07+4.9551788838243e-09i,1.62206280086077e-06+3.62994945915117e-08i,6.17283705753073e-07+6.37936448034649e-09i,1.84386876006042e-06+6.55200158785203e-08i,-2.85642541397726e-06+-5.93210795817571e-07i,-1.21419787964084e-06+-1.21588475893645e-07i,5.97322048838996e-06+-3.69194911813798e-07i,1.41972451640552e-06+-2.85575985132479e-07i,-3.48088647359211e-06+4.11351716791165e-07i,1.78011668235512e-06+-1.60263718873821e-06i,1.07479315265455e-06+-9.55763165874951e-07i,-3.3160886395537e-06+7.88508162969889e-07i,5.34989873605289e-07+-7.54072915122082e-07i,2.48203759805126e-06+-1.05794335949148e-06i,-8.54630959087123e-07+-1.56223865446668e-06i,1.31099484995887e-06+-2.44792644312877e-06i,-3.87778651367178e-06+1.10502582284032e-06i,-1.07824353727513e-05+6.43898104976098e-06i,-2.0349686217464e-06+-6.42827689951988e-07i,-2.16655325800968e-06+-1.09047747749181e-06i,-2.1499986932144e-06+-1.13723214064586e-06i,-1.03194593945914e-05+-1.42322907900435e-05i,-1.36219951692936e-05+0.000279384143189854i,-2.98143631171603e-06+6.7741321241316e-08i,-3.51278313604878e-06+5.47386462093932e-07i,1.11516323852824e-05+-9.59756220472721e-06i,-3.58809512636277e-07+-4.24560043096428e-07i,7.12213482916593e-06+1.48012168821772e-07i,-4.0349649812347e-06+5.29990335335239e-07i,-2.10732452078462e-06+-2.86828330265188e-06i,-6.6689231166978e-06+-3.49463863238041e-07i,-7.52127871566068e-07+1.47101990897995e-06i,-2.20421579686811e-06+3.4582464173933e-06i,9.24069066550135e-06+-7.59939805574796e-07i,5.93910172871964e-07+-7.91897993259677e-07i,-4.58318913758288e-06+7.53506196696702e-06i,6.96488536205162e-07+3.50728510200811e-06i,1.47760697629482e-06+3.03647414404751e-06i,7.71348187971365e-07+5.35967758075398e-06i,-5.37972654912188e-07+9.80933629528503e-06i,3.12181481909686e-06+-3.07838781029329e-06i,2.44941800454129e-06+-2.80174258589135e-06i,1.94137113501104e-06+-4.15374622949245e-06i,1.04427146800495e-05+2.35703317827919e-05i,4.59050036127567e-06+4.87906040805972e-06i
-166.7995351256,-92.7539599364102,31.2,7.69136075146523e-07+4.79377895234817e-09i,2.86566796334981e-06+4.35083522910634e-08i,9.98480778030507e-07+8.26649504733385e-09i,2.33253991225413e-06+5.9637949327817e-08i,-4.99063107815938e-06+-6.14409786907701e-07i,-1.79626407942891e-06+-1.13270680910122e-07i,7.89864919023363e-06+-4.39211525267015e-07i,1.79018841475317e-06+-3.10528968403919e-07i,-4.2767434643885e-06+4.22142243969952e-07i,1.112217083547e-06+-1.73900448576975e-06i,9.36378242861415e-07+-1.043490324341e-06i,-4.01434911862906e-06+8.16206108383646e-07i,6.99886250554152e-07+-8.45997519441782e-07i,3.99606907443853e-06+-1.22750932627668e-06i,-1.88886024345199e-06+-1.73556880363196e-06i,1.66452905620479e-06+-2.76536926720081e-06i,-6.44383160240489e-06+1.11004178194774e-06i,-1.12091191445812e-05+7.08260651591132e-06i,-2.24926499049435e-06+-8.57347093224542e-07i,-2.33079055969545e-06+-1.45957528743889e-06i,-2.32296164366614e-06+-1.51247854446814e-06i,-9.52539741659317e-06+-1.71742211543872e-05i,-5.45686366088764e-05+0.000306304944429149i,-3.66978014138019e-06+-3.08465101990248e-07i,-4.46195707306795e-06+2.08814442051852e-07i,1.85044925581096e-05+-1.11867448784472e-05i,2.43258200167303e-07+-8.42420513895356e-07i,8.70836540109966e-06+1.2102083196039e-06i,-4.51448675414247e-06+-2.00605326269375e-07i,-1.3847075201952e-06+-4.28715699850409e-06i,-7.22344283307611e-06+-8.02156384000752e-07i,-9.76180269727526e-07+1.06406916873678e-06i,-1.5806566346215e-06+3.1183726369083e-06i,1.06433592392272e-05+-1.02155055513127e-06i,3.13782879246877e-08+-1.54910482233227e-06i,-5.72160713509721e-06+8.37064242294503e-06i,-3.38902533636008e-08+4.20087827927871e-06i,1.15410707977724e-06+3.75953971599976e-06i,-7.15843866405877e-07+6.50674877642684e-06i,-3.76487059609774e-06+1.17585769092594e-05i,5.52257530204969e-06+-3.8792030192623e-06i,3.34478457765989e-06+-3.35542543932452e-06i,2.92377984854285e-06+-5.23971821478326e-06i,9.33516925885136e-06+3.42156888023342e-05i,4.94553919483867e-06+7.28851580603088e-06i
-166.7995351256,-78.4840832283367,31.2,9.81745216314016e-07+4.68841002735293e-09i,5.12718709469949e-06+4.99710561678893e-08i,1.60762366142329e-06+1.00848289555637e-08i,2.63819524812521e-06+5.45162722586071e-08i,-7.04622616654768e-06+-6.4304893784147e-07i,-1.68924902524195e-06+-1.06393874443871e-07i,8.14418173240823e-06+-5.17069894070658e-07i,2.11357450280488e-06+-3.39689524349847e-07i,-5.07993349296218e-06+4.29825166276195e-07i,-1.92767943043491e-07+-1.89199923839862e-06i,5.84566583477452e-07+-1.14288013109226e-06i,-4.68330705580379e-06+8.39066145583041e-07i,8.85018017564878e-07+-9.52586267074432e-07i,6.24275773127734e-06+-1.42691317953721e-06i,-3.7174125741896e-06+-1.93329829883371e-06i,1.75960513522803e-06+-3.1177145557896e-06i,-1.01804428498666e-05+1.06986991142183e-06i,-7.28998605927601e-06+7.89772696999646e-06i,-2.00263614231018e-06+-1.09899868134962e-06i,-2.19395135158015e-06+-1.87533547556377e-06i,-2.19790549367522e-06+-1.93518308416591e-06i,-2.11225201786668e-07+-2.07175089081925e-05i,-0.000225992925030826+0.000257084093850843i,-4.50975032568551e-06+-7.44358502484815e-07i,-5.5229312844046e-06+-1.90789448550669e-07i,2.64766200739691e-05+-1.29186688638602e-05i,9.86827515573511e-07+-1.34164935438876e-06i,1.15823850664354e-05+2.32649084479908e-06i,-5.31796975771266e-06+-1.06681096474356e-06i,4.09644356704176e-08+-5.92421250932405e-06i,-5.17211767745958e-06+-1.46260285964601e-06i,-1.89992920620018e-06+5.52371006056794e-07i,-1.58081418835016e-06+2.64014466029075e-06i,1.19715742932681e-05+-1.6485551266557e-06i,-9.06242832316358e-07+-2.4487712795425e-06i,-5.33107764549578e-06+9.1180698558294e-06i,-7.83279311122099e-07+4.86125372063459e-06i,7.71494313574755e-07+4.47445510939783e-06i,-2.6310017445178e-06+7.61840798454397e-06i,-7.94976899123593e-06+1.36171744651516e-05i,9.40223045801602e-06+-4.86549725568179e-06i,4.16061924486519e-06+-4.00525660024641e-06i,3.73959743211001e-06+-6.46980230195054e-06i,1.09565802726836e-05+4.63929385215823e-05i,6.48795770305587e-06+9.85655580148593e-06i
-166.7995351256,-64.2142065202632,31.2,1.18023671734509e-06+4.61105938967969e-09i,8.02577344969723e-06+5.56195235031937e-08i,2.32465682734253e-06+1.17564324517659e-08i,2.6304621866346e-06+5.00681374462271e-08i,-8.04637530461903e-06+-6.70432323429146e-07i,-3.0422046657584e-07+-9.99939153741757e-08i,5.04901140233675e-06+-5.96039477006358e-07i,2.19078672639796e-06+-3.68549492512636e-07i,-5.79847378012231e-06+4.37333049467035e-07i,-7.97021163688471e-07+-2.03741673952494e-06i,4.89897883393671e-07+-1.23949840237128e-06i,-5.41578100332209e-06+8.60379585506752e-07i,1.04628150992855e-06+-1.05773457424208e-06i,8.15891132595226e-06+-1.62117043282203e-06i,-5.22951833211374e-06+-2.12788222502859e-06i,1.86776774212257e-06+-3.46633535093257e-06i,-1.38565094764793e-05+1.01952539581836e-06i,-2.54559266472806e-06+8.73597938834857e-06i,-1.57236871678805e-06+-1.33812054421091e-06i,-1.91055221590091e-06+-2.28639774796722e-06i,-1.91479961930761e-06+-2.35369761884061e-06i,1.70567958931465e-05+-2.45654562655749e-05i,-0.000517618443000923+0.000133506696971155i,-5.39654573351395e-06+-1.17973419288858e-06i,-6.53591989958213e-06+-5.89244984999704e-07i,3.21134080764621e-05+-1.47540643387967e-05i,1.42699814026912e-06+-1.85810760530071e-06i,1.61385129098846e-05+3.34286534472669e-06i,-6.95930732401559e-06+-1.95817412126681e-06i,1.40211741634566e-06+-7.61290844203057e-06i,-3.15642216353438e-06+-2.14315047192973e-06i,-3.28063327618815e-06+1.19894464600304e-08i,-4.57494981873797e-06+2.11401790257783e-06i,1.41170319781155e-05+-2.57603553907412e-06i,-1.01087626151982e-06+-3.38556441968741e-06i,-3.46525949734779e-06+9.8862767785079e-06i,-9.8998408401465e-07+5.51446301019992e-06i,6.53372888573688e-07+5.19265232005957e-06i,-3.59216509117216e-06+8.72741890959306e-06i,-1.04485956317678e-05+1.54479014537419e-05i,1.28604331671344e-05+-6.03412259415273e-06i,5.16381252016464e-06+-4.75754582490394e-06i,4.7895710506757e-06+-7.81940811236315e-06i,1.2882050994978e-05+5.93206076277819e-05i,8.79123925478308e-06+1.24171831084819e-05i
-166.7995351256,-49.9443298121896,31.2,1.38294513197547e-06+4.59944957732063e-09i,1.2041091373798e-05+5.99373992048365e-08i,3.28841820765111e-06+1.32055540480421e-08i,2.24270711287686e-06+4.69218631260019e-08i,-8.22168285235467e-06+-7.014940758952e-07i,2.92785613721989e-06+-9.60428902810316e-08i,-3.11824015122124e-06+-6.76415595272394e-07i,1.84841254038635e-06+-3.98314362387849e-07i,-6.26941637778244e-06+4.43452476828678e-07i,-1.15326006825379e-07+-2.17637764547475e-06i,8.64135758143283e-07+-1.33541747777345e-06i,-6.13057532821029e-06+8.76804284817436e-07i,1.18684684882593e-06+-1.16332411062243e-06i,9.23847612647447e-06+-1.80488791925062e-06i,-5.82038239285754e-06+-2.31883204490471e-06i,2.22762783815797e-06+-3.806954726101e-06i,-1.68454831502939e-05+9.37393358455446e-07i,-1.27396346122036e-07+9.53397724732236e-06i,-1.27894995433965e-06+-1.57135549160144e-06i,-1.67755480514687e-06+-2.68058058579926e-06i,-1.6637447869738e-06+-2.75588966714934e-06i,3.94611315628218e-05+-2.84357718536344e-05i,-0.00088580000898154+-4.08856119521493e-05i,-6.30773923556866e-06+-1.61472564893722e-06i,-7.50512762034867e-06+-9.93335297440705e-07i,3.58554905344906e-05+-1.64598792543685e-05i,1.67506772316131e-06+-2.37346444006085e-06i,2.23897495285109e-05+4.23745314915557e-06i,-9.39251977082672e-06+-2.87566978419495e-06i,2.6991780089584e-06+-9.26627338171386e-06i,-2.5621010824918e-06+-2.90367169967084e-06i,-4.69175269892413e-06+-5.54268530903669e-07i,-1.0914109675899e-05+1.53403880463779e-06i,1.6952240174714e-05+-3.78987511355272e-06i,4.47837907285787e-07+-4.30243863529661e-06i,2.25488765371656e-07+1.04613990922369e-05i,-3.4898046241682e-07+6.00889673456341e-06i,1.05114332003845e-06+5.77084641050789e-06i,-2.82451176371431e-06+9.57091755479424e-06i,-9.75162661456256e-06+1.67548201218233e-05i,1.50291463864121e-05+-7.17117464276369e-06i,6.65333683245819e-06+-5.49955676607673e-06i,6.58153724705763e-06+-9.09492321674167e-06i,1.03726829899969e-05+7.16650242631508e-05i,1.07694081863051e-05+1.47585450071385e-05i
-166.7995351256,-35.6744531041161,31.2,1.52398792492997e-06+4.55955676630295e-09i,1.61858567193217e-05+6.25134076272146e-08i,4.2487992196124e-06+1.41549113295044e-08i,1.45937626812398e-06+4.44624939904008e-08i,-6.85711921614159e-06+-7.23019608837048e-07i,7.97800268969912e-06+-9.25999871755085e-08i,-1.652346430939e-05+-7.47895396013388e-07i,9.3435343788338e-07+-4.22638890350635e-07i,-6.28658746918808e-06+4.49862689751014e-07i,3.59572804672771e-06+-2.27474885369114e-06i,2.30598479623924e-06+-1.41094084347234e-06i,-6.78966038464646e-06+8.88815107490583e-07i,1.27659732258002e-06+-1.24985945530439e-06i,7.57608736070992e-06+-1.93407055029899e-06i,-3.34025857153436e-06+-2.46632059851486e-06i,3.60614168761069e-06+-4.09460456137451e-06i,-1.63572591762728e-05+8.4899934218506e-07i,-1.15208169750815e-05+9.99669210923202e-06i,-2.33234627382771e-06+-1.76724419914756e-06i,-2.22184564459255e-06+-3.00744631329711e-06i,-2.17103594138142e-06+-3.09037018155171e-06i,4.59857807435617e-05+-3.12556419111753e-05i,-0.00101228141703649+-7.35686371193798e-05i,-7.01564608119558e-06+-1.99343295751351e-06i,-8.36757808553684e-06+-1.34380997602183e-06i,3.98569712810802e-05+-1.78777638779602e-05i,2.04953485469765e-06+-2.83172846749658e-06i,2.70771613100236e-05+5.0518204371601e-06i,-1.12910358001769e-05+-3.68501456653993e-06i,3.3335970818273e-06+-1.0688531061134e-05i,-6.25948402951707e-06+-3.47648493833556e-06i,-4.7529519428089e-06+-1.06285232830315e-06i,-1.52080614419961e-05+9.88665093530963e-07i,1.63491657327072e-05+-4.92935991568673e-06i,2.33454285980304e-06+-5.00107536467784e-06i,4.11278855895967e-06+1.09761744668084e-05i,5.42753068125514e-07+6.44710941071814e-06i,1.56579789472495e-06+6.3136173556741e-06i,-1.0666555049835e-06+1.03019855447418e-05i,-6.92535790771876e-06+1.77845152816946e-05i,1.57012952085216e-05+-8.17526796616235e-06i,8.02162758334658e-06+-6.12463308392612e-06i,8.33373971361563e-06+-1.01437473507222e-05i,6.20333413116954e-06+8.26113438714334e-05i,1.23457279261831e-05+1.67805021487129e-05i
-166.7995351256,-21.4045763960426,31.2,1.61567411554793e-06+4.54939359544196e-09i,1.94440912594352e-05+6.424339035837e-08i,5.02796644464227e-06+1.48630513915585e-08i,7.42712292471779e-07+4.29725175660393e-08i,-5.60390451272186e-06+-7.37351211768579e-07i,1.26490095085705e-05+-8.97694366170217e-08i,-2.93361191059212e-05+-8.01281366949896e-07i,-9.02664424184599e-08+-4.39469122342584e-07i,-6.00698150293301e-06+4.57203684958623e-07i,8.27911130042061e-06+-2.33132673960588e-06i,4.03903251286494e-06+-1.46039236142818e-06i,-7.24578932646702e-06+8.98944131412898e-07i,1.34179257789279e-06+-1.30708863123739e-06i,4.46378268318173e-06+-1.99947993304909e-06i,7.21685767866544e-07+-2.56035565940185e-06i,5.5748006249492e-06+-4.29394719241914e-06i,-1.3388118861033e-05+7.85756763039868e-07i,-3.34138779430205e-05+1.01039059907575e-05i,-4.58178698745829e-06+-1.89353790014746e-06i,-3.60143110403302e-06+-3.21471644616985e-06i,-3.51047607982798e-06+-3.30353334541029e-06i,2.83758700346278e-05+-3.24033589911873e-05i,-0.000769127287250826+0.000109656560179225i,-7.51483914191355e-06+-2.24069872928942e-06i,-9.22002939390513e-06+-1.5667474525567e-06i,4.88583009767387e-05+-1.8657691872856e-05i,3.22520083072743e-06+-3.1512008013192e-06i,2.71578508882104e-05+5.76334858140298e-06i,-1.09123793582917e-05+-4.19638565397936e-06i,3.99237028489555e-06+-1.16752690439399e-05i,-1.19067293485376e-05+-3.77263155285861e-06i,-2.88432381543244e-06+-1.41274790457932e-06i,-1.0586207629207e-05+5.75225116854027e-07i,1.22580366568472e-05+-5.93523411347492e-06i,2.85193581031419e-06+-5.40286633518104e-06i,4.67925056798544e-06+1.1380115051873e-05i,2.24294955068867e-07+6.7662720419784e-06i,9.52000169938213e-07+6.75643252878988e-06i,-2.08404961540317e-06+1.0858015034374e-05i,-9.30817311769969e-06+1.85538098544329e-05i,1.94078897650761e-05+-8.99122712703304e-06i,8.57225715316164e-06+-6.62423325081505e-06i,8.91573296944463e-06+-1.08967303944509e-05i,8.66638272994207e-06+9.0696793907905e-05i,1.46337859208449e-05+1.81637992614701e-05i
-166.7995351256,-7.13469968796906,31.2,1.67934129577614e-06+4.580353827445e-09i,2.1655132548466e-05+6.55127357984229e-08i,5.57195054430638e-06+1.54690648047174e-08i,2.58705368099913e-07+4.23311047390621e-08i,-4.7286078489593e-06+-7.48030876984146e-07i,1.59861202428992e-05+-8.81148662903828e-08i,-3.85768611976018e-05+-8.3646393661963e-07i,-8.61433049970806e-07+-4.50325222641949e-07i,-5.83683184628989e-06+4.61716319123989e-07i,1.22103024732715e-05+-2.36135419540561e-06i,5.44879709627613e-06+-1.49069967180694e-06i,-7.70630326064066e-06+9.0398920159611e-07i,1.40511495008189e-06+-1.34192110332765e-06i,1.74997513862389e-06+-2.03072731769133e-06i,4.240484388143e-06+-2.61439550203478e-06i,7.35720005421862e-06+-4.41495030032473e-06i,-1.0709411279768e-05+7.34917277707835e-07i,-5.39730937597424e-05+1.00609338006142e-05i,-6.77561888307068e-06+-1.96542405438877e-06i,-4.97243178033815e-06+-3.33057325443986e-06i,-4.85407796822412e-06+-3.42309114934682e-06i,5.60616092191412e-06+-3.25922705909731e-05i,-0.000440191733850489+0.000332266009681186i,-7.9027928494318e-06+-2.38902444009182e-06i,-9.9735687298078e-06+-1.70249228276886e-06i,5.92087247884186e-05+-1.883061534208e-05i,4.709981341474e-06+-3.34638883649456e-06i,2.53299083445685e-05+6.27573568575311e-06i,-9.43124618087631e-06+-4.47869899377762e-06i,4.95992892919722e-06+-1.22312450812904e-05i,-1.54309050898079e-05+-3.98890570197097e-06i,-8.6129205938255e-07+-1.62245500109573e-06i,-2.5490574376002e-06+2.92998950516065e-07i,6.98907752506163e-06+-6.83320467901021e-06i,2.29496646780977e-06+-5.51610255884648e-06i,4.05011543338842e-06+1.14803855649934e-05i,-6.9246852944904e-07+6.86112003727845e-06i,-3.88328938084881e-07+6.97890120110045e-06i,-4.62354642613608e-06+1.10550938892678e-05i,-1.42665453206374e-05+1.87223516087631e-05i,2.44483912785367e-05+-9.41331432694903e-06i,8.37146438642067e-06+-6.85905793481446e-06i,8.49785075718209e-06+-1.11685059812452e-05i,1.54306311859715e-05+9.46491629241376e-05i,1.71239968722021e-05+1.87788334270286e-05i
-166.7995351256,7.13517702010446,31.2,1.68879902716119e-06+4.60539017447995e-09i,2.17815481093482e-05+6.58088661846358e-08i,5.62693960433486e-06+1.56572293331847e-08i,2.62479371899072e-07+4.2414224261818e-08i,-4.81163160265205e-06+-7.49733071823722e-07i,1.60053401761528e-05+-8.79977567923637e-08i,-3.86338906556477e-05+-8.38398503897358e-07i,-8.6028280702996e-07+-4.50986870142645e-07i,-5.91981861540816e-06+4.61902543107152e-07i,1.2261444454896e-05+-2.3622204822081e-06i,5.40050268900766e-06+-1.49316990796636e-06i,-7.85311670060079e-06+9.04140517665873e-07i,1.4475167892523e-06+-1.34245928474265e-06i,1.91044636007421e-06+-2.03330673199336e-06i,4.08213749419962e-06+-2.61724197264784e-06i,7.40246790497823e-06+-4.41738930898366e-06i,-1.12045306882216e-05+7.34399899567393e-07i,-5.34452088728244e-05+1.00760441893343e-05i,-6.73519182321321e-06+-1.96450579800068e-06i,-4.94139103233306e-06+-3.32789311901151e-06i,-4.82451046479852e-06+-3.42044807577384e-06i,7.49501037456454e-06+-3.26329555326496e-05i,-0.000468644649283532+0.000314058666338117i,-8.03994277687685e-06+-2.38190122758632e-06i,-1.01157712996125e-05+-1.69113856532214e-06i,5.94096777003553e-05+-1.87063483864216e-05i,4.86625484619476e-06+-3.36524386671809e-06i,2.59729681455398e-05+6.25367192894596e-06i,-9.53152179698405e-06+-4.47217632015161e-06i,5.1916230530835e-06+-1.22189324802511e-05i,-1.49590794180681e-05+-4.00526063361287e-06i,-1.03739085070036e-06+-1.61691306258602e-06i,-3.25882903879578e-06+2.74641456684064e-07i,3.78588157422117e-06+-7.42663963929128e-06i,3.31730935209142e-06+-5.27880607867165e-06i,4.66472621669805e-06+1.14329253652105e-05i,-4.24470008286438e-07+6.81338885029207e-06i,-6.35707924691815e-07+7.05232583739527e-06i,-4.12744414306805e-06+1.09648672957622e-05i,-1.28297848005254e-05+1.83188047898628e-05i,2.41881287810968e-05+-9.41081955628031e-06i,8.5152034861716e-06+-6.80111845004115e-06i,8.76273757573376e-06+-1.09438178632869e-05i,1.3751193396388e-05+9.4067058600259e-05i,1.67838204773118e-05+1.86483196984107e-05i
-166.7995351256,21.405053728178,31.2,1.62474857474908e-06+4.57019092064525e-09i,1.96539941794694e-05+6.44625762062974e-08i,5.15854429826765e-06+1.51482763653815e-08i,7.12464775491454e-07+4.3018817059834e-08i,-5.85832664770737e-06+-7.3922386198171e-07i,1.27238895015272e-05+-8.94690896919713e-08i,-2.9713140131219e-05+-8.0371648939084e-07i,-1.55866863679081e-07+-4.40041577345885e-07i,-5.91293273723859e-06+4.57911499024584e-07i,8.30602418967796e-06+-2.33054089234029e-06i,3.86438527540453e-06+-1.46497289345101e-06i,-7.21813970489514e-06+8.9902639062344e-07i,1.45517642338387e-06+-1.30657232143557e-06i,4.51622452198309e-06+-2.0032038888616e-06i,6.40535010386833e-07+-2.56222002520345e-06i,5.62702570373837e-06+-4.29834532546301e-06i,-1.35032609148888e-05+7.88279977667769e-07i,-3.28820610148489e-05+1.01161743350645e-05i,-4.5019749304216e-06+-1.89265218536311e-06i,-3.57414977528458e-06+-3.2084961584188e-06i,-3.48284670260004e-06+-3.29763333185238e-06i,2.9431469455978e-05+-3.23748020328837e-05i,-0.00078448880088652+9.88323495752408e-05i,-7.68683850776467e-06+-2.22562362616229e-06i,-9.43194964560198e-06+-1.53532944962726e-06i,4.80194217803051e-05+-1.8431994862767e-05i,3.45957810161375e-06+-3.22144522621125e-06i,2.77157994402438e-05+5.7879978178577e-06i,-1.09912468360888e-05+-4.19803236346261e-06i,4.17988856401279e-06+-1.16694973635356e-05i,-1.16499474925528e-05+-3.77944148183871e-06i,-3.05346144228408e-06+-1.40025163314223e-06i,-1.1162043917656e-05+5.30560009774824e-07i,1.0634252565375e-06+-7.51874167154885e-06i,5.56426836169662e-06+-4.71196030313798e-06i,5.08331758633945e-06+1.13450180946015e-05i,5.25207428240219e-07+6.72181137479544e-06i,1.35289716708336e-08+7.07173648073006e-06i,-1.52394739804134e-06+1.07523112121774e-05i,-6.97192896414548e-06+1.76420365776759e-05i,1.91933033171611e-05+-9.00994847722479e-06i,8.74916968629266e-06+-6.4713496275813e-06i,9.30244179689347e-06+-1.03032059736977e-05i,6.86429999439341e-06+9.01692325664279e-05i,1.42437702795814e-05+1.80834252093857e-05i
