x,y,z,f_66_65,f_115_04,f_192_04,f_204_79,f_267_44,f_309_25,f_350_44,f_388_78,f_484_86,f_509_61,f_518_34,f_548_56,f_612_5,f_669_83,f_688_54,f_757_04,f_763_77,f_839_21,f_854_85,f_939_39,f_942_96,f_989_01,f_1066_7,f_1121_2,f_1158_1,f_1159_9,f_1221_6,f_1275_2,f_1278_4,f_1345_8,f_1419_8,f_Freq_1432,f_1505_9,f_1540_5,f_1573_2,f_1587_5,f_1608_4,f_1691_1,f_1712_6,f_1741_9,f_1809_2,f_1875_6,f_1940_6,f_1989_4
-170.019583281521,-101.230301047672,31.2,6.1638799096666e-07+5.07441718654195e-09i,2.26085973982138e-06+5.4549698730044e-08i,1.80309987219574e-06+5.15589189350245e-08i,1.10950866494469e-06+2.74781906385695e-08i,-3.5371859825713e-06+-7.46522443438756e-07i,-4.24408026460619e-08+-1.98326775401905e-07i,6.3682876303021e-06+-4.53279919953165e-07i,1.47528737109901e-06+-3.2484167552076e-07i,7.41458623629328e-07+-3.4212320213417e-07i,-4.45905198576769e-06+-7.14154908986871e-07i,-2.68377401120372e-07+-6.74731037533646e-07i,-6.13650571589295e-07+-9.48678368887191e-08i,1.27517140609753e-06+-9.95965932259414e-07i,5.32043558247299e-06+-1.34973210403547e-06i,-2.49627722421747e-06+-1.62656713513785e-06i,-9.02205062213479e-06+3.91839011604766e-06i,-3.3954526190743e-06+1.85207521793291e-07i,1.5033484987118e-06+-5.25031324157809e-06i,-1.08102666196124e-05+1.10019686580168e-05i,-2.13606683194194e-06+-4.15032928483419e-07i,-1.97439035729502e-06+-6.96193661481404e-07i,-3.61518236107001e-06+-1.00316738085756e-06i,-6.52920320947219e-06+-4.11435334624025e-06i,-5.12367086810605e-06+1.29466607441456e-07i,0.000228454443044038+7.25497987734024e-05i,3.80714593228761e-05+-3.86514711418379e-06i,-4.6978739669819e-06+3.26438635628135e-06i,-3.60941628126385e-06+-6.01740840659552e-07i,-5.85233713052829e-06+1.40924362711139e-06i,-1.49811936241156e-07+-3.44108696027844e-06i,-3.90443312128424e-06+2.60470363814247e-06i,3.94123624930007e-06+1.33431793696396e-07i,-1.08777788391004e-07+-3.3283483064161e-07i,2.44486489048477e-07+1.55855042982271e-06i,-3.23359205666904e-06+7.5646393614022e-06i,-3.08463677096017e-06+6.73186620662204e-06i,2.45614967500329e-05+-1.28904514221492e-05i,1.31276447393185e-06+3.0048795728078e-06i,2.0584203597294e-06+2.00299308690472e-06i,2.58318421655381e-06+1.36981277130246e-06i,2.7077465510709e-06+3.40911631581769e-07i,1.96043526642128e-06+-1.32432028746108e-06i,8.63546006671844e-05+0.000156485984197855i,7.15250729262076e-06+-1.84900190709248e-05i
-170.019583281521,-87.7360887796802,31.2,7.83156173659123e-07+5.02160999284445e-09i,3.82552262741783e-06+6.38995428961737e-08i,1.92479071342379e-06+4.2771493100045e-08i,1.4377499133585e-06+2.64260835419884e-08i,-5.55828075046676e-06+-7.73539645083552e-07i,-1.81835119595801e-07+-2.04517344641478e-07i,7.62661204618923e-06+-5.29823093223912e-07i,1.75202718778557e-06+-3.50831297454251e-07i,1.04911676802703e-06+-3.71979524826569e-07i,-6.8471625072387e-06+-7.8167650293582e-07i,-7.02731368752366e-07+-7.40842556585613e-07i,-6.05954270446165e-07+-1.19484173346627e-07i,1.63321443482347e-06+-1.09265215668812e-06i,7.85152917789883e-06+-1.53644183141122e-06i,-4.05138478745119e-06+-1.78641477821836e-06i,-1.24855881617364e-05+4.16056009372932e-06i,-4.80627661987548e-06+1.29191035227095e-07i,7.50582465710229e-07+-5.84918258734953e-06i,-9.88665984537758e-06+1.20843130946521e-05i,-2.03527144206465e-06+-6.71136742690517e-07i,-1.96937614617156e-06+-9.72000924415567e-07i,-4.20717466377943e-06+-1.39186585578642e-06i,-6.42934958357746e-06+-5.23498718411839e-06i,-6.25250705467803e-06+-3.0244573817503e-07i,0.000294099487092413+0.000106603638315943i,4.82983819060977e-05+-1.49598859709862e-06i,-5.40632932427348e-06+3.25051707497614e-06i,-3.76131636128371e-06+-1.58869389095227e-06i,-7.32168387445302e-06+5.7859313097316e-07i,9.50232548745804e-07+-4.61586830014567e-06i,-4.61419404653105e-06+2.6849278179662e-06i,3.70690670175419e-06+-4.21711507913429e-07i,2.28021644878815e-06+-2.34394875195949e-06i,2.49709422050091e-07+1.15044819286444e-06i,-3.33763004550362e-06+8.38159051526862e-06i,-2.97925601245832e-06+6.97210282940498e-06i,2.3742351689008e-05+-9.81820138181761e-06i,1.0632711805964e-06+3.52904906555767e-06i,1.64675843125113e-06+2.83053346332515e-06i,2.57913385558186e-06+2.01970672740914e-06i,2.90385358179148e-06+7.13489825768062e-07i,2.00811065073297e-06+-1.64101867946696e-06i,0.000111193866173892+0.000229854564450109i,9.3595209048923e-06+-1.83353677692843e-05i
-170.019583281521,-74.2418765116885,31.2,9.85552431967962e-07+4.9756519755323e-09i,6.38559159154941e-06+7.11018456305281e-08i,1.73079036570449e-06+3.51336635981652e-08i,1.80601796335975e-06+2.54269859693232e-08i,-7.61588498077953e-06+-8.09762007822845e-07i,-1.5323226801344e-07+-2.13853996189725e-07i,7.48952675884354e-06+-6.10418011142819e-07i,1.9607336653923e-06+-3.81211656342024e-07i,1.4417757792296e-06+-4.08758811310808e-07i,-1.00893635269405e-05+-8.638924333986e-07i,-1.28406192709206e-06+-8.18981062846932e-07i,-5.28161465516066e-07+-1.53411547463197e-07i,2.06176494039386e-06+-1.2068904924204e-06i,1.13679638958312e-05+-1.76280213247645e-06i,-6.41843612073198e-06+-1.96838227213212e-06i,-1.66047003902281e-05+4.37545697153387e-06i,-6.56755423263948e-06+4.02097758886539e-08i,-1.14403363456379e-06+-6.53261910949123e-06i,-5.19013892640277e-06+1.34061336860939e-05i,-1.73097150526023e-06+-9.65950328773157e-07i,-1.77870487368225e-06+-1.29192961544363e-06i,-4.72314285974079e-06+-1.84953135400887e-06i,-4.33293965323975e-06+-6.56930837680756e-06i,-7.45709032958623e-06+-8.27935805468815e-07i,0.000363510449487834+0.000144439053925204i,6.03081080370302e-05+1.37265721926952e-06i,-5.66330477164498e-06+3.15897497350302e-06i,-4.64374816429333e-06+-2.78854324851532e-06i,-9.84120647656327e-06+-4.92995290035454e-07i,2.51510067611754e-06+-5.9596521542664e-06i,-4.85347097397223e-06+2.63304679815966e-06i,1.57438994446813e-06+-9.96281758268918e-07i,5.8568465842921e-06+-4.70152954637118e-06i,-1.08029285580212e-08+6.0638536742116e-07i,-3.04088254153739e-06+9.22249675427784e-06i,-2.87592347965957e-06+7.15404551056345e-06i,2.3421905488522e-05+-6.2587990412514e-06i,1.00056560580113e-06+4.045501020283e-06i,1.11980575529547e-06+3.73295913500996e-06i,2.47885509940529e-06+2.75622924647957e-06i,3.06382554112652e-06+1.14284283530845e-06i,1.98260481466991e-06+-2.06936560270563e-06i,0.000144597532842703+0.000323539095360245i,9.6960025582677e-06+-1.74294352533883e-05i
-170.019583281521,-60.7476642436968,31.2,1.20717719804815e-06+4.98896640786986e-09i,9.96396699975825e-06+7.80331437301466e-08i,1.09649606067151e-06+2.79947757595324e-08i,2.16936888778039e-06+2.47007657731807e-08i,-9.13031494772929e-06+-8.50907385395881e-07i,2.14040656705086e-07+-2.24615741771283e-07i,4.31738910392799e-06+-6.99165568957177e-07i,1.92984634787035e-06+-4.1435600768838e-07i,1.69645073725073e-06+-4.49739687502615e-07i,-1.24221878220038e-05+-9.45640482644663e-07i,-1.54821650977983e-06+-9.0207651850181e-07i,-5.22569925813134e-07+-1.91628654655756e-07i,2.47646030808361e-06+-1.3289898307162e-06i,1.47424803695801e-05+-2.00201425008949e-06i,-8.63991911665248e-06+-2.15941432247424e-06i,-2.09237290018225e-05+4.55939038363663e-06i,-8.29938381398113e-06+-7.24987064801437e-08i,-2.94450933866669e-06+-7.26903724857463e-06i,1.90064950224599e-07+1.48439631847689e-05i,-1.4370880825193e-06+-1.27158100150376e-06i,-1.53495937095057e-06+-1.62716812479645e-06i,-5.20586067216303e-06+-2.33626729266618e-06i,-5.87466848115188e-08+-8.03944466226993e-06i,-8.63538135892917e-06+-1.39867362745517e-06i,0.000423289415021224+0.000179826475447117i,7.34386283469266e-05+4.67831385093138e-06i,-5.55877630139499e-06+2.94410453036235e-06i,-7.57518207184118e-06+-4.02540089234087e-06i,-1.34971109324899e-05+-1.66818758055391e-06i,4.26985038018818e-06+-7.36949015346539e-06i,-5.37757396660795e-06+2.5094692009101e-06i,-8.52757576181929e-07+-1.61003381466544e-06i,1.03122684347365e-05+-7.30259750744476e-06i,-8.64712103853877e-07+-4.56124131396053e-08i,-2.97229919348189e-06+9.92802478431737e-06i,-4.15049798218186e-06+7.17016624872663e-06i,3.20773911239805e-05+-2.08909115018031e-06i,1.79004916940352e-06+4.47144911412607e-06i,9.54920548914727e-07+4.587681552037e-06i,2.67369724769827e-06+3.48520939966629e-06i,3.60214677851368e-06+1.55461153577992e-06i,2.6557352027106e-06+-2.54379427411006e-06i,0.000147637902499062+0.000414646785179131i,6.09396093213628e-06+-1.52397041057994e-05i
-170.019583281521,-47.2534519757051,31.2,1.39710642053668e-06+4.99209877916264e-09i,1.44680209977019e-05+8.23930560780283e-08i,-2.48317883604085e-07+2.25285619361356e-08i,2.42546228240522e-06+2.40615799316866e-08i,-9.34442654641439e-06+-8.85933498747123e-07i,1.12420783685569e-06+-2.34471633774194e-07i,-4.50515576342421e-06+-7.83317361445057e-07i,1.32536797532715e-06+-4.44219635197885e-07i,1.46708473637869e-06+-4.87519902352745e-07i,-1.08602854586097e-05+-1.00389914193932e-06i,-8.00407111491505e-07+-9.75225821666862e-07i,-6.70663877982618e-07+-2.24612952275971e-07i,2.67550201681389e-06+-1.43539796963794e-06i,1.57453284347972e-05+-2.19686941200384e-06i,-8.92110900499358e-06+-2.3193870139489e-06i,-2.36478986390141e-05+4.7090017154137e-06i,-9.01446499662517e-06+-1.77290522733976e-07i,-2.38494508566135e-06+-7.92687908748962e-06i,5.87782245680729e-08+1.59831047208114e-05i,-1.56316322451551e-06+-1.52792332224823e-06i,-1.53482548187002e-06+-1.91195351297319e-06i,-5.7158150004887e-06+-2.7562817911203e-06i,4.7159570738073e-06+-9.34504936489571e-06i,-9.61909906087515e-06+-1.89134835469088e-06i,0.000456601014386533+0.000203801119342602i,8.66376772806127e-05+7.87399773818189e-06i,-5.20390936695148e-06+2.66297088416014e-06i,-1.33334388606019e-05+-5.07808097433575e-06i,-1.71891145681157e-05+-2.72962468672723e-06i,5.79126531676517e-06+-8.59865222640715e-06i,-6.86370036612398e-06+2.3878215785256e-06i,-1.55432913453466e-06+-2.14329080593552e-06i,1.48528342501248e-05+-9.66404700739553e-06i,-2.46137502338404e-06+-6.72437605774987e-07i,-3.28100254831788e-06+1.05224524233445e-05i,-7.28317732581627e-06+7.1410140999306e-06i,5.30408609043518e-05+1.82200246691421e-06i,3.90521688414321e-06+4.79445952296703e-06i,1.4889449587019e-06+5.25662706982533e-06i,3.48720703204491e-06+4.1023896358007e-06i,4.87110062302588e-06+1.86920543929652e-06i,4.7231269772608e-06+-3.03709420586143e-06i,8.53257693904033e-05+0.000488078208346585i,-4.31089729714924e-06+-1.29187631992548e-05i
-170.019583281521,-33.7592397077134,31.2,1.55840683104521e-06+5.03878351839554e-09i,1.91366720270789e-05+8.62091370478168e-08i,-1.89523193270043e-06+1.8108980481297e-08i,2.62727550079978e-06+2.3763150386474e-08i,-8.91878401444735e-06+-9.16777744524688e-07i,2.29387530856356e-06+-2.43096483716778e-07i,-1.67388008160118e-05+-8.63219897444567e-07i,3.1648754482447e-07+-4.70944817229405e-07i,7.50361948260894e-07+-5.22222640417328e-07i,-5.00654131128421e-06+-1.03805556905623e-06i,9.55546045596059e-07+-1.03942499684155e-06i,-1.03190041659538e-06+-2.51384614811322e-07i,2.67926324968912e-06+-1.5293771357552e-06i,1.37410221688478e-05+-2.34657841582219e-06i,-6.53709569152766e-06+-2.45684455225195e-06i,-2.48366556735744e-05+4.85080826440267e-06i,-8.66170161261913e-06+-2.71740341251379e-07i,2.26551021422488e-06+-8.58182318774041e-06i,-1.27828818386802e-05+1.67991608689895e-05i,-2.50326089933489e-06+-1.74293947913065e-06i,-2.17996617916644e-06+-2.15774594929608e-06i,-6.76070257399561e-06+-3.12811114350487e-06i,4.80265575833321e-06+-1.03936856405868e-05i,-1.08863021038521e-05+-2.3258221201071e-06i,0.000506135089415421+0.000231061684248557i,0.000102900952219319+1.11414885073179e-05i,-5.30481326760628e-06+2.32744863261175e-06i,-1.81567496057013e-05+-5.95206543347037e-06i,-1.82063304432315e-05+-3.66487162957065e-06i,7.25169554347841e-06+-9.7774395790277e-06i,-9.51342611866145e-06+2.35204082887675e-06i,1.82371919937054e-06+-2.65427663581264e-06i,2.02145016030645e-05+-1.19462033809037e-05i,-3.09492961824907e-06+-1.26867355759004e-06i,-3.28756775454562e-06+1.11916168081846e-05i,-8.92728706145178e-06+7.19367622581203e-06i,6.43652654884768e-05+5.29668547494573e-06i,5.79933187236846e-06+5.15123678128545e-06i,1.82367830252679e-06+5.86300749104388e-06i,4.23674383568492e-06+4.71086430356051e-06i,6.14100740026408e-06+2.16381844530305e-06i,6.80182948792037e-06+-3.58013463104703e-06i,2.59397004628843e-05+0.00056171799834361i,-1.72156502119445e-05+-1.09523218663489e-05i
-170.019583281521,-20.2650274397218,31.2,1.69366489230888e-06+5.10293748906727e-09i,2.35187531667143e-05+8.87267124081006e-08i,-3.5933019167578e-06+1.50467484093513e-08i,2.79707731560198e-06+2.37032899810946e-08i,-7.95589243062636e-06+-9.43220904598868e-07i,3.58224321619107e-06+-2.50657595983192e-07i,-3.06817791785847e-05+-9.32055505521864e-07i,-9.15752305913112e-07+-4.93358629440755e-07i,-3.84797282658945e-07+-5.52132077890863e-07i,4.60061944525251e-06+-1.05114064330218e-06i,3.50146289472766e-06+-1.09288535691617e-06i,-1.70253470515553e-06+-2.71346997877978e-07i,2.56574606621322e-06+-1.60507397661754e-06i,9.07642135040776e-06+-2.44388961651696e-06i,-1.7030485887453e-06+-2.55793434079099e-06i,-2.55284339805603e-05+4.94710522454558e-06i,-7.77837083683175e-06+-3.52442884390893e-07i,1.08401710900391e-05+-9.16243274616268e-06i,-3.97851982539803e-05+1.71093802750316e-05i,-4.26373079137644e-06+-1.90512870160144e-06i,-3.54782537668266e-06+-2.347803190955e-06i,-8.6399307219632e-06+-3.42106412612031e-06i,-1.94063091286044e-06+-1.09835111906029e-05i,-1.27409609357496e-05+-2.68153482185864e-06i,0.000614653551119572+0.000275769576513909i,0.000123551724896283+1.42790380308865e-05i,-5.62538312189471e-06+1.92532810981306e-06i,-1.79375890324974e-05+-6.59772557724051e-06i,-1.53677791016646e-05+-4.45963392364475e-06i,9.24826612602233e-06+-1.07161975275296e-05i,-1.21238146774525e-05+2.26499495523745e-06i,8.19664075934797e-06+-2.98361491298004e-06i,2.84395757989673e-05+-1.37781871026148e-05i,-1.21673970368102e-06+-1.79323760196734e-06i,-1.48875390393478e-06+1.16313521181576e-05i,-5.52803028301203e-06+7.15578124223756e-06i,4.47490817348244e-05+7.60541792485947e-06i,6.1927522672473e-06+5.37494051938383e-06i,1.16455313397903e-06+6.22765192288339e-06i,4.01901124961853e-06+5.15539326557118e-06i,6.38416666006287e-06+2.38979224378102e-06i,7.08765999877869e-06+-4.08306617022465e-06i,4.66822097383556e-05+0.000632646174086022i,-2.91257229983355e-05+-9.476941905996e-06i
-170.019583281521,-6.77081517173009,31.2,1.7339519164096e-06+5.09176084873378e-09i,2.55723871912296e-05+8.92599736470509e-08i,-4.60830527436981e-06+1.35467129746085e-08i,2.87609547012926e-06+2.36034978060906e-08i,-7.40194171089517e-06+-9.50478590111605e-07i,4.2228570475961e-06+-2.52903694809471e-07i,-3.87588446318636e-05+-9.61949202891048e-07i,-1.71512833455219e-06+-5.01726037012211e-07i,-1.13185668588268e-06+-5.63820151797861e-07i,1.15576682883556e-05+-1.03706994416757e-06i,4.96672424265725e-06+-1.11459794861906e-06i,-1.98778305941529e-06+-2.77566693210835e-07i,2.42654630947647e-06+-1.6314154226823e-06i,5.03216867274918e-06+-2.46889523962053e-06i,2.09875050049896e-06+-2.58662940557223e-06i,-2.3897040934628e-05+4.99084470327384e-06i,-6.60969776139567e-06+-3.71359528825265e-07i,1.64401785699413e-05+-9.38465050356562e-06i,-5.9444800142811e-05+1.70006686869141e-05i,-5.57909779789378e-06+-1.95953577907567e-06i,-4.58415878586094e-06+-2.41506685875381e-06i,-9.67830660868702e-06+-3.5288225870679e-06i,-9.16986470231065e-06+-1.10416975406757e-05i,-1.35549034140886e-05+-2.81403202386923e-06i,0.000683778859666064+0.000299667402699159i,0.000127834252476519+1.5535454858257e-05i,-4.12815001036463e-06+1.44671218378655e-06i,-1.40023071035968e-05+-6.71805818389406e-06i,-1.24414004070235e-05+-4.87286331464377e-06i,9.91741032353343e-06+-1.10898635327965e-05i,-1.32851224386365e-05+2.27628286750323e-06i,1.27771443729553e-05+-3.15302262204429e-06i,3.20221346477303e-05+-1.45929731007301e-05i,9.36145777036437e-07+-2.03298149042348e-06i,2.88703319810403e-07+1.18200840178228e-05i,-7.20537074273002e-07+7.11929370411704e-06i,9.81882604370512e-06+8.60806345267616e-06i,4.76480390886806e-06+5.52915304429063e-06i,7.05463602576484e-07+6.24797134093321e-06i,3.04364571793204e-06+5.37883225656846e-06i,5.48707313582304e-06+2.5394614455874e-06i,5.26389555331057e-06+-4.29715559750099e-06i,0.000160071308567635+0.000675463500553685i,-3.15324096045673e-05+-8.96179613609128e-06i
-170.019583281521,6.72339709626159,31.2,1.72620941059106e-06+5.07511286239515e-09i,2.51972358440246e-05+8.92021028838352e-08i,-4.54512081075722e-06+1.31641011122972e-08i,2.91434926706468e-06+2.37366428690303e-08i,-7.12860747052121e-06+-9.48619965708843e-07i,4.13059596507148e-06+-2.52522908972257e-07i,-3.76484480158666e-05+-9.5900131997059e-07i,-1.57369793074157e-06+-5.01185331952171e-07i,-1.06654048483175e-06+-5.63426840641263e-07i,1.14160985325411e-05+-1.02695878009202e-06i,4.54778296356911e-06+-1.12000189253171e-06i,-2.03985195954349e-06+-2.78191486095455e-07i,2.55431239947968e-06+-1.63065360658411e-06i,5.36235956706896e-06+-2.48901755526198e-06i,1.76071281147734e-06+-2.58464075417895e-06i,-2.42911402892873e-05+4.987935079813e-06i,-7.11077401337234e-06+-3.61031685857939e-07i,1.49289591611603e-05+-9.354664079572e-06i,-5.72041259485282e-05+1.70585006602352e-05i,-5.39249014896853e-06+-1.96669056954054e-06i,-4.45060527869621e-06+-2.42552576291751e-06i,-9.52433187417271e-06+-3.54302428894362e-06i,-8.30320750245055e-06+-1.11048526795458e-05i,-1.33803487126469e-05+-2.83833513929372e-06i,0.000700418905166088+0.000302200709415222i,0.000118729018582139+1.55403620131366e-05i,-1.38352893865023e-06+9.4583198241516e-07i,-1.31564784496232e-05+-6.58830197948707e-06i,-1.37270811224967e-05+-5.09981607072164e-06i,9.75336747242333e-06+-1.11404200915192e-05i,-1.31438906637841e-05+2.24881266951884e-06i,1.21547495936582e-05+-3.15173690154444e-06i,3.12369783736693e-05+-1.47463026411875e-05i,5.49739354740325e-07+-2.08141942128414e-06i,2.98554372763444e-08+1.1815755199592e-05i,-1.29714633709882e-06+7.10949272772766e-06i,6.87497650702851e-06+8.95182914918972e-06i,4.68328341855753e-06+5.56588983749304e-06i,1.59763674058419e-06+6.02165427760306e-06i,3.07450059543338e-06+5.41018271462521e-06i,5.46106168809069e-06+2.56788475506705e-06i,5.25834534981529e-06+-4.34330144386436e-06i,0.00016270850479218+0.000677537801681903i,-3.0702408550569e-05+-9.3350647131751e-06i
-170.019583281521,20.2176093642533,31.2,1.66879438099314e-06+5.06323191629548e-09i,2.31387626468742e-05+8.83119954345165e-08i,-3.8226900289667e-06+1.41578931540157e-08i,2.92237683985993e-06+2.41102302290733e-08i,-7.81330299038729e-06+-9.3806396455941e-07i,3.3908181978443e-06+-2.49120364692592e-07i,-3.02550090916817e-05+-9.25805981306352e-07i,-8.9329618793528e-07+-4.91016890504871e-07i,-3.8915867293367e-07+-5.49551081373658e-07i,6.05204850800567e-06+-1.00607684806159e-06i,2.77309415716617e-06+-1.10280228447376e-06i,-1.64589484612973e-06+-2.70026023826824e-07i,2.73708327415178e-06+-1.59319552750214e-06i,8.46312397882511e-06+-2.46922191296382e-06i,-1.48743786894846e-06+-2.53781072135355e-06i,-2.42851286014783e-05+4.94759219043102e-06i,-7.98921999086635e-06+-3.06833907829569e-07i,8.74045581426961e-06+-9.01648432066361e-06i,-3.85761267406919e-05+1.70246100227986e-05i,-4.25257991964387e-06+-1.88091439129611e-06i,-3.52048374942206e-06+-2.33111619249923e-06i,-8.34130861326793e-06+-3.39742995292029e-06i,-2.23600825931336e-06+-1.09100031341488e-05i,-1.2268227788111e-05+-2.65794903993407e-06i,0.000648733631482171+0.000275793347592053i,0.000101883815111056+1.44338047011885e-05i,1.45470082060409e-06+4.83883428121143e-07i,-1.59543607576664e-05+-5.99953311860848e-06i,-1.60409360108682e-05+-4.92193106641943e-06i,8.70057625443971e-06+-1.06893646937033e-05i,-1.19981024747854e-05+2.28343624079101e-06i,8.33915813740678e-06+-2.98101410040073e-06i,2.64201759865638e-05+-1.39626214764209e-05i,-1.48706312528183e-06+-1.87026669430433e-06i,-1.87608188486087e-06+1.15612587224728e-05i,-5.53588926474528e-06+7.11038140927953e-06i,2.59038211541123e-05+8.25529881880597e-06i,5.50900690810641e-06+5.44574460252658e-06i,3.19950143517198e-06+5.46170269498799e-06i,3.85540825022093e-06+5.16146863515148e-06i,6.03772991120365e-06+2.42332199247219e-06i,6.47793931771729e-06+-4.17567043799092e-06i,8.29834027829298e-05+0.000629875872299069i,-2.62496997370387e-05+-1.06510479022567e-05i
