x,y,z,f_69_19,f_Freq_115,f_202_98,f_209_59,f_283_74,f_315_71,f_356_95,f_389_31,f_489_57,f_508_46,f_516_68,f_566_83,f_617_02,f_685_53,f_690_48,f_754_55,f_769_56,f_832_57,f_849_84,f_952_34,f_966_71,f_999_72,f_1062_3,f_1109_6,f_1154_1,f_1159_2,f_1241_3,f_1253_3,f_1297_5,f_1301_8,f_1416_1,f_1425_3,f_1524_1,f_1528_5,f_1563_9,f_1577_4,f_1587_2,f_1684_5,f_1714_9,f_1737_9,f_1791_1,f_1884_4,f_1912_7,f_1940_9,f_1965_9,f_1995_9
-168.786288061516,-101.466012065894,31.2,6.26302177488748e-07+4.86263244035848e-09i,2.23078315026963e-06+5.10198929338656e-08i,1.5825697589739e-06+4.20243710945937e-08i,1.1519444284303e-06+2.49847362885431e-08i,-2.52547269079113e-06+-8.08985468590444e-07i,-5.3157704475675e-08+-2.47736657306913e-07i,6.8210290628389e-06+-5.4064159494683e-07i,1.707743965448e-06+-3.57963225960862e-07i,4.79039562910231e-06+-8.98512938126806e-07i,-4.91858287232271e-06+-2.94676805689437e-07i,-1.19285227436277e-06+-5.83311015587336e-07i,-8.92146214975897e-07+-6.99067615176597e-08i,1.08221619025838e-06+-9.84464235044319e-07i,-1.11993962928609e-06+-2.07239313816836e-06i,-4.16876481195325e-07+-1.98912430805635e-06i,4.86634384320009e-06+-4.55972978987368e-06i,-8.54308678972723e-06+2.78863986155495e-06i,1.39876779707738e-06+-4.73792854566672e-06i,-8.96445826538177e-06+7.83717496634926e-06i,-2.95558821014394e-06+-2.4813144458073e-07i,-2.21526032996836e-06+-7.55163834876191e-07i,-4.39084840912264e-06+-1.17439575569147e-06i,-6.73590343096528e-06+-4.53114876441016e-06i,-4.6162313237096e-06+-4.82719908674768e-08i,2.01027782018946e-05+4.27772092960067e-06i,4.57654320022655e-06+7.43958567585887e-09i,-4.20450417989225e-05+-0.000114317431266203i,-4.99735056550137e-06+-5.45588105574175e-07i,4.30743910753293e-06+-6.29095723808385e-06i,2.04851629468761e-07+-3.07540990285121e-06i,-4.09795473213501e-06+3.13822866361877e-06i,8.34287093576912e-06+-1.87557285586895e-06i,4.39853545127106e-07+-9.39625899983444e-07i,2.88413322335619e-08+2.41703508890926e-07i,3.37742606800962e-08+9.82125137425167e-08i,-2.56121484394066e-05+2.27517115503371e-05i,-1.31191095296693e-07+-1.61932112364502e-07i,2.08745413218905e-06+2.28721482773913e-06i,2.46420542175162e-06+1.692539185505e-06i,2.59413555502914e-06+1.41017110632248e-06i,2.67318694606532e-06+6.72589161452073e-07i,-6.81718806799522e-07+-1.19400061539151e-05i,1.51629106924397e-05+3.16311240912626e-05i,6.83495960190297e-06+7.84373682119335e-06i,5.30397403864518e-06+6.41485399123524e-06i,5.31434806106534e-06+1.36046358806935e-06i
-168.786288061516,-87.9328230820078,31.2,8.02014024139613e-07+4.76418124124528e-09i,3.70699373309001e-06+5.93335435993076e-08i,1.90878187961998e-06+3.70158635164808e-08i,1.51683404021318e-06+2.364805155632e-08i,-4.36161630693917e-06+-8.48793631351695e-07i,-2.70854998844111e-07+-2.58384998213912e-07i,8.43919148960556e-06+-6.24352345818934e-07i,2.07361904222567e-06+-3.88871639513762e-07i,6.21096585893634e-06+-9.59414563810316e-07i,-6.90948376004502e-06+-3.61647609620497e-07i,-1.86514874771408e-06+-6.49220930423536e-07i,-9.44390669403832e-07+-1.00346491619344e-07i,1.43769017444715e-06+-1.09473629643355e-06i,-2.12600072831746e-06+-2.27599872857184e-06i,-1.01018413526408e-06+-2.1929759929963e-06i,6.59486643785519e-06+-5.04012242632489e-06i,-1.20991081688761e-05+2.94617179434101e-06i,7.01584002367093e-07+-5.324885100003e-06i,-8.34266108049988e-06+8.55455126445806e-06i,-2.91362598254289e-06+-5.64042223048646e-07i,-2.20337940448408e-06+-1.10657950516014e-06i,-5.16846126853519e-06+-1.6515841240044e-06i,-6.55708279564326e-06+-5.71318483741496e-06i,-5.6118575561275e-06+-5.1379859210093e-07i,2.53064675527071e-05+6.34193447366851e-06i,5.32356314923617e-06+5.98150079794705e-07i,-2.71639119422142e-05+-0.000149963811476221i,-5.93460678260335e-06+-1.66764657179489e-06i,7.44791746817881e-06+-7.49647593483392e-06i,1.47673201284737e-06+-4.11147615949057e-06i,-4.82906659510927e-06+3.24599488331642e-06i,8.46659745567819e-06+-3.07074119478198e-06i,1.24446357787686e-06+-2.38111079027213e-06i,4.30563280133421e-07+-7.67298850839725e-07i,2.2174069928417e-07+-1.10978559827587e-06i,-2.3283371795467e-05+2.00727006098185e-05i,-4.40765339734294e-06+2.26362605351001e-06i,1.74636969631574e-06+2.95973366068104e-06i,2.26896125754715e-06+2.35782223013075e-06i,2.45606618285361e-06+2.03233063144393e-06i,2.29753314511623e-06+1.24889940997542e-06i,-1.10745566476231e-08+-1.61228776743696e-05i,1.609165796822e-05+4.44445708433819e-05i,7.80971662560464e-06+1.15232852811677e-05i,6.04914155870522e-06+9.14777881677861e-06i,6.69153154374044e-06+2.92671074261759e-06i
-168.786288061516,-74.3996340981217,31.2,1.00131551803736e-06+4.70498063749157e-09i,6.1481391713011e-06+6.64006252403526e-08i,2.07413089258669e-06+3.27054925182238e-08i,1.91501191835044e-06+2.24536602375531e-08i,-6.33186945964448e-06+-8.96402821080476e-07i,-3.54426545680888e-07+-2.7162064026782e-07i,8.64504266308352e-06+-7.14258558885412e-07i,2.32905248888722e-06+-4.23437768888153e-07i,7.82487166115764e-06+-1.02882825953554e-06i,-9.36547126183044e-06+-4.34953330419658e-07i,-2.758424146038e-06+-7.22042801376966e-07i,-8.93508159096799e-07+-1.36530385605647e-07i,1.87040753723542e-06+-1.21746445152702e-06i,-3.80147349904231e-06+-2.50235898447391e-06i,-2.07981825226592e-06+-2.41833956645231e-06i,8.41512794407802e-06+-5.5614973895728e-06i,-1.64917586428351e-05+3.10446637424211e-06i,-1.19034107770701e-06+-5.97250407884257e-06i,-4.64935519278175e-06+9.4265770143641e-06i,-2.62132988393732e-06+-8.95137047146346e-07i,-2.00551205484204e-06+-1.48165234655856e-06i,-5.87383469940482e-06+-2.17190105780988e-06i,-4.01733780917019e-06+-7.05352766873923e-06i,-6.77046592744402e-06+-1.01660457919398e-06i,3.13517983528868e-05+8.62465927560623e-06i,6.60845202546737e-06+1.27745383689268e-06i,-3.77687239456288e-05+-0.000195431622131853i,-8.11519485709495e-06+-2.90826016642822e-06i,1.16277394457356e-05+-8.80973215529937e-06i,3.21067997608508e-06+-5.27374498166568e-06i,-4.97162101764967e-06+3.3551289174641e-06i,5.05742292329194e-06+-4.53169026227075e-06i,2.05593908590642e-06+-4.12675611952521e-06i,6.98964236821539e-07+-1.99894593639773e-06i,-8.3920587331188e-07+-2.59915233880177e-06i,-1.8265485257348e-05+1.71887955730178e-05i,-8.96870496982444e-06+5.29142478607939e-06i,1.53704932191595e-06+3.70530537711051e-06i,2.11434064932371e-06+3.09150558578272e-06i,2.34914491924198e-06+2.71199714477654e-06i,1.71099773012685e-06+1.88554386369569e-06i,6.65273656136341e-07+-2.15570614424948e-05i,1.85444924211726e-05+6.05395235943681e-05i,9.5666131952966e-06+1.60625867051715e-05i,7.63199673291224e-06+1.24779567463174e-05i,8.72715264230386e-06+4.82923371588504e-06i
-168.786288061516,-60.8664451142355,31.2,1.20680018700957e-06+4.68735615058392e-09i,9.64976320297677e-06+7.24579598575981e-08i,1.92404151744505e-06+2.90343347006324e-08i,2.27291360177212e-06+2.14532404885557e-08i,-7.5280195193556e-06+-9.46171899027522e-07i,2.47311223325767e-08+-2.85927440295776e-07i,4.92305323616921e-06+-8.11478877597462e-07i,2.18529807887166e-06+-4.59457841318749e-07i,8.92359568126073e-06+-1.09786561408388e-06i,-1.08955939978921e-05+-5.08159535093449e-07i,-3.30621801151678e-06+-7.96260395082698e-07i,-8.98149752532624e-07+-1.77151766447405e-07i,2.28842827741558e-06+-1.34165941993433e-06i,-5.29696929281623e-06+-2.71999452407633e-06i,-3.0305153498547e-06+-2.63678115849855e-06i,1.01327257524322e-05+-6.05160212809257e-06i,-2.05896916319384e-05+3.21354681253331e-06i,-3.21400472827915e-06+-6.60696627391823e-06i,1.69076936985727e-07+1.02829014281275e-05i,-2.40638554531578e-06+-1.22839613179724e-06i,-1.72611940958452e-06+-1.85711103817613e-06i,-6.30321948213353e-06+-2.69445185742205e-06i,2.02068752405675e-06+-8.40221982588441e-06i,-7.82220794960545e-06+-1.54341077843299e-06i,3.61407112922674e-05+1.08607665057852e-05i,9.05877911864463e-06+1.96229306682587e-06i,-0.000101010622433165+-0.000250059256838313i,-1.21673895728376e-05+-4.1834916796941e-06i,1.49802421497205e-05+-9.91073687685736e-06i,4.7211403457533e-06+-6.36681179335661e-06i,-5.28033874414392e-06+3.29717333673307e-06i,7.90365298551411e-07+-5.85148179779223e-06i,2.08785747117451e-06+-5.87396032103891e-06i,5.22851709431728e-08+-3.27700648849094e-06i,-5.5073501698898e-06+-4.0989017019819e-06i,-2.21584842387801e-05+1.3442199737952e-05i,-4.94096027413408e-06+8.49973966145735e-06i,2.11342782244011e-06+4.29581434082319e-06i,2.44322735143674e-06+3.7065156655237e-06i,2.71749396365459e-06+3.28455662270172e-06i,1.94273347609756e-06+2.45901796812186e-06i,3.31579589157005e-06+-2.64398062178767e-05i,1.59169674199156e-05+7.47305822041294e-05i,1.01134421851624e-05+2.01090505557199e-05i,8.95886762123411e-06+1.53556316186119e-05i,9.80807037717161e-06+6.67618141567925e-06i
-168.786288061516,-47.3332561303493,31.2,1.3825989155489e-06+4.66318963331793e-09i,1.38217724184173e-05+7.67738248657982e-08i,1.40314842322172e-06+2.60664466623732e-08i,2.51643993806585e-06+2.05323640201712e-08i,-7.49470587299192e-06+-9.89934585590894e-07i,9.63470328901435e-07+-2.99434882858755e-07i,-3.74622544408827e-06+-9.09215001100578e-07i,1.46551403631339e-06+-4.93950759054133e-07i,8.75416991059344e-06+-1.16371258666247e-06i,-1.00081469362352e-05+-5.69034287948235e-07i,-2.87181410342659e-06+-8.65918086244023e-07i,-1.16485998670324e-06+-2.15529005777679e-07i,2.56236127020894e-06+-1.463265920135e-06i,-5.26694333621965e-06+-2.93225447321339e-06i,-2.88782397512921e-06+-2.85308985956216e-06i,1.1949552842313e-05+-6.54470506645485e-06i,-2.34417780768982e-05+3.32145756099765e-06i,-2.97861602659455e-06+-7.27990957621059e-06i,-2.57391763566893e-07+1.11121039473418e-05i,-2.72264723442785e-06+-1.55400533446134e-06i,-1.71180189674713e-06+-2.23079414423197e-06i,-6.93615466574519e-06+-3.22335523206845e-06i,7.85943982343437e-06+-9.78758514593904e-06i,-8.93065332195329e-06+-2.07094169238367e-06i,4.12823817751081e-05+1.31867233652463e-05i,1.27831274931578e-05+2.70496428665109e-06i,-0.000190728664700757+-0.00031271527231363i,-1.72359020435783e-05+-5.48778925498834e-06i,1.60866360219808e-05+-1.10988071796444e-05i,5.68915346565167e-06+-7.51834315409563e-06i,-7.02121256600577e-06+3.32654764105305e-06i,1.43890751232571e-06+-7.20740772626777e-06i,1.83622832518579e-06+-7.74198152942633e-06i,-1.05974909834418e-06+-4.62530827988953e-06i,-1.27391408781476e-05+-5.70957613704398e-06i,-3.38739493914015e-05+1.02058601164992e-05i,8.21612285300991e-06+1.2223897094587e-05i,3.59495408998419e-06+5.00118355298818e-06i,3.45962352647349e-06+4.42297415646103e-06i,3.82094185857256e-06+3.94932639548312e-06i,3.41554289297636e-06+3.12081161954042e-06i,7.86952055368524e-06+-3.23842046792127e-05i,9.97691852976171e-06+9.15466780834515e-05i,1.03848075901776e-05+2.48678996906296e-05i,1.11196993365857e-05+1.87823690192258e-05i,1.03613127659117e-05+8.76349571075056e-06i
-168.786288061516,-33.8000671464631,31.2,1.52990865513738e-06+4.68089354544235e-09i,1.83672515840441e-05+8.00826063182938e-08i,6.2395659367809e-07+2.39519437005238e-08i,2.69404228978639e-06+1.99243213496627e-08i,-7.18345513049995e-06+-1.02799034604736e-06i,2.18942300250658e-06+-3.10961309413725e-07i,-1.66663890351308e-05+-1.00195418795224e-06i,1.3509325633339e-07+-5.23805954027068e-07i,6.88815201664909e-06+-1.21823271346282e-06i,-6.1108570033313e-06+-6.04314471418167e-07i,-1.22984846535808e-06+-9.19234536581568e-07i,-1.58298799964997e-06+-2.45673730499289e-07i,2.59808611310769e-06+-1.56032742549791e-06i,-3.093735458544e-06+-3.09461408186262e-06i,-1.22135249357396e-06+-3.02300661359089e-06i,1.35171210763087e-05+-6.92985000945036e-06i,-2.37234880841679e-05+3.39671325034781e-06i,1.07108323435428e-06+-7.83973570331826e-06i,-1.03329103916959e-05+1.16271597632802e-05i,-3.94827163605292e-06+-1.80209813847142e-06i,-2.24942420309125e-06+-2.51603133930701e-06i,-8.11753699284445e-06+-3.62875923690555e-06i,8.32862549036706e-06+-1.07692394632028e-05i,-9.97570675875541e-06+-2.48079290331589e-06i,4.79039304334472e-05+1.50959508396865e-05i,1.73946090652959e-05+3.39920348562636e-06i,-0.000221273370525062+-0.000352961033552308i,-1.98996014768732e-05+-6.48431810640663e-06i,1.42834995979111e-05+-1.18832669984357e-05i,6.15914888141011e-06+-8.36771653412143e-06i,-9.81902175554546e-06+3.3197441080472e-06i,9.29905095938573e-06+-8.09443394348083e-06i,3.01850328147931e-06+-9.21716251512246e-06i,-8.62184231837716e-07+-5.71374208057954e-06i,-1.73987557896703e-05+-7.0068433612859e-06i,-4.06615429069353e-05+7.19775118046482e-06i,2.28123721116649e-05+1.53042240443162e-05i,4.97872198656184e-06+5.45910756894825e-06i,4.43098036258936e-06+4.89423302900206e-06i,4.89445931123658e-06+4.38338299334188e-06i,4.9655075379866e-06+3.57955208116098e-06i,1.30319401025104e-05+-3.68474326639288e-05i,1.23238920006997e-06+0.000103542330270249i,9.68816619843116e-06+2.82484049260483e-05i,1.2856871912907e-05+2.11594851129431e-05i,9.78708526575197e-06+1.02965408159131e-05i
-168.786288061516,-20.266878162577,31.2,1.62073467528028e-06+4.68802812525151e-09i,2.18469716109042e-05+8.21382926740175e-08i,-1.25201761702733e-07+2.25003798629064e-08i,2.75858939601669e-06+1.94896651768583e-08i,-6.20344155447397e-06+-1.0512933144495e-06i,3.42837166668694e-06+-3.18404404235873e-07i,-2.9449757949587e-05+-1.07286193703108e-06i,-1.26426971499445e-06+-5.44712646034455e-07i,4.23021918663151e-06+-1.25431113261947e-06i,-6.55136478827037e-07+-6.18645523350082e-07i,1.11374500096735e-06+-9.5349155330865e-07i,-2.2468752170304e-06+-2.65026979743551e-07i,2.43218220871739e-06+-1.62763709431011e-06i,8.36143609552338e-07+-3.19992127714055e-06i,1.70992626389211e-06+-3.13947079975855e-06i,1.51004256832595e-05+-7.20364907513094e-06i,-2.22570160276737e-05+3.44371984933445e-06i,8.50214559190284e-06+-8.2833280743999e-06i,-2.99534439395517e-05+1.1825108670483e-05i,-5.86266277273709e-06+-1.98330420497402e-06i,-3.32859452653442e-06+-2.72531233546471e-06i,-9.97666788834751e-06+-3.92538106069865e-06i,4.85015999916947e-07+-1.13344379053904e-05i,-1.10035025819301e-05+-2.79430583478453e-06i,5.60689825854315e-05+1.66764148710699e-05i,1.98614286703228e-05+4.142228992449e-06i,-0.00012063237678816+-0.000358038503784053i,-1.77926779585225e-05+-7.22946701424888e-06i,1.24466081274115e-05+-1.23181896565545e-05i,6.73525892612648e-06+-8.97192289495484e-06i,-1.26080325970157e-05+3.3006260169341e-06i,2.23921832501228e-05+-8.59738292286154e-06i,6.62417583509867e-06+-1.03262460979064e-05i,1.93422830526732e-06+-6.54365933177484e-06i,-1.36057332059449e-05+-8.03664131665738e-06i,-2.27263578195658e-05+4.47748094668076e-06i,1.99749541784813e-05+1.770015445521e-05i,4.26525677545924e-06+5.80789981081804e-06i,3.88297053479055e-06+5.23385462650272e-06i,4.35741762004175e-06+4.70099153383364e-06i,3.73525721275739e-06+3.94651668207943e-06i,1.23114940626991e-05+-4.02152096672966e-05i,5.88276669884974e-06+0.000112692154176038i,1.18705538115587e-05+3.08008076621489e-05i,1.5424667044204e-05+2.29607023055119e-05i,1.10795276761672e-05+1.14749717576686e-05i
-168.786288061516,-6.73368917869078,31.2,1.66934269173296e-06+4.68355581017916e-09i,2.37896923343322e-05+8.30137051562492e-08i,-5.86393159469561e-07+2.16626920233833e-08i,2.78242040940378e-06+1.92009727691112e-08i,-5.5196314063509e-06+-1.06350602545282e-06i,4.18196725482839e-06+-3.22493238880603e-07i,-3.71888657028073e-05+-1.11250344921985e-06i,-2.12065568286461e-06+-5.56328319190446e-07i,2.45878925968099e-06+-1.27349057795495e-06i,2.98434970883346e-06+-6.25740220565614e-07i,2.74208494991061e-06+-9.71594210304652e-07i,-2.75954389369235e-06+-2.75277422374111e-07i,2.27820112993958e-06+-1.66487699142928e-06i,3.72612719163334e-06+-3.2548004368621e-06i,3.86840952257202e-06+-3.20278214936914e-06i,1.63061992684856e-05+-7.3549969319261e-06i,-2.1333884026736e-05+3.46647925215501e-06i,1.39140361953625e-05+-8.53978147106335e-06i,-4.51380577579357e-05+1.18761028602876e-05i,-7.21428928177779e-06+-2.08271104788026e-06i,-4.15202638046105e-06+-2.84141191171241e-06i,-1.15245924154656e-05+-4.09075702057163e-06i,-7.36454483360056e-06+-1.15853830988057e-05i,-1.1840345071505e-05+-2.96880825378222e-06i,6.2449945038762e-05+1.77073490771632e-05i,1.878582214841e-05+4.91541384202595e-06i,7.50356900481575e-06+-0.00034740509688342i,-1.47054451726063e-05+-7.64233066759816e-06i,1.30499323399035e-05+-1.23015999364169e-05i,7.70824803284103e-06+-9.26578985519522e-06i,-1.38901868289911e-05+3.28376963182385e-06i,3.13336704201167e-05+-8.87099195009309e-06i,1.02136266045898e-05+-1.09320086887959e-05i,5.00024255538568e-06+-7.00353363062129e-06i,-7.74052437221081e-06+-8.63302691122683e-06i,2.44383065817142e-06+2.69754426167796e-06i,9.02424531921862e-06+1.93098743162237e-05i,2.88283538016646e-06+6.01351437801385e-06i,2.86600337795905e-06+5.41275549775435e-06i,3.28253023932654e-06+4.87140685217386e-06i,1.45692825475284e-06+4.17553953741855e-06i,9.30694025695082e-06+-4.2188723480936e-05i,1.54004095078688e-05+0.000117858101299354i,1.483257368975e-05+3.22325153954801e-05i,1.76542563617836e-05+2.39861192492928e-05i,1.30974509783456e-05+1.21466473767013e-05i
-168.786288061516,6.79949980519538,31.2,1.66377271842983e-06+4.6753693515376e-09i,2.36789776714509e-05+8.28698995362135e-08i,-6.25672989528235e-07+2.15320319431538e-08i,2.76921032142217e-06+1.91502002202055e-08i,-5.57215859799347e-06+-1.06229659723304e-06i,4.14426407333894e-06+-3.22153813490407e-07i,-3.69092837683178e-05+-1.11019266386708e-06i,-2.09050497355307e-06+-5.55763461603654e-07i,2.48348043342805e-06+-1.27238032153116e-06i,2.7813627486558e-06+-6.27849708978786e-07i,2.73606548817764e-06+-9.69595925904228e-07i,-2.69410372354102e-06+-2.74444397526802e-07i,2.24658388970964e-06+-1.66368566849442e-06i,3.67185847748284e-06+-3.25139404370793e-06i,3.82336609394613e-06+-3.20065627947681e-06i,1.6095016736944e-05+-7.35179863708664e-06i,-2.11124447502627e-05+3.47030564798569e-06i,1.3464565204498e-05+-8.52144533282673e-06i,-4.46262835261368e-05+1.18719871508096e-05i,-7.21754077999327e-06+-2.0777075187659e-06i,-4.15785906844008e-06+-2.83772653354894e-06i,-1.145296610571e-05+-4.08968915435036e-06i,-7.31757802978737e-06+-1.15899694230271e-05i,-1.18476737670303e-05+-2.95822656864492e-06i,6.02288463609675e-05+1.78320951455133e-05i,1.37680459486049e-05+5.57925711392692e-06i,3.00217379914288e-05+-0.000346358942897168i,-1.47332509024443e-05+-7.64380954385894e-06i,1.36830559674076e-05+-1.18039099590147e-05i,7.73509520706043e-06+-9.18410343806029e-06i,-1.41458495542009e-05+3.32066539618728e-06i,3.37068731842333e-05+-8.95680036650802e-06i,1.01521657412296e-05+-1.09230793851013e-05i,4.99612949567347e-06+-6.99806890075391e-06i,-7.59591762591441e-06+-8.65690918218245e-06i,1.37787583891896e-06+2.69980688676734e-06i,1.17240422967248e-05+1.99953861262569e-05i,2.82988388934581e-06+6.06300188994662e-06i,2.92682411740713e-06+5.42596712615951e-06i,3.32560405673861e-06+4.8876742505077e-06i,1.35292841213798e-06+4.23856201882315e-06i,9.09089255005643e-06+-4.25601893129733e-05i,1.60335554876142e-05+0.000118160044841171i,1.50032085366767e-05+3.23582322812739e-05i,1.76956266935278e-05+2.41093288853652e-05i,1.3231781019281e-05+1.22185801360977e-05i
-168.786288061516,20.3326887890816,31.2,1.62280310890558e-06+4.69280381809055e-09i,2.21192481948751e-05+8.19646173196872e-08i,-3.22001904161893e-07+2.21799715823167e-08i,2.7566691920926e-06+1.94086295063867e-08i,-6.61063964572464e-06+-1.05284205752082e-06i,3.40044177550907e-06+-3.18665408647538e-07i,-3.01372268496674e-05+-1.07323810370927e-06i,-1.36008957077993e-06+-5.45321345826414e-07i,4.00909185137764e-06+-1.25478135013762e-06i,-6.93948646502293e-07+-6.24041780968527e-07i,1.28821996917733e-06+-9.49762544081743e-07i,-2.09149075279059e-06+-2.63643730101813e-07i,2.3381898041708e-06+-1.62720239477367e-06i,9.20779982165133e-07+-3.19485130342901e-06i,1.75556295884359e-06+-3.13799862477774e-06i,1.4720267445448e-05+-7.19871768034317e-06i,-2.1762368001868e-05+3.45293221728394e-06i,7.870692679843e-06+-8.23783406484766e-06i,-2.9882119429305e-05+1.18008586518918e-05i,-5.96174228131133e-06+-1.96301879839538e-06i,-3.38581789409267e-06+-2.70835509183774e-06i,-1.00139700648278e-05+-3.91430041955345e-06i,2.28634113352497e-07+-1.13180038630403e-05i,-1.11431362335098e-05+-2.7543922416717e-06i,5.21633810753077e-05+1.7069011972552e-05i,7.98261868169201e-06+5.99051298255741e-06i,-6.20283338991997e-05+-0.00035486424321418i,-1.77689317118021e-05+-7.19465353773701e-06i,1.23453210295087e-05+-1.08570355966408e-05i,6.78498742801553e-06+-8.69843456802174e-06i,-1.29270014275197e-05+3.37587652642504e-06i,2.65858778372678e-05+-8.8588316776293e-06i,6.94911761861029e-06+-1.02637327546334e-05i,2.21957586370667e-06+-6.51294478439823e-06i,-1.36435062986782e-05+-8.08075635739968e-06i,-2.36229774236797e-05+4.39415370389131e-06i,3.13151582150564e-05+1.94070531128298e-05i,4.36952816450655e-06+5.86599956544785e-06i,4.1862827797553e-06+5.19496100238722e-06i,4.63997449290266e-06+4.67151089747857e-06i,3.65529858207386e-06+4.05100549174816e-06i,1.28745825679784e-05+-4.09084443731339e-05i,4.75377232631309e-06+0.000112313237887207i,1.16551933145844e-05+3.07970303977522e-05i,1.53579485047242e-05+2.30329506766133e-05i,1.08488437075956e-05+1.15381161459531e-05i
