x,y,z,f_69_6,f_119_09,f_201_88,f_209_73,f_259_98,f_339_62,f_352_58,f_394_19,f_495_78,f_530_25,f_553_72,f_584_33,f_613_07,f_672_79,f_717_58,f_801_83,f_816_88,f_858_01,f_892_99,f_911_85,f_942_89,f_1020_6,f_1060_8,f_1090_9,f_1208,f_1251_3,f_1264_8,f_1322_4,f_1348_3,f_1353_3,f_1452_4,f_1474_4,f_1533_8,f_1563_4,f_1577_6,f_1644_9,f_1669_5,f_1774_6,f_1814_8,f_1823_3,f_1854_1,f_1930_7,f_1948_7
-168.438577188277,-98.6124168620654,31.2,6.74324475350659e-07+5.30961452697653e-09i,2.05447097341181e-06+4.15873048718949e-08i,1.00901610753317e-06+1.57270965791058e-08i,2.27153807326732e-06+6.15654395482918e-08i,-5.10872412453544e-06+-6.45287807658656e-07i,-1.61838135638752e-06+-6.4268869226454e-08i,7.35058539689366e-06+-6.47279589955405e-07i,1.53175398350121e-06+-3.3968257725597e-07i,-1.09299906132027e-06+2.94763033292533e-08i,1.27953710975039e-07+-1.6270153227279e-06i,1.58788118160365e-06+-1.04777913795618e-06i,-5.30942306996079e-06+1.28650021840622e-06i,2.06489111382918e-07+-6.52280685873866e-07i,1.28187020517121e-06+-1.11836429643136e-06i,-2.32287099366023e-06+-1.70883134761606e-06i,8.64912298291976e-06+-2.13639244503536e-06i,-5.21634773092347e-06+1.79003129271354e-08i,-1.01575783010886e-06+-1.7308346720311e-06i,-1.91490966964125e-05+1.9843332920241e-05i,-3.85747997288634e-06+1.57315231353165e-06i,-2.66280073658626e-06+-2.2187744769115e-07i,-1.85792338637116e-06+-7.31965594594551e-07i,-3.05569174479197e-06+-7.13822470111125e-07i,-9.00572921520728e-06+-3.09090384306698e-06i,-4.86906419331346e-06+1.8944447785824e-06i,-1.50763307885375e-05+1.20690264936612e-05i,1.12647960938141e-05+-1.11797561037815e-05i,-2.06246414841723e-06+1.08867274033209e-06i,-3.45020056300286e-06+-3.6344316497231e-07i,-2.40743053933741e-06+6.8672581692636e-07i,-1.38047146635489e-06+-3.51085094625023e-06i,-1.35681642780601e-06+7.25358736924693e-07i,1.87182409288201e-07+5.9861044333906e-07i,1.13929609709715e-07+7.22501489784995e-07i,-4.06073673359949e-06+1.19532418985071e-05i,-4.73448644606571e-07+5.19597914123234e-06i,-1.14429178587738e-06+6.50599607343784e-06i,2.83264904497298e-06+2.11679356032092e-06i,3.21270173953479e-06+1.25588607100903e-06i,3.6119291680737e-06+-1.48041350300497e-07i,2.40928494359558e-06+6.30854965340499e-06i,3.59426061426812e-08+-8.12196219623011e-06i,-1.76422014099437e-05+-4.44432879096978e-05i
-168.438577188277,-85.4659204586534,31.2,8.58215363427865e-07+5.25399525332981e-09i,3.3053800591814e-06+4.70823248917691e-08i,1.57851162857393e-06+1.79505732273205e-08i,2.32847633446889e-06+5.06487223166558e-08i,-7.34974162102684e-06+-6.61584873387997e-07i,-1.86067990906095e-06+-4.86018933918271e-08i,8.41571577011062e-06+-7.39969573305565e-07i,1.78409702035088e-06+-3.66847396471037e-07i,-1.16873603728696e-06+1.88756887255209e-08i,-1.17318057924382e-06+-1.75046327030473e-06i,1.73457951208018e-06+-1.13153589498194e-06i,-6.37051564077152e-06+1.33433847964438e-06i,2.60641076396096e-07+-7.2558870552931e-07i,1.7523355871392e-06+-1.24281413285297e-06i,-3.80497438416718e-06+-1.8882968274738e-06i,1.14070784694763e-05+-2.57995467755191e-06i,-7.75742931444355e-06+-5.35999364077692e-08i,-7.92381709279911e-07+-2.12685109821647e-06i,-1.91819522711956e-05+2.18856015853735e-05i,-4.01889976196659e-06+1.5842403518999e-06i,-2.86867814209868e-06+-4.19582183149336e-07i,-1.8456337987785e-06+-1.03792868013185e-06i,-3.30687113830172e-06+-1.09325164868563e-06i,-8.58363864194261e-06+-4.20598867971971e-06i,-6.00486734007068e-06+1.76477452521984e-06i,-2.02887521062921e-05+1.36054706957624e-05i,1.60687925567269e-05+-1.32780629200754e-05i,-2.24085221379915e-06+8.01467843685409e-07i,-5.45621254053408e-06+-1.32698076706493e-06i,-3.40166669757048e-06+2.16564491784964e-07i,-7.82401432175197e-07+-4.95124279513921e-06i,-1.71770604394753e-06+3.62481617172436e-07i,-4.15500100177665e-07+4.99806292511719e-07i,-1.574429038296e-06+1.38666279202211e-06i,-2.80921745548026e-06+1.22549786654251e-05i,-6.1774419102234e-07+5.6362237095301e-06i,-1.07188339220691e-06+6.82682218134393e-06i,2.91998810595234e-06+2.75807506891178e-06i,4.24447445697409e-06+1.09144211395482e-06i,6.1805995925236e-06+-1.69808770380873e-06i,1.48666949396504e-07+8.89150907819184e-06i,1.65832489337724e-08+-9.0680573847001e-06i,-2.23594269485596e-05+-5.01713015432072e-05i
-168.438577188277,-72.3194240552415,31.2,1.09694322503071e-06+5.26487276144604e-09i,5.37827905497416e-06+5.1886008697565e-08i,2.42924135694817e-06+2.01579606542766e-08i,1.9696236902493e-06+4.08276739491183e-08i,-9.42745183083077e-06+-6.89123668181538e-07i,-1.30054925216665e-06+-3.58272106808853e-08i,7.5362902017735e-06+-8.43649018891424e-07i,1.95770264189668e-06+-4.00027108440982e-07i,-1.27608756691279e-06+3.43182143035963e-09i,-2.81144293877887e-06+-1.90013990563456e-06i,1.92532068903703e-06+-1.2342300642594e-06i,-7.80894321372866e-06+1.38387974580665e-06i,3.15616034863112e-07+-8.17728569356699e-07i,2.38271637865497e-06+-1.39628493534578e-06i,-6.02651628638918e-06+-2.11643101458714e-06i,1.29807746228215e-05+-3.12837804089174e-06i,-1.09926704702085e-05+-1.99650595487476e-07i,-1.40391947735517e-06+-2.58593552953676e-06i,-1.5233091223249e-05+2.46164364003459e-05i,-3.71305647967165e-06+1.60617865809494e-06i,-2.91046290441621e-06+-6.61738314121238e-07i,-1.60890180325656e-06+-1.41692887639438e-06i,-3.35258805732903e-06+-1.56825803292514e-06i,-5.52233204597387e-06+-5.61639141217153e-06i,-7.2604557356416e-06+1.56539515434725e-06i,-2.5738186943155e-05+1.53742366677243e-05i,2.08702548262108e-05+-1.58667860589103e-05i,-2.61570515336481e-06+3.97987467215463e-07i,-8.56345585889276e-06+-2.59854534398113e-06i,-4.9164790132716e-06+-4.29204659795005e-07i,3.08438524412143e-07+-6.80155641081607e-06i,-2.16173927075839e-06+-1.68217275739086e-07i,-1.3848839925227e-06+2.82975573129721e-07i,-4.52501161418702e-06+2.12847893569018e-06i,6.08336331111353e-08+1.2554982910727e-05i,-8.88633370569638e-07+6.09142700755697e-06i,-1.35176244058288e-06+7.09861956577777e-06i,3.28190210104725e-06+3.53177919960078e-06i,6.15077770873155e-06+7.99424202713759e-07i,1.06208221752029e-05+-3.82580243862566e-06i,-2.8831256716986e-06+1.21384338433919e-05i,3.55252970084212e-07+-1.02285199449503e-05i,-2.68376334186408e-05+-5.74031155259482e-05i
-168.438577188277,-59.1729276518295,31.2,1.32737633057961e-06+5.31285152335997e-09i,8.15944418659108e-06+5.61353092056864e-08i,3.4696588743855e-06+2.22029384542211e-08i,8.50324785949749e-07+3.20413578117859e-08i,-1.02662802826686e-05+-7.14929992770125e-07i,8.8889214608515e-07+-2.31915162130329e-08i,2.16923918225265e-06+-9.53599263963493e-07i,1.75872593298916e-06+-4.32481719213828e-07i,-1.36310447541461e-06+-1.13321773593677e-08i,-3.5663763618866e-06+-2.03428360213702e-06i,2.14351406405097e-06+-1.33108518400909e-06i,-8.95020626248464e-06+1.43174600333853e-06i,3.79401259482706e-07+-9.04332832735119e-07i,2.92262678621642e-06+-1.53941758721825e-06i,-7.95526935496439e-06+-2.33183014003524e-06i,1.03273058748267e-05+-3.70721755127559e-06i,-1.35863002249286e-05+-3.37094024503362e-07i,-2.94780619058975e-06+-3.00334243946144e-06i,-8.8713864091803e-06+2.73044301174519e-05i,-3.07194699618907e-06+1.63559058808743e-06i,-2.78872694820166e-06+-8.79271927614325e-07i,-1.17550166683788e-06+-1.7629447723707e-06i,-3.09719075233438e-06+-2.00314004017578e-06i,4.87264357485912e-07+-7.00826845142762e-06i,-8.16796603318604e-06+1.39443817879138e-06i,-2.84461946507612e-05+1.70243928077456e-05i,2.24539669030907e-05+-1.83952406827281e-05i,-3.47153106664426e-06+4.39517407909132e-08i,-1.23140840497022e-05+-3.77999071578268e-06i,-6.81129422802908e-06+-1.02505089064787e-06i,1.53331269850022e-06+-8.57809371460298e-06i,-2.73841768153877e-06+-6.79555993082898e-07i,-2.88381769096441e-06+6.47192887372022e-08i,-8.75574764197658e-06+2.89116361540333e-06i,5.18137589800561e-06+1.27312794048414e-05i,-1.54770257802444e-06+6.47532684480765e-06i,-3.06555116284597e-06+7.2759080940991e-06i,4.53818200333094e-06+4.19815795863433e-06i,9.00707905118665e-06+2.9840897216379e-07i,1.60756255883276e-05+-6.31266131155547e-06i,-4.07257435467347e-06+1.53395054214471e-05i,1.32968214827118e-06+-1.11778534864977e-05i,-2.84527004146655e-05+-6.29202286794873e-05i
-168.438577188277,-46.0264312484176,31.2,1.52660215621573e-06+5.32353007049067e-09i,1.13022860846402e-05+5.88952728914788e-08i,4.47548438416741e-06+2.36359526639129e-08i,-8.57130460584995e-07+2.46619291342707e-08i,-8.67784328865462e-06+-7.35533365477942e-07i,5.20462881624072e-06+-1.2849137258514e-08i,-8.9916987364885e-06+-1.06402644856454e-06i,1.08992837769153e-06+-4.63016345999596e-07i,-1.66176480981341e-06+-2.74129911056722e-08i,-1.08422021662764e-06+-2.14228590058346e-06i,2.72244284074636e-06+-1.42175285284263e-06i,-9.95109680076113e-06+1.47193652537637e-06i,4.701289169121e-07+-9.88357714787627e-07i,3.16804825747663e-06+-1.67767458192781e-06i,-7.85592627402238e-06+-2.52727900854247e-06i,3.19433942140722e-06+-4.33374959616481e-06i,-1.46113488604845e-05+-5.0152731727148e-07i,-4.62296053928719e-06+-3.40637930927112e-06i,-1.2330680155032e-05+2.95439046833136e-05i,-3.68856537890394e-06+1.6567999920685e-06i,-3.14801197219468e-06+-1.0979877022547e-06i,-9.68570703420565e-07+-2.11054108176773e-06i,-3.02683218336872e-06+-2.44255502029274e-06i,5.29687975386433e-06+-8.35722279576228e-06i,-9.07846798010741e-06+1.20000586389962e-06i,-3.02773953629267e-05+1.86262630084459e-05i,2.27446538601403e-05+-2.09778235796025e-05i,-4.92632885233743e-06+-3.32364359062181e-07i,-1.45409561410971e-05+-4.97221447143468e-06i,-8.27852628969837e-06+-1.65015014157795e-06i,2.71339016950545e-06+-1.03804711524125e-05i,-3.45025254038267e-06+-1.2201406837125e-06i,-4.61822773104318e-06+-1.81334579104703e-07i,-1.34825840403173e-05+3.63842637511553e-06i,1.03544794584537e-05+1.28816884327481e-05i,-3.01169633797018e-06+6.85241554373332e-06i,-6.75826436124728e-06+7.43435363978405e-06i,6.54506985391522e-06+4.89639448885395e-06i,1.23037018173627e-05+-2.14310328080984e-07i,2.14058286207993e-05+-8.88255839056962e-06i,-2.82752197679226e-06+1.86225680139879e-05i,2.49614306154781e-06+-1.20453188460624e-05i,-2.93360633231225e-05+-6.80457136489987e-05i
-168.438577188277,-32.8799348450056,31.2,1.7075328042746e-06+5.38172271425098e-09i,1.46977595545286e-05+6.11336063356926e-08i,5.47653126792708e-06+2.49371726141466e-08i,-2.94439067867945e-06+1.88148114529941e-08i,-5.897888377011e-06+-7.54187702129044e-07i,1.09829872582604e-05+-4.31121783251464e-09i,-2.44530682945691e-05+-1.1710772690374e-06i,1.07805070145403e-08+-4.9031827698865e-07i,-2.11001317549965e-06+-4.25815341873741e-08i,4.61172971454416e-06+-2.21301499479673e-06i,3.61491082644005e-06+-1.49754269836544e-06i,-1.05911189100248e-05+1.50232267976445e-06i,5.98807244088348e-07+-1.05981189346028e-06i,3.06769673859165e-06+-1.79199370795884e-06i,-5.33163485224538e-06+-2.67894555622234e-06i,-3.9512440214677e-06+-4.91029908586091e-06i,-1.4349550957889e-05+-6.61188685744764e-07i,-4.95465369403554e-06+-3.73948411038953e-06i,-3.3368609626359e-05+3.06193748519939e-05i,-6.61829658054809e-06+1.66418450713226e-06i,-4.48332111394233e-06+-1.27696288837567e-06i,-1.36189998284877e-06+-2.39468436441378e-06i,-3.6549927004164e-06+-2.80133549915212e-06i,3.56804318736166e-06+-9.29122610090636e-06i,-1.04623292112062e-05+9.9742941231726e-07i,-3.60850750065134e-05+1.98590114227509e-05i,2.77769001843268e-05+-2.28044193309166e-05i,-5.84875672576536e-06+-6.78518178170005e-07i,-1.42178390220479e-05+-5.94101739341074e-06i,-8.51937706591041e-06+-2.19414521204564e-06i,4.27376363836658e-06+-1.18127071291336e-05i,-3.70668926726664e-06+-1.71662917105718e-06i,-5.84383732137927e-06+-4.49683176337314e-07i,-1.79197943766423e-05+4.19386388371385e-06i,1.61785466102105e-05+1.26239164034017e-05i,-3.65563106995037e-06+6.94533481770376e-06i,-8.83955812608055e-06+7.28187616192235e-06i,8.26725107164961e-06+5.32278024118839e-06i,1.57110299449303e-05+-7.51073755053999e-07i,2.74799789984221e-05+-1.10452664956685e-05i,-2.54280970326446e-06+2.09152788398101e-05i,2.07397838190456e-06+-1.24292497238352e-05i,-3.61996055505859e-05+-6.98918646847309e-05i
-168.438577188277,-19.7334384415936,31.2,1.78518411961367e-06+5.36154335755084e-09i,1.70494168093997e-05+6.18156203496773e-08i,6.09084309869956e-06+2.51418033310696e-08i,-4.73798368665176e-06+1.55901951494443e-08i,-3.23995889453453e-06+-7.5879394019058e-07i,1.60488690427682e-05+1.34456002973005e-09i,-3.87334404936254e-05+-1.23961048297483e-06i,-1.16482681929026e-06+-5.04602154485501e-07i,-2.31136058825461e-06+-5.03136521265828e-08i,1.10072398811602e-05+-2.22825411999721e-06i,4.27217943342703e-06+-1.53511448947639e-06i,-9.68168790105905e-06+1.52041625658839e-06i,7.85566639681279e-07+-1.09580905426654e-06i,2.57213743818519e-06+-1.84858886197941e-06i,-9.00950897670559e-07+-2.73813637169976e-06i,-3.85438939847616e-06+-5.27121227434137e-06i,-1.14230507255849e-05+-7.33818864160069e-07i,-3.58103386858003e-06+-3.92571944294919e-06i,-6.55435238063799e-05+3.02761758880919e-05i,-1.08400391679549e-05+1.65599333884924e-06i,-6.29160526684325e-06+-1.36775728747413e-06i,-2.44817297836362e-06+-2.53515121845463e-06i,-4.91875252723334e-06+-2.97838096280198e-06i,-6.87391439400474e-06+-9.53632315517095e-06i,-1.17933092451137e-05+9.03725661530438e-07i,-4.42512987957846e-05+2.0739590910372e-05i,3.62703534535634e-05+-2.36871554435109e-05i,-5.60171841364738e-06+-8.64608559791593e-07i,-1.16590305378757e-05+-6.4108154735223e-06i,-7.49086199007041e-06+-2.4583430521782e-06i,4.93626609647523e-06+-1.25911410246545e-05i,-3.51829166680136e-06+-1.96470007872823e-06i,-5.84869590039486e-06+-5.81262139913282e-07i,-1.89361964474726e-05+4.54718200629856e-06i,1.83181892260979e-05+1.24866969425926e-05i,-2.43431431726612e-06+7.00832028983027e-06i,-6.02324245899544e-06+7.1411474303534e-06i,7.86130199120313e-06+5.60479489096035e-06i,1.71307649006772e-05+-1.06284609348581e-06i,3.18438108469355e-05+-1.23769924713646e-05i,-6.74314820634083e-06+2.24504501965552e-05i,-1.59094574750491e-06+-1.24186045221145e-05i,-5.39932118280956e-05+-6.86007535211301e-05i
-168.438577188277,-6.58694203818165,31.2,1.85537341247886e-06+5.39275657113541e-09i,1.86890380074533e-05+6.25616429598169e-08i,6.43476950509393e-06+2.53407322495694e-08i,-5.80546521627054e-06+1.36497018762613e-08i,-1.47437940540328e-06+-7.66151155324998e-07i,1.93823478589035e-05+4.92173077443113e-09i,-4.81670429436435e-05+-1.28950584597448e-06i,-1.89641763230961e-06+-5.164206539024e-07i,-2.60820708282699e-06+-5.67767913481711e-08i,1.59156103369086e-05+-2.24512892488261e-06i,4.89145912967205e-06+-1.56796054236496e-06i,-9.69526613952944e-06+1.53602574359203e-06i,8.77384356680904e-07+-1.12701391484409e-06i,2.28871683884125e-06+-1.89822012435554e-06i,2.157667066837e-06+-2.79808740183053e-06i,4.27737494964335e-06+-5.54222195383867e-06i,-1.06213452858376e-05+-8.07323622872285e-07i,-1.99291152901299e-06+-4.08220442134024e-06i,-9.30269748088571e-05+3.01264603958738e-05i,-1.45416925630048e-05+1.66462910811428e-06i,-7.96512993823703e-06+-1.44022426751809e-06i,-3.35819893682173e-06+-2.65839126629184e-06i,-6.14583154893578e-06+-3.13203410227381e-06i,-1.61107973248979e-05+-9.74546201759691e-06i,-1.33450325230596e-05+8.32330568867958e-07i,-5.47311755350148e-05+2.16940316224216e-05i,4.74839547143511e-05+-2.44617042539416e-05i,-4.88599586385556e-06+-1.02659946267888e-06i,-1.00302415240329e-05+-6.83737214976369e-06i,-6.64566919460892e-06+-2.6889246392797e-06i,6.28386782765071e-06+-1.33570692313936e-05i,-3.04876311050707e-06+-2.19819179717599e-06i,-5.73777966761468e-06+-7.15116505383164e-07i,-2.06766317345276e-05+4.84724204290403e-06i,2.22086235387869e-05+1.25829217822697e-05i,-6.38431722925639e-07+7.15700085825349e-06i,-2.19227391795812e-06+7.14300126076313e-06i,7.52772978483124e-06+5.8895653079823e-06i,1.9295209900483e-05+-1.32527278370512e-06i,3.80593802458422e-05+-1.3600959564948e-05i,-1.23416651248036e-05+2.40006617445586e-05i,-4.58116970189985e-06+-1.29394054600102e-05i,-6.95133528158674e-05+-7.01962180005549e-05i
-168.438577188277,6.55955436523031,31.2,1.84622899241308e-06+5.3870057525572e-09i,1.86302017096085e-05+6.25991706230645e-08i,6.24010470317609e-06+2.48306810282425e-08i,-5.70732027678641e-06+1.39311601272216e-08i,-1.4664854366693e-06+-7.64978749332524e-07i,1.91877620894298e-05+5.6224684344427e-09i,-4.79996834205799e-05+-1.28758775228152e-06i,-1.88176759612201e-06+-5.15568403038415e-07i,-2.57291493369314e-06+-5.61350149341746e-08i,1.5864051479916e-05+-2.24002835096951e-06i,4.82703390323344e-06+-1.56529678804457e-06i,-9.5618506878884e-06+1.53326068097727e-06i,8.68077124795058e-07+-1.1244404418998e-06i,2.27427548740325e-06+-1.89300936762575e-06i,2.17826743504109e-06+-2.78901856187116e-06i,1.61242012199457e-05+-5.59972407645303e-06i,-1.03669219782566e-05+-8.00011128305956e-07i,-2.03634189472919e-06+-4.0645738622515e-06i,-9.26965388102183e-05+3.00217066557539e-05i,-1.44099202783855e-05+1.65381656982456e-06i,-7.90473073683847e-06+-1.43142430711144e-06i,-3.36559030490154e-06+-2.64398529856323e-06i,-6.16612994933938e-06+-3.11417248287419e-06i,-1.62656652558736e-05+-9.68649621910215e-06i,-1.30902362328045e-05+8.21417028049234e-07i,-5.43200342107023e-05+2.16370664534323e-05i,4.69840001435289e-05+-2.43636435838717e-05i,-4.87925676904937e-06+-1.01792322424651e-06i,-9.60594063782936e-06+-6.77063011258293e-06i,-6.42602623662207e-06+-2.65912020313256e-06i,6.23129769073469e-06+-1.32663785957608e-05i,-2.94037594476551e-06+-2.18315671417258e-06i,-5.60638494416481e-06+-7.20764712291626e-07i,-2.01240759413565e-05+4.81508156782277e-06i,2.13218870613534e-05+1.24627606747265e-05i,-6.62103433365273e-07+7.0886732452201e-06i,-2.09383868812549e-06+7.0228227907305e-06i,7.31357630708197e-06+5.8323252008278e-06i,1.88103441402756e-05+-1.30022952742188e-06i,3.7160435978472e-05+-1.34289983065329e-05i,-1.23018553846077e-05+2.37564302213035e-05i,-4.69509326171524e-06+-1.28318717903324e-05i,-6.8148314426796e-05+-6.8319374807718e-05i
-168.438577188277,19.7060507686423,31.2,1.79868128006474e-06+5.37248428835799e-09i,1.7442880934908e-05+6.19726792397888e-08i,5.74641373460013e-06+2.37953588875314e-08i,-4.74056346185408e-06+1.61549345004939e-08i,-3.06848931383281e-06+-7.6214414546329e-07i,1.63122220512976e-05+3.08382564757882e-09i,-4.03566624192601e-05+-1.24963048472165e-06i,-1.25967743030163e-06+-5.07795044337319e-07i,-2.34702260943107e-06+-5.15319397140008e-08i,1.18615531517653e-05+-2.23386571213952e-06i,4.3173433095185e-06+-1.54610328830152e-06i,-9.75575906283783e-06+1.52258226808172e-06i,7.64600034000644e-07+-1.10550353294004e-06i,2.56379450271576e-06+-1.86209509601445e-06i,-5.79277133612859e-07+-2.75823673012493e-06i,2.27491081864254e-05+-5.61827487782304e-06i,-1.16007530872491e-05+-7.55533915477755e-07i,-3.43639269664624e-06+-3.95546922947947e-06i,-7.03033431253385e-05+3.0396887762876e-05i,-1.13696495810555e-05+1.64962550033271e-06i,-6.60257275242369e-06+-1.37853911256122e-06i,-2.59996214620125e-06+-2.56253870541585e-06i,-5.28461513747644e-06+-3.01257516364042e-06i,-8.30660878111319e-06+-9.60258773147058e-06i,-1.19457894930399e-05+8.72757623846431e-07i,-4.74156789372785e-05+2.12248079116178e-05i,3.93036274939822e-05+-2.40321058236609e-05i,-5.46768388517887e-06+-8.93624341375802e-07i,-1.13010684854685e-05+-6.48183005087273e-06i,-7.24415995889575e-06+-2.48902595584477e-06i,5.71313886844295e-06+-1.28400701888005e-05i,-3.19484786615025e-06+-2.03383974404031e-06i,-5.92356695206811e-06+-6.5200289895001e-07i,-1.97545604629325e-05+4.64218908803177e-06i,1.98455748891719e-05+1.25893263312012e-05i,-2.10473167622303e-06+7.08553669863077e-06i,-5.42970789711642e-06+7.07263663414979e-06i,8.14273070493714e-06+5.70274117333655e-06i,1.80565287221354e-05+-1.10038526917814e-06i,3.38125330696912e-05+-1.26553249779162e-05i,-7.56266250925585e-06+2.29604949946968e-05i,-1.73592204958155e-06+-1.29012135988593e-05i,-5.10124255644443e-05+-6.76197546353931e-05i
