x,y,z,f_71_21,f_125_55,f_207_33,f_213_5,f_275_6,f_339_15,f_375_42,f_425_34,f_515_68,f_571_81,f_578_31,f_588_43,f_651_64,f_702_36,f_741_21,f_832_26,f_863_34,f_917_95,f_937_2,f_944_77,f_980_56,f_1046_3,f_1171_8,f_1180_8,f_1258_3,f_1285,f_1293_4,f_1368_1,f_1401_1,f_1444,f_1484_2,f_1540_4,f_1599_9,f_1617_9,f_1625_3,f_1762_9,f_1795_9,f_1828_4,f_1854_1,f_1859_6,f_1943_4
-169.286396939786,-93.3830606342901,31.2,6.81922332515493e-07+5.18093683663029e-09i,2.09057692398101e-06+4.00019627879086e-08i,2.06120716473436e-06+5.60566264209509e-08i,1.35850569069157e-06+3.0856597767193e-08i,-5.11324279211442e-06+-7.91035368046963e-07i,-1.22705852579746e-07+-1.92618532684159e-07i,6.86881342360489e-06+-6.55901228334832e-07i,1.53935792836446e-06+-4.21187608879134e-07i,-3.08602073630714e-07+-2.0644459297483e-07i,-2.35796232909367e-06+-1.80417631423901e-06i,3.78176592268354e-06+-2.87558750776017e-06i,-3.05209407145545e-06+7.74608386911832e-07i,8.30278312053942e-07+-9.22084519394675e-07i,2.01292170552276e-06+-1.2759125534042e-06i,-3.4369490248561e-06+-1.51574915525036e-06i,-7.4185372042183e-06+9.14308887755596e-07i,-1.39849611469362e-06+-1.96687737863201e-06i,5.65200438531478e-08+-4.88630989877358e-06i,2.08343042456195e-06+-8.89133349210871e-06i,-7.59573044203915e-06+1.02996224282442e-05i,-2.93479640380808e-06+1.93292548194928e-07i,-1.24722530572901e-06+-4.20465775067874e-07i,-3.09790326493044e-05+-2.0448082490455e-05i,-5.98869871267955e-06+-1.00603168374312e-06i,-1.11843826190344e-05+4.51905248359957e-06i,-2.15618509331913e-05+9.16956226393025e-06i,0.00046403821734336+0.000141438317216136i,-4.33218113858726e-06+4.89209771149127e-06i,-2.29297415601708e-06+3.67660703469307e-06i,-6.95573634386802e-07+-2.58069248151916e-06i,-1.78214931291102e-06+2.45065371268815e-06i,1.63781281964833e-06+2.17493927336594e-06i,1.39357216770701e-06+7.02053748495804e-07i,6.42619736485629e-06+-1.1298049226543e-05i,-3.77791087312295e-06+1.27004663661694e-05i,1.82253863460103e-06+5.50482934240219e-06i,3.5312599154579e-06+-2.62847737462866e-06i,3.05644415250353e-06+5.39042646453733e-07i,2.75673578022911e-06+1.5033557247273e-07i,2.44062654110223e-06+5.11584416628461e-07i,-1.1024662066093e-05+-4.77074287288314e-05i
-169.286396939786,-80.9319402611142,31.2,8.79893806284715e-07+5.23419253220319e-09i,3.28961920887253e-06+4.49630265646392e-08i,2.31296089277528e-06+4.90675722166436e-08i,1.71486751082067e-06+2.9297294654563e-08i,-7.66155528701277e-06+-8.23651002166501e-07i,-2.25374648848078e-07+-1.99461781754398e-07i,7.87959605880254e-06+-7.46739094249932e-07i,1.79717260469475e-06+-4.54088656534163e-07i,-2.88740625276662e-07+-2.33334024797106e-07i,-4.61954755106381e-06+-1.97577165930012e-06i,3.59436991416334e-06+-3.08862656283956e-06i,-3.48166945927196e-06+7.93181573096982e-07i,1.10956583815168e-06+-1.02751385550309e-06i,2.83793006605652e-06+-1.43176648199708e-06i,-5.16449851302003e-06+-1.6984866417718e-06i,-1.06039690288218e-05+8.68130363967694e-07i,-2.01933616239036e-06+-2.2885829980514e-06i,-5.83787646602563e-07+-5.56595872945652e-06i,4.22620031562741e-06+-1.07314100856412e-05i,-7.75523648286614e-06+1.15104999060985e-05i,-3.236508752661e-06+1.68055538813301e-08i,-1.15878143842331e-06+-6.85227670822234e-07i,-2.63540071831026e-05+-2.58312228490783e-05i,-6.3808762322127e-06+-1.7661810231206e-06i,-1.33570419781849e-05+4.10029355914284e-06i,-2.74496761728792e-05+9.19397004760574e-06i,0.000571809373611161+0.000220925594717034i,-6.91905035862721e-06+4.64081708268771e-06i,-3.51655723203584e-06+3.88545853838065e-06i,-6.88614786408153e-09+-3.78854353876755e-06i,-2.29259973650383e-06+2.44863006417524e-06i,1.18677735659294e-06+2.43805601548103e-06i,7.21036443251376e-07+6.95469289073208e-07i,3.39486982865093e-06+-1.21467641363894e-05i,-2.56768609380076e-06+1.39507919337455e-05i,1.83720405626206e-06+6.40659422424005e-06i,4.33625532887995e-06+-2.65004954624216e-06i,3.88613513765794e-06+6.00213539322516e-07i,4.32216952291375e-06+-7.65537736526659e-07i,4.45463978440369e-06+-1.08992559649995e-06i,-3.31522599964855e-06+-6.38802988430701e-05i
-169.286396939786,-68.4808198879383,31.2,1.10686882477321e-06+5.27567546246624e-09i,5.08836147375116e-06+4.85716032579171e-08i,2.25917888867086e-06+4.30932836862357e-08i,2.03962281510533e-06+2.78752512612537e-08i,-1.01419332183639e-05+-8.61769814888318e-07i,-1.05021612307854e-07+-2.08536559387272e-07i,7.00659088514442e-06+-8.39397622371971e-07i,1.94820217751797e-06+-4.89793513423222e-07i,-2.4336505556126e-07+-2.63176075502095e-07i,-7.47039456780477e-06+-2.15598895694207e-06i,3.05223987927692e-06+-3.31122261772761e-06i,-3.83513846128221e-06+8.10195158677396e-07i,1.42427082781635e-06+-1.13976024695399e-06i,3.84316563292534e-06+-1.59626868081348e-06i,-7.52761220341386e-06+-1.89542019425678e-06i,-1.44402649937026e-05+7.97746711496726e-07i,-2.9184467448907e-06+-2.62676250251841e-06i,-1.89877810179094e-06+-6.26977259331632e-06i,4.19400359104683e-06+-1.25699432500021e-05i,-5.70064074936357e-06+1.28075526866614e-05i,-3.30498397763301e-06+-1.68396574281415e-07i,-9.09020790130745e-07+-9.59452502911208e-07i,-1.02832361010431e-05+-3.05998404915291e-05i,-5.88790256906134e-06+-2.55980287515945e-06i,-1.48796773361017e-05+3.59953863805245e-06i,-3.24813607930766e-05+9.12794546468415e-06i,0.000667972411035029+0.000292225160214536i,-1.17826551630762e-05+4.29098913528795e-06i,-5.30440208333935e-06+4.07033067499464e-06i,9.37457351167723e-07+-5.11066672834146e-06i,-2.8019047644992e-06+2.40013654779899e-06i,3.19045310572093e-07+2.63909763269033e-06i,-5.74505260481738e-07+5.93024619725301e-07i,-3.70457420312063e-06+-1.3288056897835e-05i,1.12192265027225e-06+1.54319475009248e-05i,1.82674433372659e-06+7.29938720257884e-06i,5.6959692385105e-06+-2.6688228981563e-06i,5.20593474720698e-06+5.72881714935419e-07i,6.91875302900059e-06+-1.96226227529741e-06i,7.99319207951661e-06+-3.16316681027392e-06i,4.17342415104865e-06+-8.21616591689253e-05i
-169.286396939786,-56.0296995147623,31.2,1.33206847738504e-06+5.31312338193029e-09i,7.47826442846927e-06+5.14023121929715e-08i,1.64438225569479e-06+3.75718888689206e-08i,2.20052033366582e-06+2.65511704568397e-08i,-1.0893429710808e-05+-8.97583206961223e-07i,6.73068244159162e-07+-2.17756940065236e-07i,1.10908907606171e-06+-9.39921581526047e-07i,1.76635301917374e-06+-5.25934134578019e-07i,-2.9574714250247e-07+-2.94555925003129e-07i,-7.74119906779811e-06+-2.31846052600804e-06i,3.69753232706914e-06+-3.52680951345566e-06i,-4.33548677272217e-06+8.23095909770017e-07i,1.67752757170793e-06+-1.25206232411035e-06i,4.61836980523832e-06+-1.75949723194192e-06i,-9.24338020936674e-06+-2.08428788616688e-06i,-1.77012707180338e-05+6.99538840341256e-07i,-3.62988108660213e-06+-2.96665438346639e-06i,-2.86074901524729e-06+-6.97165504699478e-06i,1.57720131449906e-07+-1.42436207576805e-05i,-3.1767635595501e-06+1.40745054981343e-05i,-3.3089091072285e-06+-3.55893921392474e-07i,-5.81890504153191e-07+-1.23283116845605e-06i,1.88687993533301e-05+-3.42471696957316e-05i,-4.27092326064833e-06+-3.3405104901205e-06i,-1.5559227991414e-05+2.9720410966661e-06i,-3.49609968499944e-05+8.91914304916576e-06i,0.000712692712221945+0.000324474460853319i,-1.9736495819673e-05+3.87165482963919e-06i,-7.79700234512965e-06+4.20967019664301e-06i,1.68606611275575e-06+-6.41908258559808e-06i,-3.76170302082501e-06+2.31706399854227e-06i,-9.60357386364766e-07+2.78157427831355e-06i,-2.49563402423164e-06+4.77079386117199e-07i,-1.41274829333432e-05+-1.41917676207276e-05i,6.76367281146838e-06+1.67371461156781e-05i,6.43590406011824e-07+8.09979071129799e-06i,8.87476448402272e-06+-2.66001848810172e-06i,6.86930534764827e-06+4.61116998598538e-07i,9.59798935454668e-06+-3.28523721315585e-06i,1.15406048692621e-05+-5.46738811389043e-06i,5.69498348493228e-08+-9.86309068944415e-05i
-169.286396939786,-43.5785791415864,31.2,1.53890707418345e-06+5.38181305442668e-09i,1.00680736401104e-05+5.39045177652967e-08i,6.82467020147553e-07+3.28204226528793e-08i,2.24590387404268e-06+2.55645952248339e-08i,-1.03502520557391e-05+-9.29844575113966e-07i,1.9078978294566e-06+-2.26247061767696e-07i,-8.54655205573979e-06+-1.03970062331337e-06i,1.2813436075437e-06+-5.59553107066676e-07i,-4.7161658368761e-07+-3.2430785872067e-07i,-4.187942263106e-06+-2.44770851294498e-06i,6.10547326153918e-06+-3.72345871899565e-06i,-5.01138103177179e-06+8.34747139477423e-07i,1.81780482944362e-06+-1.35528352365865e-06i,4.88234455677717e-06+-1.90788241826889e-06i,-9.29564703991466e-06+-2.24936185284719e-06i,-1.96468046425134e-05+5.97585471131916e-07i,-3.7325130070481e-06+-3.28609803301847e-06i,-2.29419005094306e-06+-7.64401381678562e-06i,-2.12711169832218e-06+-1.57737724820297e-05i,-4.90616433396006e-06+1.51753506625529e-05i,-3.79253165866183e-06+-5.28625760906334e-07i,-4.38546741147571e-07+-1.48773129888423e-06i,3.90751875922046e-05+-3.81356026421119e-05i,-3.34895963614513e-06+-4.07724659384776e-06i,-1.6578117009322e-05+2.27486982848291e-06i,-3.83148914181485e-05+8.69481380372219e-06i,0.000760691411051686+0.000360496292165014i,-2.69228564002353e-05+3.45900960549697e-06i,-1.00770982158559e-05+4.31946570363984e-06i,2.39319297512071e-06+-7.66778254696036e-06i,-4.97421512519301e-06+2.21758792537656e-06i,-2.06954004274248e-06+2.87780940545521e-06i,-4.33229443561507e-06+3.41919161707807e-07i,-2.48089737492702e-05+-1.50166095498321e-05i,1.29945120917982e-05+1.79274414932229e-05i,-9.13459524077889e-07+8.825478336198e-06i,1.26772850202154e-05+-2.66813947523657e-06i,8.63120533815102e-06+2.91548214158419e-07i,1.22069240374436e-05+-4.61597336346366e-06i,1.49234815082243e-05+-7.79594983168789e-06i,-1.08085371040511e-05+-0.00011371367552166i
-169.286396939786,-31.1274587684105,31.2,1.72153758054681e-06+5.46617200693892e-09i,1.28038881604934e-05+5.57627721507513e-08i,-6.46024410372707e-07+2.90863000203929e-08i,2.16775611907222e-06+2.49125628832217e-08i,-8.22519035068501e-06+-9.56932586524454e-07i,3.67391352638933e-06+-2.33887375992492e-07i,-2.2545201969773e-05+-1.13543520761697e-06i,4.3629389575497e-07+-5.89451836186399e-07i,-8.41618033519125e-07+-3.51445317060836e-07i,4.91684297492702e-06+-2.53204714947853e-06i,1.12340417151743e-05+-3.8950055947575e-06i,-6.05576631567292e-06+8.45307058839866e-07i,1.79560321994577e-06+-1.44453818974526e-06i,4.38928187663601e-06+-2.03329419859376e-06i,-6.77441021416569e-06+-2.37782665448753e-06i,-1.98985608614102e-05+4.96573605832215e-07i,-2.89014775362544e-06+-3.56989381958875e-06i,8.62920823352003e-07+-8.2625056937654e-06i,1.98119958561359e-06+-1.71606270076053e-05i,-1.51262185620221e-05+1.59697374180185e-05i,-5.28354269022149e-06+-6.75974777843946e-07i,-6.73590620092363e-07+-1.70903401176516e-06i,3.29207660232366e-05+-4.32355181397866e-05i,-4.59718268100392e-06+-4.73628473038437e-06i,-1.87686754023857e-05+1.53900996823906e-06i,-4.57928986376231e-05+8.54115649829303e-06i,0.000866863132430074+0.000444091517562533i,-3.00326521488748e-05+3.08282554297558e-06i,-1.1347991020917e-05+4.38073594995622e-06i,3.44736433898227e-06+-8.77576347486582e-06i,-6.04766067238616e-06+2.09291308229112e-06i,-2.64347997119855e-06+2.89071515236188e-06i,-5.54456845787653e-06+1.72570380254973e-07i,-3.43592320157708e-05+-1.57473592226989e-05i,1.95613433529889e-05+1.89055296005732e-05i,-1.5890710406957e-06+9.37055860126087e-06i,1.55618880153876e-05+-2.71446004739801e-06i,1.04599454538863e-05+4.57435978679898e-08i,1.54030357165289e-05+-5.86867332057181e-06i,1.92849433380179e-05+-9.99394718269783e-06i,-1.99017581029723e-05+-0.000126617044885654i
-169.286396939786,-18.6763383952346,31.2,1.8280572909116e-06+5.49082348254516e-09i,1.47440478725172e-05+5.6540442401497e-08i,-1.83922511690595e-06+2.65094378434119e-08i,2.05467408360356e-06+2.44523215868033e-08i,-5.93679822531239e-06+-9.70664636491148e-07i,5.19746276126287e-06+-2.38363438824296e-07i,-3.49891286284493e-05+-1.20144920557176e-06i,-4.23218687719375e-07+-6.08130897423932e-07i,-1.19831819177168e-06+-3.69317042142839e-07i,1.5189760882798e-05+-2.56412983516093e-06i,1.65377043139556e-05+-4.00215602504773e-06i,-6.84747865388273e-06+8.52545883409423e-07i,1.65825814400778e-06+-1.50055682285776e-06i,3.41117476666101e-06+-2.11023944511009e-06i,-2.83354158058835e-06+-2.4457001594664e-06i,-1.82694443009117e-05+4.27332819636982e-07i,-1.4357654214887e-06+-3.75652810185019e-06i,5.31397694349827e-06+-8.68514237859999e-06i,1.20384823267942e-05+-1.8181266917944e-05i,-3.01337748116571e-05+1.63215377051992e-05i,-7.25390825896433e-06+-7.71902371741726e-07i,-1.27240263691661e-06+-1.85021412997594e-06i,-4.22376462695344e-06+-4.91131876727176e-05i,-8.21404457794061e-06+-5.19050155312778e-06i,-2.07170191139699e-05+8.7977590145069e-07i,-5.59254673598467e-05+8.53681904003922e-06i,0.00102299756739362+0.000567897197232927i,-2.65705642374082e-05+2.87738710766258e-06i,-1.09881191791916e-05+4.42804689386678e-06i,4.58734215609186e-06+-9.50384812403022e-06i,-6.3057756087555e-06+2.02218299983771e-06i,-2.98408924393074e-06+2.87667942301002e-06i,-5.62085827237324e-06+6.99667609225743e-08i,-3.8405516658901e-05+-1.63066416100826e-05i,2.3221607969056e-05+1.96299291020187e-05i,9.31582274749649e-08+9.73676405817971e-06i,1.48029945314323e-05+-2.7326178911006e-06i,1.16602279702396e-05+-1.36271291133506e-07i,1.8796672039295e-05+-6.65016743432097e-06i,2.4386626747317e-05+-1.14551779546279e-05i,-1.1413359384983e-05+-0.000136746273157338i
-169.286396939786,-6.22521802205866,31.2,1.89634574180579e-06+5.52767644297021e-09i,1.61217232059395e-05+5.70412603847916e-08i,-2.81809579459475e-06+2.49401461285063e-08i,1.9982684205026e-06+2.43428101210372e-08i,-4.60768445959668e-06+-9.79877549943625e-07i,6.25194651740246e-06+-2.41109894719623e-07i,-4.41500446739284e-05+-1.24405674497296e-06i,-1.1343032864649e-06+-6.1938411935897e-07i,-1.42226076657617e-06+-3.79933967475162e-07i,2.29287897873041e-05+-2.57298196217883e-06i,2.0236162386623e-05+-4.064362509829e-06i,-7.18016225241945e-06+8.5892875735508e-07i,1.5257872115992e-06+-1.53221024590085e-06i,2.54713639642048e-06+-2.15217172553593e-06i,4.45210688845638e-07+-2.48154213559115e-06i,-1.64041695261487e-05+3.9336106800491e-07i,-1.96013472496093e-07+-3.86213229639974e-06i,8.92599962686607e-06+-8.93373367969597e-06i,2.09970670453359e-05+-1.8824128827487e-05i,-4.25840594550538e-05+1.64665988608626e-05i,-8.89354739145255e-06+-8.19393973607957e-07i,-1.83329438387355e-06+-1.9220214786425e-06i,-4.30789116139783e-05+-5.37985968111415e-05i,-1.17987568834256e-05+-5.44577479906651e-06i,-2.09259791962767e-05+3.35833156077544e-07i,-6.43934504661021e-05+8.60708438606639e-06i,0.00116754972391301+0.000682082405342824i,-2.16142828017791e-05+2.85612167488767e-06i,-1.02120219162531e-05+4.49256181397813e-06i,5.6481311886254e-06+-9.91844187544637e-06i,-6.04928900014832e-06+2.00780254675182e-06i,-3.69167019040738e-06+2.82975851383245e-06i,-5.2805171637642e-06+1.03738082277671e-08i,-3.95938033760142e-05+-1.67471202423952e-05i,2.47662936082219e-05+2.01698408685635e-05i,2.50092997291482e-06+9.95251099957327e-06i,1.28108286416344e-05+-2.80569259018879e-06i,1.25486614887802e-05+-3.21592647708354e-07i,2.19120311371323e-05+-7.10289776584822e-06i,2.92983580731748e-05+-1.23552597061962e-05i,4.1568853836896e-06+-0.000143947081067748i
-169.286396939786,6.22590235111726,31.2,1.89177720954742e-06+5.51270259430568e-09i,1.61044304273067e-05+5.69254741299753e-08i,-3.01178238318231e-06+2.43305300689686e-08i,2.04124276334224e-06+2.44325971440666e-08i,-4.51715642979441e-06+-9.78150442668441e-07i,6.2690163777121e-06+-2.40800531650006e-07i,-4.4295186302977e-05+-1.24318921508826e-06i,-1.18553943673724e-06+-6.18394014489521e-07i,-1.41882511647995e-06+-3.79391670273136e-07i,2.29732244565328e-05+-2.57070412907532e-06i,2.02258195796716e-05+-4.05852339331367e-06i,-7.10829147685443e-06+8.58486422359533e-07i,1.51685248166601e-06+-1.52972516667127e-06i,2.49946955109664e-06+-2.14910131630385e-06i,5.67271421169362e-07+-2.47614597126492e-06i,-1.61868329756417e-05+3.97307815164659e-07i,-1.74461163239896e-07+-3.85249914848255e-06i,8.8700196387593e-06+-8.90178822473633e-06i,2.10631547743626e-05+-1.88158625950434e-05i,-4.25646498097974e-05+1.64311083397668e-05i,-8.90980787903109e-06+-8.21109574702937e-07i,-1.85260725725712e-06+-1.91609673979306e-06i,-4.33923147183401e-05+-5.37738749581288e-05i,-1.17918979464993e-05+-5.43345532511578e-06i,-1.79590443546492e-05+-1.35056732703801e-07i,-6.29953791996672e-05+8.42641959937335e-06i,0.0011564658028628+0.000676396579708666i,-2.16475700754866e-05+2.88594568076953e-06i,-1.03443814025318e-05+4.49060713396959e-06i,5.57203221702916e-06+-9.87267984452972e-06i,-6.02741500285069e-06+2.01396824416623e-06i,-4.88925000230073e-06+2.75052508955225e-06i,-5.34160019352252e-06+1.39038490255764e-08i,-3.88719916749341e-05+-1.67440833649022e-05i,2.37861908000504e-05+2.01895013736291e-05i,2.47499651603177e-06+9.91320224400805e-06i,1.2731005248338e-05+-2.84079573115953e-06i,1.25347408305497e-05+-4.30471173719527e-07i,2.15541542487051e-05+-6.94474352399173e-06i,2.89321655535046e-05+-1.22199425577868e-05i,3.44782155622702e-06+-0.000142798805394221i
-169.286396939786,18.6770227242932,31.2,1.8418862089324e-06+5.51456122830384e-09i,1.48833212191679e-05+5.67679709600368e-08i,-2.39892750346152e-06+2.47688484495252e-08i,2.22164876696775e-06+2.49646902887073e-08i,-5.85260398952317e-06+-9.72232435036124e-07i,5.28087702955613e-06+-2.38680507679326e-07i,-3.55606679644889e-05+-1.20564189815337e-06i,-5.43799788311982e-07+-6.08309249616649e-07i,-1.21878406215863e-06+-3.70257940959445e-07i,1.53338606314089e-05+-2.56892182785754e-06i,1.67552760096647e-05+-4.00128150338201e-06i,-6.83717781334678e-06+8.5160370181986e-07i,1.66152996002115e-06+-1.50167062032626e-06i,3.38961487645981e-06+-2.11300816951709e-06i,-2.73959879249013e-06+-2.44478833822734e-06i,-1.8370604796798e-05+4.24871194783098e-07i,-1.49191633039887e-06+-3.75391924449285e-06i,5.10409768284843e-06+-8.64775545926305e-06i,1.24382479863441e-05+-1.82455947772926e-05i,-3.02645011371634e-05+1.63132422207682e-05i,-7.34776757220845e-06+-7.85408962785674e-07i,-1.2721664103437e-06+-1.8519549067726e-06i,-3.00816747604576e-06+-4.91209697073706e-05i,-8.127454311013e-06+-5.19944502645813e-06i,-1.28336879460051e-05+-5.34909692342926e-07i,-5.3465800913024e-05+8.01689362196035e-06i,0.00100323105033355+0.000561136852176577i,-2.70502487437314e-05+2.92278000493993e-06i,-1.1362743994659e-05+4.40845190632815e-06i,4.69548110066341e-06+-9.4670431439163e-06i,-6.23246638992933e-06+2.00021290281821e-06i,-6.24238509930593e-06+2.62044127859357e-06i,-5.80049914622196e-06+4.06361609300504e-08i,-3.75951705113209e-05+-1.63559106898314e-05i,2.19365440653923e-05+1.97203055362325e-05i,-5.0293098980206e-08+9.64615297937913e-06i,1.49309857534873e-05+-2.89536459978446e-06i,1.18472445633173e-05+-4.92600588053988e-07i,1.81960754063213e-05+-6.2839881748208e-06i,2.38697465574993e-05+-1.12008949946298e-05i,-1.24341935924418e-05+-0.000134258619415577i
