x,y,z,f_65_08,f_105_94,f_189_79,f_198_4,f_270_7,f_293_51,f_334_24,f_363_7,f_452_86,f_472_73,f_477_61,f_530_77,f_573_61,f_646_62,f_670_04,f_680_38,f_713_89,f_773_66,f_793_9,f_923_48,f_932_34,f_936_5,f_990_08,f_1016_7,f_1063_9,f_1120_1,f_1144_5,f_1201_7,f_1240_6,f_1250_5,f_1310_8,f_1361_9,f_1392_8,f_Freq_1424,f_1454_7,f_1504_4,f_1512_4,f_1584_8,f_Freq_1650,f_1660_3,f_1674_4,f_1722_3,f_1790_4,f_1837_3,f_1868_1,f_1879_7,f_1919_1,f_1974_3,f_Freq_1980
-169.477357010901,-107.269655448774,31.2,5.75886194851698e-07+4.83979860337187e-09i,1.84407440217478e-06+4.68045803804915e-08i,1.33836262795623e-06+3.83775184987809e-08i,9.84160335986232e-07+2.4145790325765e-08i,-1.55896867368314e-06+-7.21278112484975e-07i,2.45812346705345e-08+-2.52124119482316e-07i,5.59700931185502e-06+-3.40821683132425e-07i,1.54626139762066e-06+-2.87536757667797e-07i,5.43685265149245e-06+-9.6619880179119e-07i,-2.74863130834388e-06+-3.05168877910252e-07i,-1.1225537603023e-06+-4.34708918769741e-07i,1.04419308874785e-06+-7.73985536071698e-07i,1.43186441193645e-06+-9.91833160332214e-07i,-1.05224814097414e-06+-1.82892885527325e-06i,1.15399479292272e-06+-2.13716283457775e-06i,1.80062718142346e-06+-2.46844344912226e-06i,-8.56053042347016e-06+3.37009418157297e-06i,1.05687639940135e-06+-2.82490116025182e-06i,-6.59056915192076e-06+3.38138459839925e-06i,-3.33190415119821e-06+-2.45217660394608e-06i,-3.40622310089383e-06+-1.52271392286535e-06i,-3.25551162345411e-06+-1.54492452829901e-06i,-1.68090349326012e-05+-2.39935344206415e-05i,-2.88250330269635e-06+2.22056861982975e-08i,4.25939808214072e-07+1.41030764875071e-06i,-2.79350670747811e-06+1.27063024083673e-06i,-3.12710203084154e-06+2.10905814936871e-06i,-4.13277913968935e-06+-1.94643582678502e-06i,5.68782974139277e-07+-3.47919798776542e-06i,-1.75896743567153e-06+-1.14039385960712e-06i,-2.48387072103544e-06+8.46308145448924e-07i,-7.26208693407942e-06+2.27992770667349e-06i,-1.12556257995279e-06+2.09180176886647e-06i,-3.70728907101263e-06+4.67165197773253e-06i,-2.44492623785475e-06+1.10440625520883e-07i,1.52683924703808e-06+1.47383877686517e-06i,1.12644580461763e-06+1.99827341330555e-06i,-4.38360443891915e-06+6.99866082098391e-06i,5.13438392024821e-07+2.27991438170848e-06i,1.1870645614361e-06+1.42350757490161e-06i,-3.12921324801582e-06+2.53388051964583e-06i,3.44499737540481e-06+7.13205921152654e-07i,2.73695862413164e-06+-2.0420178235537e-06i,-7.15122168316974e-07+-1.3768032024171e-05i,7.99147545732205e-06+1.4669627533922e-05i,6.50453902319129e-06+7.95470915564514e-06i,4.7060772882837e-06+5.91136557232439e-06i,0.000132595895394459+-0.000280795128607265i,5.94352717250853e-06+-1.82174489609104e-05i
-169.477357010901,-92.9670382561243,31.2,7.41097504120802e-07+4.67277445443696e-09i,3.28334287130178e-06+5.57134532171735e-08i,1.59781340414716e-06+3.29920289003326e-08i,1.33183271073504e-06+2.28862156154741e-08i,-3.24524532425986e-06+-7.55976745885335e-07i,-2.71890476068338e-07+-2.62745221563861e-07i,7.32311313966577e-06+-4.08190567718806e-07i,1.92884556889315e-06+-3.13311556252378e-07i,6.79136506433477e-06+-1.03364672781063e-06i,-3.96154895665002e-06+-3.53117968523426e-07i,-1.75483652159466e-06+-4.83287426407655e-07i,1.23803629797872e-06+-8.4866387885619e-07i,1.83597063443978e-06+-1.0920076251911e-06i,-2.26205877342972e-06+-1.99640819324379e-06i,1.15779710511494e-06+-2.34971802000684e-06i,2.07967469694843e-06+-2.71430771234664e-06i,-1.17807618348554e-05+3.55930729919005e-06i,4.4119573310424e-07+-3.19244937150693e-06i,-5.6502836758895e-06+3.61828620438849e-06i,-5.10686254782086e-06+-2.88776940505787e-06i,-4.13949846338274e-06+-1.93387275868735e-06i,-3.88412541788654e-06+-1.96665952234584e-06i,-1.66583284991587e-05+-2.79789472433687e-05i,-3.63542883912793e-06+-2.80506479093682e-07i,1.09462590015172e-06+1.45168029871553e-06i,-3.44073086199081e-06+1.12773348862296e-06i,-4.05633861865142e-06+2.11340664052116e-06i,-4.29956955370817e-06+-3.16214100861923e-06i,2.13617492123054e-06+-4.50780493606294e-06i,-1.38828607715867e-06+-1.9422412806631e-06i,-2.78509892077859e-06+4.49617971034348e-07i,-8.38213085384505e-06+2.33067456244242e-06i,-1.47572732356715e-06+1.84643825778215e-06i,-4.89427002889219e-06+4.79328070149632e-06i,3.37413808988263e-08+-1.6506359821706e-06i,6.42898292645252e-07+1.7541398434566e-06i,2.48657742113906e-07+2.41153182963923e-06i,-5.81958783877669e-06+7.22393015193944e-06i,-8.61849181156034e-07+2.71307442778389e-06i,-2.09024130077561e-07+1.82363822611969e-06i,-7.75794869143391e-06+2.77963728325631e-06i,4.72997150581234e-06+1.07191507327103e-06i,3.90940532793053e-06+-2.54109699411123e-06i,2.03989315882858e-06+-1.90646324569263e-05i,6.601341441762e-06+2.16366292976818e-05i,6.31269635381258e-06+1.21111989758706e-05i,4.846673417184e-06+8.50795973282996e-06i,0.000165081023424221+-0.000299888161988882i,7.94895129324206e-06+-1.86173378377348e-05i
-169.477357010901,-78.6644210634742,31.2,9.37564973554481e-07+4.5895001499253e-09i,5.5562742407769e-06+6.43846407713465e-08i,1.75128709260438e-06+2.82584666365971e-08i,1.74048103210803e-06+2.19664141040719e-08i,-5.03834948991807e-06+-8.01824748686993e-07i,-4.67016786000764e-07+-2.77104875394967e-07i,8.2022405351619e-06+-4.82548972631608e-07i,2.2762892514582e-06+-3.43727752558651e-07i,8.38759006550388e-06+-1.11143602587242e-06i,-5.46290732884423e-06+-4.1287917438402e-07i,-2.56678284846157e-06+-5.42776665676196e-07i,1.4536001160055e-06+-9.39159259144223e-07i,2.32899041945607e-06+-1.21261324334266e-06i,-4.17305842421388e-06+-2.19431368122887e-06i,9.33606683553846e-07+-2.60100751587177e-06i,2.19522532873694e-06+-3.00422344825469e-06i,-1.55838695175733e-05+3.75779771897989e-06i,-1.01808733690509e-06+-3.64490868453547e-06i,-2.43407010034009e-06+3.9662296293588e-06i,-6.84581682470077e-06+-3.42283894663053e-06i,-4.71674302809823e-06+-2.42331528440758e-06i,-4.33603628285636e-06+-2.4685154073805e-06i,-5.71101873122149e-06+-3.31826987140117e-05i,-4.96467914000515e-06+-6.39474876610805e-07i,2.00832436004624e-06+1.50324240184065e-06i,-4.1826318812135e-06+9.51129150581894e-07i,-5.08591389434426e-06+2.10749851657255e-06i,-5.04784331657593e-06+-4.59702360088813e-06i,4.2124974815422e-06+-5.7435364357108e-06i,-9.55604873024234e-07+-2.91670082638247e-06i,-3.1399026475499e-06+-4.223785556756e-08i,-8.26754263205155e-06+2.24971373503836e-06i,-2.60650781620503e-06+1.57961998060268e-06i,-8.19168935851551e-06+5.04855873997699e-06i,2.95137425013482e-06+-3.73597577893827e-06i,-3.53992258216541e-07+2.03512172996197e-06i,-7.47692650027573e-07+2.85874077452715e-06i,-6.81573928605185e-06+7.45767844926346e-06i,-2.74909010238607e-06+3.18687266877981e-06i,-2.35916246367559e-06+2.26106427335503e-06i,-1.46154669108224e-05+2.98087869737644e-06i,6.78007797418809e-06+1.46432687793542e-06i,5.67137384270725e-06+-3.25560003136158e-06i,5.96306787265886e-06+-2.60086585723254e-05i,5.06156347356379e-06+3.06299808894512e-05i,6.2073563927057e-06+1.74589309562578e-05i,5.36598945931153e-06+1.17830710164715e-05i,0.000170324335921469+-0.000334065608622641i,8.39182867937198e-06+-1.89995921768179e-05i
-169.477357010901,-64.3618038708241,31.2,1.14672630269713e-06+4.54224638713934e-09i,9.13169537419469e-06+7.14098574159301e-08i,1.59156240788415e-06+2.43149249188911e-08i,2.16950916974674e-06+2.11292304727527e-08i,-6.59682451080108e-06+-8.53564168292778e-07i,-3.49985258943859e-07+-2.9388343737283e-07i,6.15342654944565e-06+-5.61506806115715e-07i,2.31275018049963e-06+-3.76895226443502e-07i,9.78493338300462e-06+-1.19256090616685e-06i,-6.71057776336057e-06+-4.78789728604151e-07i,-3.27040967694844e-06+-6.07639380252435e-07i,1.67335633549184e-06+-1.03678510354647e-06i,2.83196438125869e-06+-1.34146117175434e-06i,-6.41537923978813e-06+-2.39836296196552e-06i,5.31670441485925e-07+-2.86030333393332e-06i,2.13658638609457e-06+-3.30187889831224e-06i,-1.92922941102713e-05+3.92602910550971e-06i,-3.35322739833193e-06+-4.12134768316791e-06i,3.41428398503722e-06+4.36205703074668e-06i,-7.82249920984889e-06+-3.98490222468518e-06i,-4.73111570832369e-06+-2.93794942543231e-06i,-4.22162576969145e-06+-2.99557057114342e-06i,2.6951612768271e-05+-3.93136036129856e-05i,-7.1317770320663e-06+-1.02537161450588e-06i,3.06119784035437e-06+1.54056273036085e-06i,-4.85133153553256e-06+7.33379021190166e-07i,-5.89457595479042e-06+2.05188322659711e-06i,-7.4540656798657e-06+-6.09600272091355e-06i,6.50771310665286e-06+-6.98772861313424e-06i,-5.72580274773254e-07+-3.95443575103001e-06i,-3.76449770300399e-06+-6.05472895224368e-07i,-7.09370595243476e-06+1.99963719611662e-06i,-5.17078108602476e-06+1.2437269783096e-06i,-1.62527897208732e-05+5.23397404793571e-06i,4.24445573330211e-06+-5.95629962081116e-06i,-6.46871606254102e-07+2.24857502628795e-06i,-1.13565943197634e-06+3.23730640731097e-06i,-4.88110992116457e-06+7.46642067414081e-06i,-3.87232405475876e-06+3.56614876373504e-06i,-3.86994733456858e-06+2.65343348932809e-06i,-1.98980901275742e-05+3.0007550929016e-06i,8.89954396860763e-06+1.82107988280813e-06i,7.84623053164098e-06+-4.01392818638092e-06i,1.14747875283877e-05+-3.32390618869685e-05i,2.5134862752309e-06+4.00156354602112e-05i,5.22612938311175e-06+2.30342392860075e-05i,6.06125581534035e-06+1.50689534878136e-05i,0.000115265486475877+-0.000370323678859588i,5.4039823759582e-06+-1.81657356473817e-05i
-169.477357010901,-50.059186678174,31.2,1.3124264304651e-06+4.47645684583703e-09i,1.34814160606246e-05+7.61099939086996e-08i,1.01568612050068e-06+2.11823809234121e-08i,2.48687252923184e-06+2.02431168559719e-08i,-6.99549258724562e-06+-8.96486499213807e-07i,3.52093792968599e-07+-3.08613795847245e-07i,-1.0708764105529e-06+-6.36961614187896e-07i,1.6625259144365e-06+-4.07152734676346e-07i,1.02218025567405e-05+-1.26383493343753e-06i,-6.2495939411881e-06+-5.34174553950471e-07i,-2.98865689656187e-06+-6.64419797062151e-07i,1.951149306082e-06+-1.12222953135765e-06i,3.17913388481499e-06+-1.45859554736023e-06i,-6.55334152381933e-06+-2.58080624768579e-06i,9.39576487157636e-07+-3.09880308270562e-06i,2.75290318900556e-06+-3.57580710654509e-06i,-2.20381307585029e-05+4.07286010293452e-06i,-3.9224951862692e-06+-4.57814604478279e-06i,4.63711129230977e-06+4.706405648647e-06i,-8.09833602754324e-06+-4.48951953068546e-06i,-4.72460266431386e-06+-3.42159245579986e-06i,-4.09021094815646e-06+-3.49141997814786e-06i,6.48395216129255e-05+-4.54018213733267e-05i,-9.43250287985414e-06+-1.38830438347167e-06i,3.91421245110452e-06+1.57722792692547e-06i,-5.48358008763259e-06+5.25861313991675e-07i,-6.53589369691374e-06+1.99685513699634e-06i,-1.125307232582e-05+-7.53360937373744e-06i,8.36478976302062e-06+-8.17191037739343e-06i,-1.39537064270819e-07+-4.9602163529719e-06i,-5.01087117853932e-06+-1.14676197585692e-06i,-9.5763775635299e-06+1.81589146929869e-06i,-8.09665016971835e-06+9.13713361177114e-07i,-2.80792752492467e-05+5.4220408747903e-06i,2.46722059448731e-06+-8.12384334425531e-06i,6.55654899061261e-07+2.45395489305181e-06i,-1.77271566022014e-07+3.60720699178644e-06i,1.05242348274304e-06+7.57016803526222e-06i,-2.2983592137614e-06+3.95222639205127e-06i,-2.15938999972444e-06+3.08205331662416e-06i,-1.71282977880204e-05+3.02664840259033e-06i,9.76403291947475e-06+2.14446922574392e-06i,1.00227099334089e-05+-4.82311376468898e-06i,1.83616812885307e-05+-4.08038408390733e-05i,-2.2675277040365e-06+4.97657480255707e-05i,2.3769425766281e-06+2.87611662689475e-05i,6.73943179202107e-06+1.84320734629381e-05i,3.07467435397292e-05+-0.000415619513741514i,3.16034932852883e-07+-1.72501308092379e-05i
-169.477357010901,-35.756569485524,31.2,1.43897731146709e-06+4.44523880059204e-09i,1.78541407081318e-05+7.97501466953879e-08i,2.61732321995927e-07+1.88784430060693e-08i,2.72261404664733e-06+1.96210216046564e-08i,-6.91625285484866e-06+-9.31478932175779e-07i,1.30413555392779e-06+-3.20580316552844e-07i,-1.15816650707538e-05+-7.05046679194283e-07i,4.77779725472873e-07+-4.32554913805214e-07i,9.57632202373668e-06+-1.31965526174293e-06i,-4.05388454871731e-06+-5.73267500161236e-07i,-1.66792075626877e-06+-7.08008629864271e-07i,2.2740174629912e-06+-1.18744611407692e-06i,3.32360660615642e-06+-1.55250483239665e-06i,-3.93337184386633e-06+-2.72135301366888e-06i,2.43975076808036e-06+-3.29097651432171e-06i,4.2895754495731e-06+-3.79650677455164e-06i,-2.34682615874263e-05+4.17973396773145e-06i,-1.13877629120933e-06+-4.97202883648684e-06i,-3.31146380003797e-06+4.92347092340987e-06i,-8.71393524306632e-06+-4.85739161075569e-06i,-5.59345344060759e-06+-3.80675086700379e-06i,-4.83727285796241e-06+-3.88718762228583e-06i,7.42002585529301e-05+-4.9393764096454e-05i,-1.05521860625146e-05+-1.69006241740917e-06i,4.46375021010276e-06+1.59536391717821e-06i,-6.14364472669562e-06+3.41300489411202e-07i,-7.34931256682593e-06+1.92891811941696e-06i,-1.32430114784471e-05+-8.69409637303511e-06i,9.81095803504524e-06+-9.11184933253565e-06i,8.53305920255947e-07+-5.79766466662053e-06i,-6.07154082940868e-06+-1.60796290481266e-06i,-1.56095455373857e-05+1.67474308423812e-06i,-9.04539946616056e-06+6.10190309226311e-07i,-3.55960486283744e-05+5.51291545445217e-06i,2.57910183829702e-06+-9.93609853667377e-06i,1.70475633069482e-06+2.57846991881968e-06i,5.49467240390913e-07+3.85803466377807e-06i,6.2563888422734e-06+7.5053749691711e-06i,-5.73601138091048e-07+4.19521623024737e-06i,-4.21732681471496e-07+3.42124864072348e-06i,-1.335148023368e-05+2.95063387362818e-06i,1.01572598742143e-05+2.35797063016019e-06i,1.18203870759545e-05+-5.47650244423258e-06i,2.47953695333739e-05+-4.68037662815451e-05i,-8.26101604268275e-06+5.74922468400078e-05i,-1.193956220034e-06+3.32463248179173e-05i,7.09707132213854e-06+2.09893077022624e-05i,-6.15474098191103e-05+-0.00044817424261692i,-5.66108656141207e-06+-1.58370052478534e-05i
-169.477357010901,-21.4539522928739,31.2,1.52617922513532e-06+4.43022681792051e-09i,2.17407112444755e-05+8.18696414057724e-08i,-4.89493759247363e-07+1.74975707346145e-08i,2.90118438267798e-06+1.91831674986162e-08i,-7.02829069919757e-06+-9.58518681161131e-07i,2.15283702400402e-06+-3.29654928367026e-07i,-2.27210209159375e-05+-7.58335849625545e-07i,-9.30277336726574e-07+-4.51752650128963e-07i,8.12857060249217e-06+-1.36058509240241e-06i,-9.31820145048222e-07+-5.95721760887509e-07i,2.37282338886977e-07+-7.37520523161471e-07i,2.58064667957569e-06+-1.23258374373333e-06i,3.30111758291885e-06+-1.62101747633973e-06i,4.82186952716027e-07+-2.82432060159241e-06i,4.63831850931121e-06+-3.43606501612114e-06i,6.40913240128184e-06+-3.96343467185887e-06i,-2.40622670689616e-05+4.26572521414757e-06i,4.36444591960572e-06+-5.2891414433477e-06i,-1.8850843387401e-05+5.0272984400531e-06i,-1.0698816561328e-05+-5.11728985874507e-06i,-7.6861618295115e-06+-4.08280510473752e-06i,-6.79387909197125e-06+-4.17014443567386e-06i,4.38142249245956e-05+-5.08794867577534e-05i,-1.02765179724494e-05+-1.90094909660908e-06i,5.07326881239849e-06+1.62476317914062e-06i,-6.90791764126702e-06+2.293625024313e-07i,-8.58075258886264e-06+1.9095710066859e-06i,-1.18574368295842e-05+-9.52506048058148e-06i,1.14967362467662e-05+-9.82196064244267e-06i,2.56155417426812e-06+-6.44895293077254e-06i,-6.27239851569652e-06+-1.91964317622447e-06i,-2.16704120384689e-05+1.70618736848861e-06i,-7.48995917565892e-06+4.05246060050516e-07i,-3.49112312646865e-05+5.58607597461166e-06i,9.51834211561034e-06+-1.13538928846767e-05i,4.48553594433446e-07+2.71220880050855e-06i,-6.61266311800862e-07+4.09490759256407e-06i,7.18949028395408e-06+7.5843845144815e-06i,-2.17441834027355e-06+4.44785690887499e-06i,-3.41225902427002e-06+3.82383178562287e-06i,-2.01565712092444e-05+3.08204818361149e-06i,1.25393993702193e-05+2.50214012819809e-06i,1.3914348925846e-05+-6.0454402846686e-06i,2.976264433715e-05+-5.18424497298004e-05i,-1.17747289283604e-05+6.39593772623876e-05i,-2.60021597445708e-06+3.68847357065161e-05i,8.4488324497084e-06+2.30531128424001e-05i,-0.000198826000603245+-0.000499878929545789i,-1.43570330624352e-05+-1.49878555351143e-05i
-169.477357010901,-7.15133510022383,31.2,1.57189750660355e-06+4.43005367530985e-09i,2.40174170188653e-05+8.29514442076477e-08i,-9.42609690975954e-07+1.68865068308527e-08i,2.99102435041074e-06+1.8984459429498e-08i,-7.06210777477563e-06+-9.73851030385267e-07i,2.68269398582457e-06+-3.3472002804879e-07i,-3.02337875807058e-05+-7.89142168005342e-07i,-1.93349574322379e-06+-4.62422608592046e-07i,6.87637782275331e-06+-1.38190456674334e-06i,1.44985601229318e-06+-6.05753114510514e-07i,1.76076757947376e-06+-7.53130560007198e-07i,2.78935642362131e-06+-1.25614637722633e-06i,3.22607320671523e-06+-1.65883493258809e-06i,4.33810118815729e-06+-2.87867979514854e-06i,6.46832031032174e-06+-3.51711774111746e-06i,8.11423948382017e-06+-4.05697482511957e-06i,-2.38611164921858e-05+4.30687746203056e-06i,9.6899136238557e-06+-5.48727241902325e-06i,-3.3413629017009e-05+5.04763354644865e-06i,-1.24114160447491e-05+-5.24426728594271e-06i,-9.65734565103026e-06+-4.23666553972106e-06i,-8.68675557651943e-06+-4.32843163841819e-06i,2.49928313323933e-07+-5.06193039892793e-05i,-9.24419274245806e-06+-2.02897639493057e-06i,5.2466141120374e-06+1.63654946747923e-06i,-7.50968155019299e-06+1.54837049240665e-07i,-9.67514259068207e-06+1.88444650895506e-06i,-8.59548425624835e-06+-1.00038019843703e-05i,1.25988900531293e-05+-1.02126341894815e-05i,3.736859725717e-06+-6.87578961920516e-06i,-5.90213279351164e-06+-2.11125671914762e-06i,-2.56369760035382e-05+1.6797136233689e-06i,-4.70716809286164e-06+2.82014529186409e-07i,-2.77434681038989e-05+5.56670442903491e-06i,1.84911837510178e-05+-1.21771846476104e-05i,-2.24008367895619e-06+2.77321439609953e-06i,-3.06664867193671e-06+4.21090532460073e-06i,3.10426474588283e-06+7.55029704372329e-06i,-6.32691246844987e-06+4.55896310335429e-06i,-1.00454826832495e-05+4.10103447281021e-06i,-3.39577893506996e-05+3.07532226092677e-06i,1.56140881678068e-05+2.62758751120175e-06i,1.52463710803667e-05+-6.30174494618948e-06i,3.08824059096499e-05+-5.45884044595306e-05i,-1.02792470129637e-05+6.77680805949213e-05i,-9.6364997514005e-07+3.8945290885505e-05i,1.01010149965535e-05+2.42378967881291e-05i,-0.000309450918154925+-0.000541034803988148i,-2.08823722055523e-05+-1.45081910854667e-05i
-169.477357010901,7.15128209242624,31.2,1.56154931268563e-06+4.40994830202694e-09i,2.37765067018804e-05+8.26524078171797e-08i,-8.79419005980862e-07+1.69727248132218e-08i,2.95889339483247e-06+1.88799651682825e-08i,-6.99352849943847e-06+-9.70502036228225e-07i,2.61692786879604e-06+-3.33658484138331e-07i,-2.97005713945976e-05+-7.85965251947565e-07i,-1.88462552537336e-06+-4.60720737219779e-07i,6.88156097141739e-06+-1.37853894555008e-06i,1.14925978093616e-06+-6.03164089645298e-07i,1.69846140233516e-06+-7.49902862966013e-07i,2.76589838445266e-06+-1.25166915713098e-06i,3.22259837551216e-06+-1.65239977913417e-06i,4.17483568234491e-06+-2.86921110967665e-06i,6.3634474368915e-06+-3.50345588366211e-06i,7.98153923671796e-06+-4.04180082957196e-06i,-2.36747248829768e-05+4.30154466784797e-06i,9.68301777232413e-06+-5.46275937991824e-06i,-3.27459936149402e-05+5.02758306924891e-06i,-1.21846839740687e-05+-5.21096554444347e-06i,-9.49667572886052e-06+-4.21046587568954e-06i,-8.5410009473485e-06+-4.30197235101414e-06i,2.04835332946493e-06+-5.04454685901523e-05i,-9.37540237181643e-06+-2.00153227792074e-06i,5.13602991302195e-06+1.63124029683946e-06i,-7.46773241985097e-06+1.67766682298183e-07i,-9.5639772286621e-06+1.8863563106559e-06i,-8.66016300435106e-06+-9.92220787924515e-06i,1.24060900555358e-05+-1.01217081563624e-05i,3.43274892020638e-06+-6.93115756580931e-06i,-5.97659409216436e-06+-2.07287839387966e-06i,-2.53624872816178e-05+1.69969315732853e-06i,-4.82091397098468e-06+3.04902104793753e-07i,-2.74266444703616e-05+5.50593824372987e-06i,1.77892060822321e-05+-1.20435032947177e-05i,-2.14662363134422e-06+2.77434061400881e-06i,-2.9647004098116e-06+4.19805962440446e-06i,3.00271488352241e-06+7.55631267604217e-06i,-6.10669160508007e-06+4.53072986977754e-06i,-1.06653337580997e-05+4.26417859490897e-06i,-3.21407643817093e-05+2.9854388475961e-06i,1.52670425212879e-05+2.62820475364493e-06i,1.48859688895552e-05+-6.15978009046438e-06i,2.9874996144243e-05+-5.39291466077739e-05i,-8.68722687988539e-06+6.72041693629176e-05i,-6.24957041642948e-07+3.83917936388249e-05i,1.01793227482152e-05+2.39229541136277e-05i,-0.000304012606030029+-0.000534327106017444i,-2.02732282931999e-05+-1.43977992283841e-05i
-169.477357010901,21.4538992850763,31.2,1.52303187252691e-06+4.42712303079905e-09i,2.17564379788439e-05+8.17105274451224e-08i,-4.0517147839167e-07+1.78532599985731e-08i,2.87377208032839e-06+1.90945589221105e-08i,-7.15187041115625e-06+-9.58364164058369e-07i,2.03322100907646e-06+-3.29441377735743e-07i,-2.27623629163138e-05+-7.58145138049078e-07i,-9.88625893583584e-07+-4.51056744861274e-07i,7.92806577697308e-06+-1.36033463101931e-06i,-1.29908199732914e-06+-5.96422001299555e-07i,3.11433285729802e-07+-7.36379874249119e-07i,2.56128935197886e-06+-1.23205507883647e-06i,3.29682904556048e-06+-1.61962850460181e-06i,5.84825208258537e-07+-2.82545827104782e-06i,4.63945269971539e-06+-3.43386623242313e-06i,6.33584288409045e-06+-3.96207989394312e-06i,-2.35960681154341e-05+4.26980810761402e-06i,5.01817812665881e-06+-5.30165405281884e-06i,-1.93501785508191e-05+5.02909803936183e-06i,-1.04384352609092e-05+-5.10216898163459e-06i,-7.62791240279948e-06+-4.07834565331425e-06i,-6.75388127305024e-06+-4.16684197493826e-06i,4.20801752370485e-05+-5.08420499500987e-05i,-1.04198578654944e-05+-1.87828838706294e-06i,4.87321343336265e-06+1.62696396453103e-06i,-6.94934064632811e-06+2.3933010667485e-07i,-8.55731951006281e-06+1.91293310512656e-06i,-1.16720896928168e-05+-9.51085228677928e-06i,1.12672458171362e-05+-9.76564500944695e-06i,2.75891681419183e-06+-6.75815139638603e-06i,-6.40579711696604e-06+-1.89941915350765e-06i,-2.16847290195964e-05+1.68397764748806e-06i,-7.4228953335775e-06+4.39963021123528e-07i,-3.36440300427999e-05+5.47378936861328e-06i,9.31789511732071e-06+-1.12892464273199e-05i,2.71019206733509e-07+2.74061214495024e-06i,-7.96808298480324e-07+4.11573991782733e-06i,6.45801158801308e-06+7.65416967777597e-06i,-2.28554107975866e-06+4.42049098739079e-06i,-6.09181998216367e-06+4.33378130587561e-06i,-1.81024110098334e-05+2.73871887183164e-06i,1.23459131261768e-05+2.60376083541416e-06i,1.35475652288852e-05+-5.80265440203299e-06i,2.84048819982032e-05+-5.16142464477441e-05i,-9.43029709886357e-06+6.45437161593247e-05i,-1.6951216462071e-06+3.66031211834489e-05i,8.87737293518651e-06+2.29936552896127e-05i,-0.00020068717266492+-0.000499995954331402i,-1.39196858992418e-05+-1.50197900585144e-05i
