x,y,z,f_67_38,f_122_38,f_197_4,f_206_96,f_243_52,f_320_72,f_365_07,f_412_76,f_503_74,f_561_34,f_571_35,f_Freq_586,f_654_15,f_683_75,f_721_98,f_836_76,f_839_32,f_887_26,f_931_28,f_948_64,f_955_39,f_1051_1,f_1149_7,f_1172_1,f_1204_2,f_1285_7,f_1297_1,f_1347_3,f_1381_2,f_1413_4,f_1473_9,f_1507_7,f_1596_8,f_1600_6,f_1661_9,f_1717_7,f_1759_5,f_1805_1,f_1854_6,f_1870_8,f_1914_7,f_1935_2
-167.729672803294,-96.2168292622683,31.2,6.99050294288546e-07+5.12886772119803e-09i,1.94725002210947e-06+3.47827851672868e-08i,2.21076897584204e-06+6.94750364909115e-08i,1.8045629306724e-06+5.13728122767455e-08i,-7.02984478517486e-06+-6.7176614701595e-07i,1.39598692696839e-08+-1.47053526161542e-07i,6.72304309223247e-06+-4.81956652683491e-07i,1.47839258002535e-06+-3.46779799751158e-07i,-6.9271925619992e-07+-1.24374740580288e-07i,5.20742538125039e-06+-4.58490026487749e-06i,-5.52186893782876e-06+1.46089410887174e-06i,-8.19461488479366e-07+-1.98152966432399e-07i,9.51818841170872e-07+-9.52959404640074e-07i,1.79598576527008e-06+-1.27022096417571e-06i,-3.73681162754554e-06+-4.5227466589964e-07i,-5.14913668705719e-06+-1.10412557283408e-06i,-3.19591278833554e-06+-2.38264862610616e-07i,-2.65991909459449e-06+-2.11223443722549e-06i,2.95013791739809e-05+-7.77093654337495e-05i,-3.38785223921594e-06+8.80623560390344e-07i,-3.36552252479185e-06+5.52413494741219e-07i,-8.51970552264162e-07+-7.08747494396062e-07i,1.11616682313475e-05+1.12792906867478e-05i,-3.6712506776757e-06+-1.10820386563701e-06i,-4.27450771678618e-06+1.89485723526272e-07i,-1.17912352167959e-05+4.37088530021656e-06i,-5.25869835018521e-05+2.3202506743646e-05i,-5.96285106070761e-06+3.78969032049046e-06i,-3.14308700302763e-06+3.5402689113595e-06i,4.9559258998407e-07+-4.35766912004387e-06i,-3.48338356735126e-06+2.85237608834443e-06i,-3.4429581603259e-07+1.81217338046271e-06i,1.37225547015865e-06+-5.33684695270545e-07i,1.07240220810792e-06+7.070242073871e-07i,-4.10885847131337e-06+8.44316860391725e-06i,4.61430321437579e-07+5.18143538362821e-06i,2.2191637581487e-06+1.33954739866622e-06i,2.5196902816057e-06+1.64905455303146e-06i,2.15972352230616e-06+-1.9891651119222e-06i,2.04011206397143e-06+-4.17130701840416e-06i,2.07983143414986e-06+-8.70301866408128e-06i,4.45195391888722e-06+8.66580364770407e-06i
-167.729672803294,-83.3945612186441,31.2,8.97810989545623e-07+5.14477837840207e-09i,3.03485537712192e-06+3.90331195918903e-08i,2.79233950169611e-06+6.66282111867319e-08i,2.45836088413815e-06+5.08188170769607e-08i,-1.04048314461217e-05+-6.90358824833846e-07i,-8.73889177966973e-08+-1.51861903541842e-07i,8.14718473520221e-06+-5.61482536660422e-07i,1.75401602429464e-06+-3.74407109641603e-07i,-7.97134498018622e-07+-1.41648190889753e-07i,3.8518372847183e-06+-4.93754118463658e-06i,-6.45417583721064e-06+1.52783915215197e-06i,-9.85873763679919e-07+-2.37180482158157e-07i,1.28633626013576e-06+-1.05959881037681e-06i,2.50664920734093e-06+-1.41910694887654e-06i,-5.48767376419961e-06+-5.07485876829712e-07i,-8.27543179813671e-06+-1.20053027438813e-06i,-4.53074217597006e-06+-4.80611053298121e-07i,-3.24737566053773e-06+-2.54344968625794e-06i,2.3937530637213e-05+-8.53787546794432e-05i,-3.99879445712559e-06+8.86469356205551e-07i,-3.85229722189701e-06+4.76611088519642e-07i,-6.89386115478444e-07+-9.82563201238443e-07i,7.6514017320095e-06+1.39750031129332e-05i,-4.14567300253941e-06+-1.58928335279472e-06i,-5.04700514850618e-06+-2.18241675713324e-07i,-1.51537602227748e-05+4.20971935500994e-06i,-7.12051737663537e-05+2.51893932329234e-05i,-7.69728268671832e-06+3.23023145287386e-06i,-4.17351504595091e-06+3.71297178640932e-06i,1.63794917880603e-06+-5.73755954612281e-06i,-4.1840877799084e-06+2.91285879314676e-06i,-9.36162146039201e-07+1.80601142788375e-06i,1.82186567619957e-06+-1.64123969693539e-06i,1.06172185459212e-06+1.56775211546896e-07i,-3.17346581664946e-06+9.68269985523481e-06i,5.17347888191824e-07+5.96948400115125e-06i,2.44841128387195e-06+1.81470681621514e-06i,3.02704565155905e-06+2.04920617503955e-06i,3.78139040056394e-06+-3.00348559735048e-06i,5.69429010659172e-06+-7.82349568377403e-06i,3.713113927485e-06+-1.01896925147794e-05i,3.44467600430609e-06+1.18671388579344e-05i
-167.729672803294,-70.5722931750198,31.2,1.13113150552116e-06+5.18643217844686e-09i,4.73801354136872e-06+4.25269758932081e-08i,3.28666674753394e-06+6.43536344384214e-08i,3.17411401258833e-06+5.0482968336008e-08i,-1.36659421202347e-05+-7.14340136012446e-07i,2.41433205239931e-08+-1.58224515368922e-07i,7.38297195919638e-06+-6.45109408215058e-07i,1.8987115454975e-06+-4.04897147899396e-07i,-8.69125123262232e-07+-1.61642074710685e-07i,1.49134465819657e-06+-5.30849696545464e-06i,-7.31687834148541e-06+1.59458786190612e-06i,-1.15245928179402e-06+-2.8150862521936e-07i,1.68271453756306e-06+-1.17513014203843e-06i,3.39416727284797e-06+-1.58002156177913e-06i,-7.88976014089655e-06+-5.70483411386461e-07i,-1.2286384302806e-05+-1.31742416123421e-06i,-6.63624949317811e-06+-7.71934861966204e-07i,-4.01083177221292e-06+-2.99112957760602e-06i,-1.6570089186148e-07+-9.07981426998584e-05i,-3.77752116029024e-06+8.81808007196704e-07i,-3.71374274370736e-06+3.86622225995046e-07i,-3.66381352444265e-07+-1.27329462943821e-06i,-3.89910001341118e-06+1.7090127823134e-05i,-4.16874942996913e-06+-2.10149787275165e-06i,-5.56530856504515e-06+-6.72114089054815e-07i,-1.78609991434819e-05+3.95289554195601e-06i,-8.7699486023667e-05+2.67973432864904e-05i,-1.15999770372013e-05+2.52331189029148e-06i,-5.63500326914018e-06+3.83125257312759e-06i,3.00061891235582e-06+-7.2316192936289e-06i,-4.6270292714534e-06+2.89066448871799e-06i,-1.96093297664422e-06+1.74129061365043e-06i,2.12928266271594e-06+-2.97751378695877e-06i,7.59871773797176e-07+-5.58689481973722e-07i,-1.32767469572143e-07+1.09507267262418e-05i,7.03267610638156e-07+6.69036269278881e-06i,2.96748028171979e-06+2.2909091670291e-06i,3.7717913671121e-06+2.40484428352795e-06i,5.97088297177519e-06+-4.11438742217289e-06i,1.11942933373833e-05+-1.24381071578977e-05i,4.78652507909336e-06+-1.15215095222875e-05i,2.3444776065557e-06+1.53419143083807e-05i
-167.729672803294,-57.7500251313956,31.2,1.38024182203489e-06+5.25951834909842e-09i,7.10067991877674e-06+4.54092831729048e-08i,3.52306503041894e-06+6.26933452425133e-08i,3.80233170517304e-06+5.04204714285399e-08i,-1.54988883083097e-05+-7.40883425533485e-07i,6.08063875058241e-07+-1.65520386898422e-07i,1.87089183313817e-06+-7.33593692913126e-07i,1.71538686322603e-06+-4.37058237720186e-07i,-9.01439229083029e-07+-1.83657197204968e-07i,4.09049136804426e-07+-5.67628131976264e-06i,-8.15558415090638e-06+1.66072243437373e-06i,-1.28864985692557e-06+-3.28740913079414e-07i,2.05183846131645e-06+-1.2957919584106e-06i,4.23936508950051e-06+-1.74741975571133e-06i,-1.02203453609992e-05+-6.34799283818809e-07i,-1.58074353582762e-05+-1.44926050455823e-06i,-9.54326253424526e-06+-1.10238620053842e-06i,-4.50296115058437e-06+-3.44193202632137e-06i,-3.29524813978401e-05+-9.54764995484197e-05i,-2.65183332267346e-06+8.72293127177657e-07i,-2.91341257543593e-06+2.8896582877196e-07i,9.77178170522222e-08+-1.57350716356204e-06i,-2.5164932729827e-05+2.06606074328749e-05i,-3.53998346089888e-06+-2.63824330245837e-06i,-5.68306124194332e-06+-1.15207553063813e-06i,-1.90483065646488e-05+3.62862451834938e-06i,-9.50839324459992e-05+2.74752203212033e-05i,-1.91488378390179e-05+1.72950467920501e-06i,-7.85099036151594e-06+3.92371100221457e-06i,4.18684846080957e-06+-8.80176057393811e-06i,-5.35032306406637e-06+2.82380243003387e-06i,-3.25614214204911e-06+1.64835680947728e-06i,2.26496187732701e-06+-4.44715363115751e-06i,1.52434515713305e-07+-1.36927570058674e-06i,4.42099456719397e-06+1.22723023873485e-05i,4.06637926292946e-07+7.39851873556498e-06i,4.1832262140924e-06+2.75776704354095e-06i,4.71206056857832e-06+2.73013369943912e-06i,8.09760398632261e-06+-5.21936214491582e-06i,1.61542591972282e-05+-1.76858462052447e-05i,4.40332885711939e-06+-1.27554594585354e-05i,2.54167690848338e-06+1.90723615226182e-05i
-167.729672803294,-44.9277570877713,31.2,1.61031250440558e-06+5.35179177077702e-09i,9.81376031017183e-06+4.77033655926082e-08i,3.40504525885819e-06+6.15953219902708e-08i,4.17160842067747e-06+5.05441762373602e-08i,-1.47992240267241e-05+-7.64717648783764e-07i,1.80840371545567e-06+-1.72464240453004e-07i,-9.98910638791278e-06+-8.2243741563639e-07i,1.03785296646139e-06+-4.67497502300478e-07i,-9.04779711490205e-07+-2.05542086428782e-07i,5.11262569970104e-06+-5.97898708265245e-06i,-9.07206433860947e-06+1.72044199030281e-06i,-1.334593267387e-06+-3.72499889744774e-07i,2.20521809312779e-06+-1.40837684665812e-06i,4.5239373709064e-06+-1.90180694334837e-06i,-1.05933193503735e-05+-6.79499033363159e-07i,-1.61606124754012e-05+-1.56624051002544e-06i,-1.19763469589763e-05+-1.44193989510411e-06i,-3.65088403971675e-06+-3.86308802014778e-06i,-2.50754861436139e-05+-0.000105842172843591i,-2.50524758597047e-06+8.62021328288206e-07i,-2.80069984351221e-06+1.95047221011861e-07i,4.69342740558198e-07+-1.85796435479012e-06i,-4.33666873387165e-05+2.39002369742518e-05i,-3.00434771539839e-06+-3.13224726136913e-06i,-5.81425203479118e-06+-1.61614833983619e-06i,-1.98890495090034e-05+3.29437209536798e-06i,-9.51061059521315e-05+2.74728644939206e-05i,-2.7751488900856e-05+9.47414813662157e-07i,-1.03916003159216e-05+3.98985162672169e-06i,5.07937458397648e-06+-1.03194907625542e-05i,-7.14403009759471e-06+2.73211050027435e-06i,-3.93332229221561e-06+1.53907808530434e-06i,3.03583206113522e-06+-5.90745693726499e-06i,-1.23175126829431e-08+-2.19236874932842e-06i,8.70728214629463e-06+1.34919982150329e-05i,-5.18433734467719e-07+8.04628149638756e-06i,6.0231984413009e-06+3.16006580905706e-06i,5.72237973801676e-06+2.99335479339476e-06i,9.81048554108531e-06+-6.19191825771791e-06i,1.89155411399875e-05+-2.30446682973569e-05i,2.13391575682202e-06+-1.38102734856867e-05i,4.88255934219222e-06+2.27524969013579e-05i
-167.729672803294,-32.1054890441471,31.2,1.77477202830291e-06+5.3823563124252e-09i,1.22147081233941e-05+4.89028043694815e-08i,3.00512555644626e-06+6.05654323207377e-08i,4.2081778902389e-06+5.02938001254227e-08i,-1.19250165563857e-05+-7.78772802960666e-07i,3.31000307911317e-06+-1.77666752258142e-07i,-2.50174352355554e-05+-8.96833250297192e-07i,5.71789351819297e-08+-4.91227621455681e-07i,-8.86863708292068e-07+-2.24056732708536e-07i,1.55622941347998e-05+-6.16995593262102e-06i,-9.89840780278699e-06+1.76451456248294e-06i,-1.26292401216333e-06+-4.06473939518313e-07i,2.08287823639077e-06+-1.49693878660348e-06i,4.05550388005301e-06+-2.0210588638023e-06i,-8.29186925828082e-06+-6.91159061755654e-07i,-1.3297110267527e-05+-1.62885053147916e-06i,-1.19772509309003e-05+-1.74867155732909e-06i,-1.32284461105131e-06+-4.22235911310018e-06i,4.92025260446525e-05+-0.000124171106116363i,-5.09964428286827e-06+8.46867859883871e-07i,-4.62018008486529e-06+1.10939709423805e-07i,4.73127851852229e-07+-2.09134243215911e-06i,-4.17846775517214e-05+2.57945659770567e-05i,-3.66612318060093e-06+-3.47089430665908e-06i,-6.56523733097943e-06+-2.00677334505203e-06i,-2.26928549137316e-05+3.03929679387576e-06i,-0.000102547900590833+2.83676660355119e-05i,-3.12518730773687e-05+2.93797252221255e-07i,-1.19028839687578e-05+4.02144911029654e-06i,5.98964467490061e-06+-1.15681737600148e-05i,-9.09283080389907e-06+2.64819588073326e-06i,-3.71422409261896e-06+1.4432157925064e-06i,4.48192573892701e-06+-7.12654885368666e-06i,5.28894538879978e-07+-2.88298142318395e-06i,1.22519561800678e-05+1.44910936231554e-05i,-5.45277029211296e-07+8.56510090845184e-06i,7.13215681795877e-06+3.51986588898122e-06i,6.64935016029837e-06+3.22784912093165e-06i,1.18892500488845e-05+-6.74242157493727e-06i,2.32806285361863e-05+-2.77132424995816e-05i,-7.04888077433186e-09+-1.46547446425577e-05i,6.58448180203367e-06+2.58594400564087e-05i
-167.729672803294,-19.2832210005229,31.2,1.89540062527603e-06+5.41546867306563e-09i,1.42358705343942e-05+4.96073048002511e-08i,2.5499992652318e-06+6.00048933886423e-08i,4.12101988445339e-06+5.01347683262841e-08i,-8.85721789085559e-06+-7.88859000548662e-07i,4.74710262923922e-06+-1.81564671901176e-07i,-3.98937132018393e-05+-9.54488761915466e-07i,-9.94252300232712e-07+-5.08688250539324e-07i,-8.22394021313702e-07+-2.383670341995e-07i,2.77605457587829e-05+-6.27360690178678e-06i,-1.03438087032833e-05+1.79592538633406e-06i,-1.08833230705678e-06+-4.30430048427277e-07i,1.80906657205204e-06+-1.55975644099654e-06i,3.16818489504127e-06+-2.10304438025025e-06i,-4.56979821033287e-06+-6.82601842988967e-07i,-9.45827592616223e-06+-1.62912793424217e-06i,-9.62721131012361e-06+-2.00105504016342e-06i,1.43627536754122e-06+-4.51145998778967e-06i,0.00016306392763139+-0.000146174618404356i,-9.52336446052409e-06+8.32352586168675e-07i,-7.8413457638937e-06+4.6954794514515e-08i,1.81367825156958e-07+-2.25879152014677e-06i,-2.17994958704176e-05+2.62561987408413e-05i,-5.45091989785736e-06+-3.63387925054362e-06i,-7.89431942015124e-06+-2.29654891621935e-06i,-2.7673091348703e-05+2.87246581423419e-06i,-0.000123993432721328+3.06961409088492e-05i,-2.84999981592165e-05+-1.73634015711966e-07i,-1.20212183454631e-05+4.00986246804e-06i,7.3184633966787e-06+-1.24595031036912e-05i,-1.03935411130086e-05+2.54535908650185e-06i,-2.80542882028022e-06+1.35387810422176e-06i,6.59865685237021e-06+-8.02661266575472e-06i,1.81981310055699e-06+-3.41182041652323e-06i,1.44007734674224e-05+1.51472508108812e-05i,7.32927133000617e-07+8.86348876885437e-06i,7.07053327817679e-06+3.77016604778395e-06i,7.47158720586687e-06+3.38450336935874e-06i,1.47766099084266e-05+-6.83901470079779e-06i,3.16470634280322e-05+-3.11675690784255e-05i,-2.19548177149055e-07+-1.52860418638927e-05i,5.36753221633621e-06+2.79514415511964e-05i
-167.729672803294,-6.46095295689862,31.2,1.9667056012767e-06+5.44498438693163e-09i,1.56182148676806e-05+4.99807580999619e-08i,2.18915967513423e-06+5.97504148818439e-08i,4.007388751797e-06+4.99237230019193e-08i,-6.90837601780595e-06+-7.94346943007166e-07i,5.74192449172868e-06+-1.83755908282199e-07i,-5.06678963782447e-05+-9.89954536229692e-07i,-1.80842641935823e-06+-5.1869859501603e-07i,-7.26132666000282e-07+-2.46408545271239e-07i,3.68774764256852e-05+-6.31076774460862e-06i,-1.03183647646478e-05+1.81590026229814e-06i,-8.9957084741569e-07+-4.42556950158359e-07i,1.54243467133971e-06+-1.59230424816338e-06i,2.3349470287608e-06+-2.1431060013193e-06i,-1.29538143390586e-06+-6.70189792624986e-07i,-7.72033304150284e-06+-1.54476703726287e-06i,-5.94122941607352e-06+-2.17898712041502e-06i,3.2776712240895e-06+-4.71502484141816e-06i,0.00026223891490158+-0.000163468350665703i,-1.36603941417044e-05+8.27713713412244e-07i,-1.09883138075088e-05+1.17884542477891e-08i,-1.68861381723494e-07+-2.33918081510937e-06i,1.87924332441583e-06+2.59219078581167e-05i,-7.52189969709695e-06+-3.56877289526018e-06i,-9.1932066591195e-06+-2.43442660228476e-06i,-3.26525516326733e-05+2.84313498901251e-06i,-0.000153201984818149+3.41518810244394e-05i,-2.32055798784407e-05+-3.19583994809657e-07i,-1.13088092941334e-05+4.0256134686697e-06i,8.72172508585992e-06+-1.28988895340402e-05i,-1.05669858036703e-05+2.51332174867579e-06i,-1.91531825886439e-06+1.32356512612918e-06i,8.32743476953952e-06+-8.49076759658886e-06i,2.98151353253778e-06+-3.68411636909435e-06i,1.62093405855288e-05+1.55086776411365e-05i,2.72107091868732e-06+8.98541735557415e-06i,6.45303625639925e-06+3.90664907614471e-06i,8.20104755849017e-06+3.45773499628418e-06i,1.75376154847509e-05+-6.43568681137911e-06i,4.12236260617699e-05+-3.31946751321282e-05i,6.545458378628e-07+-1.57197028448494e-05i,2.73355564077152e-06+2.89275134945954e-05i
-167.729672803294,6.36131508672563,31.2,1.96671513090868e-06+5.45848631490536e-09i,1.56094932371381e-05+5.00722988033706e-08i,2.16780811177455e-06+5.97845857572271e-08i,3.91531702171955e-06+4.96836270446442e-08i,-7.15968679014535e-06+-7.94513748443947e-07i,5.70453476875515e-06+-1.83766213977139e-07i,-5.01381162006264e-05+-9.8835501420053e-07i,-1.75949439568745e-06+-5.1838504067339e-07i,-7.26140702962849e-07+-2.45705989384743e-07i,3.60436778331374e-05+-6.3120691396946e-06i,-1.026304792058e-05+1.81820963512199e-06i,-9.36729897136014e-07+-4.41973118407102e-07i,1.56176008540545e-06+-1.58985391050974e-06i,2.3892360228511e-06+-2.13935002170662e-06i,-1.61420558847891e-06+-6.73369356260898e-07i,-1.09875689958932e-05+-1.37269211793741e-06i,-4.35507213396457e-06+-2.262915146599e-06i,2.40973971598244e-06+-4.79267450091306e-06i,0.000252906086871068+-0.000161961940126738i,-1.33504561219718e-05+8.28817385116173e-07i,-1.09978888926973e-05+4.13080829102611e-09i,-1.19877143256209e-07+-2.32976809340111e-06i,-9.24747748033427e-07+2.60353009296222e-05i,-7.99758914890101e-06+-3.31092447075174e-06i,-9.08135772546299e-06+-2.41843765532516e-06i,-3.22447106616922e-05+2.85221302827315e-06i,-0.000160300474805162+3.55706071421556e-05i,-2.42413887752542e-05+-2.57772460539904e-07i,-1.14330032740903e-05+4.04399455108949e-06i,8.77153878681055e-06+-1.28688672893815e-05i,-1.04281007775727e-05+2.52346986795613e-06i,-1.81199835640718e-06+1.35108120762913e-06i,8.10793747201162e-06+-8.46867613179547e-06i,2.77167203983802e-06+-3.66663010306444e-06i,1.63390592096471e-05+1.55656706335685e-05i,2.56643427559634e-06+9.00662397815151e-06i,6.66257996300813e-06+3.89942725946524e-06i,8.22883472193112e-06+3.46714504981656e-06i,1.68877444070672e-05+-5.58607073102659e-06i,4.09097762047784e-05+-3.330908463978e-05i,2.87057335636945e-07+-1.58542843852256e-05i,3.28300727962152e-06+2.89712727743613e-05i
-167.729672803294,19.1835831303499,31.2,1.90456476639184e-06+5.42625394520022e-09i,1.44935192768266e-05+4.96672226156246e-08i,2.37813129169593e-06+5.98270399965451e-08i,3.82859006538439e-06+4.92185564473714e-08i,-8.71542115717544e-06+-7.89173763367318e-07i,4.92816432089219e-06+-1.82074185014169e-07i,-4.15458371970214e-05+-9.57807868967261e-07i,-1.10845451643295e-06+-5.09931316631277e-07i,-7.81164732130048e-07+-2.39045698728178e-07i,2.84030211996183e-05+-6.27815434579438e-06i,-1.00904871484691e-05+1.80395784971723e-06i,-1.08647322307929e-06+-4.32821263966917e-07i,1.76068544310959e-06+-1.56200233315158e-06i,3.00469411625869e-06+-2.10417730734451e-06i,-4.17074860530595e-06+-6.81275138509038e-07i,-1.53054453952455e-05+-1.14268759765848e-06i,-5.12035732509353e-06+-2.28665745708928e-06i,6.55267361988809e-07+-4.7531369088956e-06i,0.000172659170725942+-0.000147862390676489i,-9.94325273004398e-06+8.26129769729154e-07i,-8.56570099869238e-06+6.46111017061824e-09i,1.30649507643403e-07+-2.2581313614232e-06i,-1.93467915566413e-05+2.62688332468898e-05i,-7.23897944044332e-06+-2.95250023774604e-06i,-8.01522068820827e-06+-2.29965179967024e-06i,-2.80903764068791e-05+2.87689114087385e-06i,-0.000143636576198064+3.47297755634735e-05i,-2.85572782882077e-05+-9.07831594586544e-08i,-1.19409323084286e-05+4.03190821512851e-06i,7.61083618306624e-06+-1.24704013985178e-05i,-1.01153288437645e-05+2.5433228570227e-06i,-2.1441981686163e-06+1.41180384581891e-06i,6.59073452855073e-06+-8.04977859047858e-06i,1.77617775865622e-06+-3.41383806177944e-06i,1.44535597137028e-05+1.53214982448494e-05i,9.22012652109238e-07+8.93182327336116e-06i,7.10033581570029e-06+3.79879799440015e-06i,7.56341725040296e-06+3.44974735818261e-06i,1.40492724097376e-05+-4.40335702248967e-06i,3.32288858044729e-05+-3.17730666018582e-05i,-4.95344424538265e-07+-1.56665264662237e-05i,5.5897750193876e-06+2.81844697584267e-05i
