x,y,z,f_64_69,f_Freq_110,f_189_13,f_200_86,f_259_24,f_293_42,f_Freq_341,f_375_83,f_466_29,f_485_27,f_496_72,f_547_28,f_590_2,f_663_15,f_674_2,f_718_04,f_735_5,f_804_08,f_813_61,f_921_43,f_960_35,f_987_44,f_1026_2,f_1072_4,f_1121_6,f_Freq_1173,f_1202_9,f_1220_5,f_1247_3,f_1254_6,f_1375_4,f_1444_2,f_1449_6,f_1481_6,f_1501_9,f_1538_2,f_1586_2,f_1649_3,f_1668_7,f_1734_5,f_1753_3,f_1814_8,f_1834_4,f_1912_2,f_Freq_1919,f_1938_9
-168.661817114492,-105.367145760867,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-91.3200478388819,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-77.2729499168967,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-63.2258519949116,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-49.1787540729264,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-35.1316561509412,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-21.0845582289561,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,-7.03746030697089,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,7.00963761501428,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.661817114492,21.0567355369995,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
