x,y,z
-0.051,-0.121,0.0331375025621191
-0.048,-0.08,0.0109951166745122
-0.041,-0.041,0.0103511116752281
-0.04,0,0.0281762455189075
-0.047,0.046,0.0376614133707145
-0.05,0.08,0.00328669564011925
0,-0.119,0.00700907852725054
0,-0.079,0.040376249775478
0,-0.04,0.0607263700689819
0,0,0.0760164982696348
0,0.05,0.0657458959129829
0,0.08,0.0187294286183307
0.05,-0.121,0.0336039681817783
0.048,-0.081,0.0175326426610916
0.04,-0.041,0.0373237173325311
0.042,0,0.0271079399981624
0.05,0.049,0.0371677002279211
0.049,0.079,0.00178442097467724
