x,y,f1_106,f2_181,f3_280,f4_370,f5_493,f6_679,f7_725,f8_836,f9_979,f10_1191,f11_1369
-0.178,0.200672,-0.000562753055607848-5.88313696132703e-05i,-0.000896155226697344-0.000199203279115351i,-0.00159876897985879+5.73933814403217e-05i,-0.0019794251184029+0.0011459914954719i,-0.00128129801212381+0.00258041962147084i,0.000918510560891232+0.00365288739834756i,0.00386056051908601+0.00276639763080175i,0.00539324189766305+0.000109405146820472i,0.00483916307209191-0.00261878824100931i,0.00299714374423474-0.0042115280884814i,0.00103177081708963-0.00453543573916012i
-0.178,0.141814857142857,-0.0019684694746128+0.000518012071849751i,-0.00244833328354176-0.00131291476577552i,-0.00526457338941604-0.00268253927311524i,-0.00930126355806232-0.000531720894614762i,-0.0108827267376242+0.00543170403396926i,-0.00695906170131512+0.0137956931182891i,0.00342639405398426+0.0176564343126978i,0.0130563750099669+0.0130639973856821i,0.0163377886391245+0.004262067124877i,0.0137225682951865-0.0031694067620175i,0.00891365966083285-0.00687440453636481i
-0.178,0.0829577142857143,-0.00309814553799917-0.000182458106913561i,-0.00471440933260161-0.0027353489633273i,-0.00956041244881915-0.0037220379201026i,-0.0149820069264104+0.000596996541542793i,-0.0162909040079331+0.00958944299199929i,-0.0096347936197734+0.0217547943330981i,0.00608669654515562+0.0271960340932559i,0.0204840606266116+0.0204236664654544i,0.0258319295003215+0.00733942822248209i,0.022425752891133-0.00437803744879758i,0.0151161060352542-0.0107633617597553i
-0.178,0.0241005714285714,-0.00525123561554783+0.000267818899967077i,-0.00582164837471125+0.00162976989346975i,-0.00540583883337204+0.00343716764411385i,-0.00418878590924296+0.00496957708170851i,-0.00251169480433739+0.00600244617979672i,0.000349470930096576+0.00761286918292699i,0.00414922440728571+0.0077880637685326i,0.00752176251804859+0.00599441322442377i,0.00951226303738734+0.0028801007846477i,0.0098461253482915-0.000791007683116715i,0.00851109034921839-0.00432202717894878i
-0.178,-0.0347565714285714,-0.0030203523868764+4.03922005231706e-05i,-0.00340913964109046+0.000816235073514094i,-0.00321814345785081+0.00188677926801642i,-0.00253445889573408+0.00281960605840371i,-0.00155512859099926+0.00346924914756363i,0.000121465594683028+0.0044824783627853i,0.00241665920471073+0.00466581511730681i,0.00452512101192422+0.00365566625189768i,0.00584651090993229+0.00180274656979404i,0.00618592128428211-0.000448402225652605i,0.0055107187782544-0.00268435281145101i
-0.178,-0.0936137142857143,-0.0047094657025476+0.000537782589759271i,-0.00646807019897695-0.00348393259020279i,-0.0135229968331888-0.00575406943041703i,-0.0224449875873796+0.000389723377907019i,-0.0249907742328247+0.014744859785866i,-0.0144780750048392+0.0341483155745026i,0.010701127000426+0.0424411819615965i,0.0334930861192977+0.0309389119525344i,0.0412418328483027+0.0096719286874428i,0.0349953129875161-0.00854420538052161i,0.023168814960638-0.017948988749106i
-0.178,-0.152470857142857,0.00179831795092929+0.00101360849675673i,0.00242353084203272+0.000692494565246885i,0.00277946755143095-6.26815567814725e-05i,0.00277551358813999-0.00091241715609684i,0.00249488051400638-0.00169188497339498i,0.00202630800147791-0.00297401932052586i,0.000896875662265352-0.00399472236557145i,-0.00050391521993623-0.00424017844762146i,-0.00168531992507186-0.00378421216856175i,-0.00241739020511151-0.00290649712839899i,-0.00262104213614379-0.00190730810286037i
-0.178,-0.211328,1.62164179970314e-05+0.00128749340495053i,0.000766184389429876-0.00149104872676321i,-0.001261702675498-0.00541383710349219i,-0.00721337867043714-0.00651020728112353i,-0.0133441864248371-0.001664599812898i,-0.0150911343578616+0.00941756999409582i,-0.00691014640477253+0.020033365620809i,0.00601531476932545+0.0211288928037324i,0.0146876040758818+0.0136543753798983i,0.0159807517943724+0.00417912183585036i,0.012659753270601-0.00232673428563628i
-0.126,0.200672,-0.00049991464804293-0.000261831002891702i,-0.00115432748344688-0.000225765726157356i,-0.00207372808495518+0.000680008585103695i,-0.00217897125455939+0.00256744473057793i,-0.0007413478400871+0.00445278270452153i,0.00242569033117419+0.00528973530105166i,0.00565201865380436+0.00333796554944592i,0.00662559496562298-0.000328496106831912i,0.00514780485945446-0.00352611117696756i,0.0024461529695383-0.00504503641005985i,-0.000196771252247635-0.00495021887356269i
-0.126,0.141814857142857,-0.00233435349952099+0.000440538569532754i,-0.00380199431410485-0.00176431554262548i,-0.0083102680454208-0.0020609240579253i,-0.0129557864736985+0.00251923963802241i,-0.0131535402926458+0.0107656067462998i,-0.00599836850139126+0.019738110695561i,0.00686365758066527+0.0208193864780451i,0.0163144514675851+0.0127118222351809i,0.017680228844311+0.0018673988249051i,0.01299001977228-0.00568285091290276i,0.00679806498598335-0.00836687574877101i
