x,y,f_{1} = 112,f_{2} = 171.5,f_{3} = 286.5,f_{4} = 382,f_{5} = 502.5,f_{6} = 686,f_{7} = 737.5,f_{8} = 841.5,f_{9} = 994,f_{10} = 1206,f_{11} = 1382.5
-0.178,-0.211328,0.000197551375744106+0i,2.21890256346973e-05+0.000320042553841848i,0.000162108449715978+0i,-0.00304506508287623+0.00179474855992401i,-0.000542632706499556-0.00155763117843214i,-0.00150836181223944-0.00106840854163545i,0.00306545459083081-0.00566907259773502i,0.00186757099163678+0i,-0.0176611811910339-0.00830625373944509i,-0.00231998792383263-0.00510715492978049i,-0.00279719077720797-0.0035927117558962i
-0.178,-0.152470857142857,0.000185025512256184+0.000316736492186315i,9.73902920360371e-05+0.000389639103192905i,-0.000217851481563719+0.000764245427972852i,9.26741165915958e-05+0.00410603232839854i,-0.000859552060940718-0.00315394596321775i,-0.00165274013893766-0.00159363345096949i,0.00533549865747068-0.00803982113419134i,-0.000214305271296072-0.00309867392175739i,-0.0277972423441082-0.0196200571217383i,-0.0023986525152253-0.00892949244575516i,-0.00301836342130191-0.0056791687332418i
-0.178,-0.0936137142857143,0.000173266693042182+0.000413250718589126i,6.4684529865476e-05+0.000478718875389985i,-0.00116976775265903+0.000431002215540679i,-0.00368041791397243-0.00133941529548682i,-0.00183170991012764-0.00364454465668234i,-0.000672233269910333-0.00199278393601376i,0.0045384206986731-0.00728835555241971i,0.000494730565119675-0.00524979238851452i,-0.0315572115306797-0.0182515471231155i,0.000257693870039377-0.0148465920172474i,-0.0036975405798837-0.00436690668327314i
-0.178,-0.0347565714285714,0.000266857411240523+0i,5.73525306461283e-05+0.000399451461612473i,-0.00122329165740384+0.000172310226591213i,-0.00589632957194986-0.00702456508840017i,-0.00209728315377173-0.00402220852577693i,-2.21401459361432e-05-0.00246967738047992i,0.00554336427714908-0.00846763675067639i,0.000679054270642485-0.00493673009952378i,-0.0196322009401415-0.0242578900970314i,0.00478583934787499-0.0202857611453721i,0.00212973434611761-0.000564228333884593i
-0.178,0.0241005714285714,0.000253606051125418+0.000324311525450554i,3.6700445347849e-05+0.000400403786117051i,-0.000738083135197789+0.000334607176542283i,-0.00799933320313913-0.0112054160297594i,-0.00182142292549982-0.00270491676573857i,-0.00172659279684366-0.0036279438214472i,0.00252103291578501-0.00837144375559188i,0.000422951034415564-0.00357805588155571i,-0.00902104398097135-0.0202087441489372i,0.0121238591301579-0.0121328020309146i,0.00586806107100492+0.000479437013611742i
-0.178,0.0829577142857143,0.000478958174742899+0i,6.50517115638411e-05+0.000533481486488266i,0.000202862311753068+0.000941794771619535i,-0.00976931106236425-0.012269717691411i,-0.00281178473742168-0.000969340333605323i,-0.00470738395112916-0.00358037834088014i,-0.00777775244643911-0.00443787977914645i,-0.000660921150788263-0.0044125798191899i,-0.00117915621523576-0.00611335653442432i,0.00567479187053468-0.0112394902868588i,0.00555172943082572-0.0146631956478958i
-0.178,0.141814857142857,0.000324755517720452+0.000291478390100817i,9.67776315961033e-05+0.000436416322445459i,8.03666503873099e-05+0.000946943321837943i,-0.000881291403143193-0.00380056957911705i,-0.0015050017726178-0.00282825321683576i,-0.00550119363458117-0.00368328621045812i,-0.00775800054412712-0.00362335237611538i,-0.000311325192117277-0.00429216439494694i,-0.0125361170437698-0.00387859120189856i,0.00296335183964318-0.0107157417153547i,0.00359250634266871-0.0172228540941314i
-0.178,0.200672,0.000304628634562829+0.00020969848990553i,7.78048292679221e-05+0.000321499157942787i,-2.63808444721643e-05+0.00062329359530655i,0.00240094313802701+0.000916378828959241i,-0.0013556813520037-0.00212959315611127i,-0.00390793108473582-0.000987646111016739i,-0.00732814921295121-0.00180767151392849i,-0.00203090311338642-0.0023308568380311i,-0.0118457660712507-0.00177301934308091i,-0.00485627297228138-0.00605413140654003i,-0.00716020529782056-0.0116500731533924i
-0.126,-0.211328,0.00040293865803352+0i,0.000635312741268584+0i,-0.00026292839654129+0.00120009090355505i,0.000889253576696244+0.00595729325597287i,-0.000635848028383948-0.00218533700984425i,-0.00213807196023011-0.00171295144405806i,0.00996811327660125-0.00695774804402595i,0.00460849376158544+0i,-0.0241332270989475-0.0354559651235884i,0.00260669926434718-0.0161249612776692i,0.00294145169228947-0.00594644753075635i
-0.126,-0.152470857142857,0.000605975159669147+0.00140126829522027i,0.000367747431198863+0.0011630536351278i,-0.00147908803009208+0.00192674450846418i,0.00791592235824628+0.0150637081651902i,-0.00168938411656416-0.00519267711931378i,-0.0022827528054172-0.00262469842186978i,0.0181411155399642-0.0109796366238513i,0.00247763170843178-0.00775281528911811i,-0.033819918881756-0.0691711317588717i,0.00907104071785584-0.0160915122968923i,0.00544317553700778-0.0121304181033597i
