x,y,f_{1} = 112 Hz,f_{2} = 187 Hz,f_{3} = 286 Hz,f_{4} = 376 Hz,f_{5} = 499 Hz,f_{6} = 684 Hz,f_{7} = 731 Hz,f_{8} = 842 Hz,f_{9} = 985 Hz,f_{10} = 1197 Hz,f_{11} = 1373 Hz
-0.077,0.123,0.000544456915860706+7.53280485292076e-06i,0.000170957067476664-0.000188632484110502i,-0.000567261226113429-0.000673450445343794i,-0.00898418089339221+0.000203034929120816i,0.00253843491931705-0.00121831472459202i,-0.000265716541496675-0.000160276413836039i,-0.000975834014571533+1.99293783331049e-05i,0.00017884966667252+1.34365208582919e-05i,-0.00132042181980747+0.0004094690462897i,-0.000370081984476928+1.68640125523562e-05i,0.000824441908673289+0.000237120298846624i
-0.072,-0.102,-0.00167456858212944-0.00135733637369113i,0.000173490426563125-0.000872741830736378i,0.00815531716449816-0.0033422437208703i,-0.0497120519971087-0.00307539085940995i,0.000104203888990088+0.000787025371484539i,-0.00187710013429623+0.000505693725428142i,-0.00178149424680896+0.000515612459694797i,7.43909668289684e-05+0.000652253579600797i,0.000943607318776795-0.000622766516959327i,0.00624152111531375-0.000679705745455379i,-0.00052360773597703-0.000510757317479454i
-0.051,-0.121,-0.00129286426816397-0.00139424118060256i,-0.000244143037557213-0.000944561782900812i,0.00222304387856301-0.00278077793768112i,-0.025369894425069-0.00224512636713975i,0.00155203435755645-0.000356564836970071i,-0.00194182432574753+0.00117755389707427i,0.00702271709854569+8.28469611201191e-05i,0.000251183152174227-0.000993066045051059i,-0.00986383449945977+0.00133894591997955i,-0.00695687966347064+9.01175300960534e-05i,0.000472330197949067+0.000546401512412781i
-0.05,0.126,0.000378451595168423-0.000525922120151909i,-0.00010428985106298-0.0004060326801209i,-7.66419264585775e-05-0.00102347476688945i,0.00224484995090662-0.000101998229667891i,0.00174227934537488-0.000951130074111132i,-0.00134792976206309-0.000942588863649819i,-0.00372204503821049+6.96946999081768e-05i,0.000199352999141157-5.17709797824121e-05i,-0.00573685589002032+0.00156651562928168i,-0.000332092201651169+0.000334954916569087i,0.00109798615194988+0.000258704327196724i
-0.048,-0.08,-0.000803452202150717-0.00121026386897542i,6.48347188245564e-05-0.000677617065096956i,0.00416313568755996-0.00107079106306313i,-0.00733426906036599-0.00186019646435191i,0.00116378956338508-0.000609801111576863i,0.00134087730584583-0.000265761527473957i,0.000712429858890754-0.000840845102109409i,-0.000474757650374346-0.000723871822993664i,-0.0067919761820578+0.00241674220233974i,-0.00479394553340655+0.000231610828106813i,0.00163330295328338+0.000310201224511622i
-0.047,0.046,0.000249369997221667-0.000798827839502529i,0.000608514125256916-0.000417475064234902i,-0.00155294092331497+0.00183386426487572i,0.0250559390111897-0.00112282520194347i,-0.00305118409329835+0.00030584119427823i,-0.000276757339143994-0.00079678134810739i,-0.00340938851772696-2.7851026044119e-05i,0.001377591295683-0.000142280080850846i,0.00388917690356555-0.00324871210219398i,-0.00246591941533194-0.000751911005556161i,-0.00150890059484671-9.40390704092852e-05i
-0.041,-0.041,-0.000592919385570514-0.00138533824889528i,0.000167541465263246-0.000632039694163412i,0.00418116610952764-0.000527214526247535i,-0.00357933357846261-0.00155843713194361i,0.000246212497590292-0.000383856762030588i,0.00207318119847949-0.00100718161801946i,-0.00284819410951404-0.000945912489041861i,-0.000505816148220539-0.00029956776652915i,-0.000843380186627114+0.00147239247968058i,-0.0065141720106831+5.74303642521451e-06i,0.00212928324546476+0.000459815558462521i
-0.04,0,-0.000169085352157604-0.000934795237850677i,0.000308789272881408-0.000517603316549219i,0.000641326870898982+0.00141718789981182i,0.0180617269281922-0.000660077631544894i,-0.00190962509890802-5.33876851069572e-05i,0.00135917546661652-0.000780998938928438i,-0.00216244247417489-0.00042537800202919i,0.000685086579664534-0.000293513746313967i,0.00623426757286414-0.00336628032333514i,-0.00674169980087976-0.000239919177319762i,-0.00153836170929421-0.000195913755490265i
-0.028,0.026,9.16895358613115e-06-0.000631451336818061i,0.000152252561065982-0.000125868031909884i,4.38450360941241e-05+0.00150570255903569i,0.0438779360112443+0.000662288872069194i,0.00153229466959676-0.00159678063235749i,0.000104083337616427-0.000319557679619226i,0.00012323167031383-0.000174142274221262i,0.000529049169906909-2.03400430693382e-05i,0.00888634105625565-0.00293248395445539i,0.00109578598970041-0.000681642038638509i,-0.000449118311998003-0.000312843525439079i
-0.026,-0.023,-0.000257878031397636-0.00082377099003057i,8.54883144083453e-05-0.000167085797060509i,0.00136112646493736+0.00121750672605561i,0.0381447207097057+0.000105363357396745i,0.00223613525326055-0.00183339531729152i,0.00144987651540681-0.000227499596106614i,0.00228962587370879-0.000651007148960651i,0.000153353211687384-0.000347659699474582i,0.00662041782357655-0.00159512652165965i,-0.00149172289890174-0.00024497506596441i,0.00105729189352423-9.14423319712112e-05i
0,-0.136,-0.000126340360643217-0.00154306697227542i,-0.000584180489681431-0.00125703559087771i,-0.00748314407195312-0.000389855279851478i,-0.0068918730201731+0.000645658165887023i,-0.00260584069694993+0.00112134188667679i,0.00140444063926856-0.00159075964250953i,-0.00818498277694588+0.000400733682063365i,-0.000519283347855461+0.000954067031412752i,0.00275740987059285+4.61101285777928e-05i,0.00608915947653859-0.000251383153021295i,-0.000995083106855515-0.00054226815856182i
0,-0.119,-3.37997272610183e-05-0.00140465694301379i,-0.000413372835697426-0.00094447205375176i,-0.00374637446201238-0.000240402133228431i,0.00354511257857516+1.42333334261977e-06i,0.000436351105901989-0.000572189633248194i,0.00169965575933681-0.000484796344537718i,0.00184721384403154-0.00105824389540344i,-0.000543067023197448-0.00120448496290343i,-0.0169156068215725+0.000456211320216099i,0.00458628622878992-0.00100985684397296i,-0.00242942683109533-0.000382538100057141i
0,-0.079,-8.57839286966547e-05-0.00120463303082761i,-0.00022144423520324-0.000535555756248079i,-0.000153936416698934+0.000255590845678056i,0.0192843893309765+0.000891151946362292i,0.00324612964726557-0.00214906738554143i,0.00141856179202894+0.000237614610823642i,0.00702046409884317-0.00135240368553248i,-0.000342020785580649-0.00164097306982983i,-0.0126505405196166+0.000313609230162291i,0.00460410214482513-0.000832915604236032i,-0.000522339377131569-0.000452944242136565i
0,-0.04,-5.59077029314429e-05-0.000982538571812262i,-0.000162753488348372-0.000280142766564639i,0.000800375350933358+0.000570293481274964i,0.0333146277377797+0.000149499371916717i,0.00402658693262681-0.00221142220008476i,0.00140718747509974+0.000203326208907511i,0.00719611193661566-0.00099139792227923i,-0.000170852512192422-0.00105559297701291i,-0.00496622716555184+7.07459043487213e-05i,0.00421220096759686-0.000369237732478541i,0.00102652646625118-0.000316100386345229i
0,0,-2.96215654358516e-05-0.000649744373421005i,-6.76768880977379e-06+6.46636042484099e-05i,0.000892617896745685+0.00111862001253606i,0.0554744870009608+0.00105921665021431i,0.00428662689102137-0.00262760431138907i,0.000513473623129646+0.000351276617555841i,0.00393057235308423-0.000234103382948366i,0.000150945900429994+0.000193280425451336i,0.00956182480012435-0.00140941911667882i,0.00568234046244268-0.000428251659440669i,0.0012975963558075+3.89323045858243e-05i
0,0.05,3.59656671477835e-06-0.00064212453257531i,-2.94059023946623e-05-0.000100797372796478i,-1.1706402478119e-05+0.000847950089068094i,0.0455812289377355+5.22048287786534e-05i,0.0026842944481861-0.002159367879233i,-0.00141545323444754-0.000394238401853339i,-0.000147673361767643-1.11746156435084e-05i,-0.000275897159854705+6.44795714762555e-05i,0.00656678563447239-0.000975058930108318i,0.00458067072343397-0.000897148835312044i,-0.000596200486324579-0.000675854059177989i
0,0.126,2.29339006764895e-05-0.000166342237020699i,-0.000302367177837386-5.00244464328274e-05i,0.000261235932030148-0.000110776624709284i,0.00411773648992772-0.000326757690222566i,-0.00113123526979715+0.000314873413570539i,-0.000623832715562524-6.18159818732465e-05i,-0.000216974398360863+6.02877309694307e-05i,-0.000391037832690935+4.98964635027111e-05i,-0.000678686066634529+0.000156595775101316i,-0.000730969468512184+0.000127662934516546i,-0.00066563705865157-4.74172324906406e-05i
0.027,-0.027,0.000227575358045466-0.000747909690839583i,5.13579181709696e-05-0.000132531997566309i,0.00212307323658-9.38743079060893e-05i,0.0462103126801546+0.000600625910989195i,0.00385321281841038-0.00262327289989446i,0.00138579457315509-0.000130117532391179i,0.00386266808541033-0.000853212384541858i,0.00039214878421256-0.000306625709698528i,0.00762377081130207-0.00118998313925642i,0.000847502043980464-1.6539103689331e-05i,0.00137834172458217-0.00017909060243503i
0.027,0.028,-7.92035645023739e-05-0.00069947358169087i,0.000177952873629798-0.000149146822357951i,0.000968765881234404-0.000182546789371409i,0.0454162563120844+0.000387110146244503i,0.00206660867190975-0.00188487660303863i,-4.67529041039012e-05-0.0003903800386114i,0.000470219956185296-0.000366305979381023i,0.000329018732276554-0.000172767300074368i,0.0085031926599286+4.81520633324535e-05i,0.00156064618739468-0.0006760803957628i,-0.00084350077644534-0.00043615947692393i
0.04,-0.041,0.00071959523444651-0.00112008847040483i,0.000149171042948684-0.000757671609897692i,0.00469953283511992-0.00141132330138223i,-0.0041183706210178-0.00126294970774603i,0.00173197388512696-0.00101160198264719i,0.00216124758142961-0.0010762808944296i,-0.00171968883300521-0.00113228596342701i,-0.000106287549531761-0.000362162567881877i,-6.23843483743256e-05-0.00172147226273743i,-0.00780269536535896+0.000736693387886964i,0.00186168257152401+0.000549071356771421i
