x,y,f_{1} = 112 Hz,f_{2} = 187 Hz,f_{3} = 286 Hz,f_{4} = 376 Hz,f_{5} = 499 Hz,f_{6} = 684 Hz,f_{7} = 731 Hz,f_{8} = 842 Hz,f_{9} = 985 Hz,f_{10} = 1197 Hz,f_{11} = 1373 Hz
-0.077,0.123,0.000486456088651885-0.000429616453462782i,4.81558963140812e-05-0.000299577291301021i,-0.000640187859316795-0.000621955810860069i,-0.00878428954688239-0.00247919959973781i,0.00243331998103248-0.00150690871227342i,-0.000163152424639017-0.000344338207237514i,-0.000979254838239155-5.71416379035966e-05i,0.000185599534807172-2.73671270410425e-05i,-0.00148475394247613-0.000110647652098135i,-0.000369787039149666+3.63946541629327e-05i,0.000845382161745836+0.000171908523207829i
-0.072,-0.102,-0.00102402914373961-0.00227353190516403i,4.24480847548074e-05-0.000966192678593193i,0.00777805749013144-0.00422554180597078i,-0.0497120519971087-0.00307539085940995i,4.34273293622252e-06+0.000875163899901692i,-0.00194725327068687+0.000201580087045658i,-0.00162448458126674+0.00106756070170615i,2.14551076178766e-05+0.000667930259387773i,0.00130816065971175+0.000585106229071677i,0.00633275037890399+0.000181448837752332i,-0.000419593254291993-0.000622473608555733i
-0.051,-0.121,-0.000611574510869924-0.00223237204088035i,-0.000120362513592166-0.00117000572750384i,0.00143127206246987-0.00340206140722191i,-0.025369894425069-0.00224512636713975i,0.00167310385495064+0.000563695115859385i,-0.0013896780556538+0.00198308244716035i,0.00701512074056316-0.000340404647149838i,0.00102434034664731+0i,-0.0100622309141231-0.000680422906374298i,-0.00695636203397655-0.00020524316193154i,0.000722253714882505+0i
-0.05,0.126,0.000139064522636843-0.000924323909844995i,0.000419212249774383+0i,-0.00059108172321176-0.000899075976134143i,0.00223287349819943-0.000345125191331218i,0.00150118267404205-0.00135424224217409i,-0.00105095971331208-0.00154060929320679i,-0.00371275124945672+0.00027689360131566i,0.000205965658822545+0i,-0.00608606152873575-0.000457723362988477i,-0.000321089379961987+0.000411150822115251i,0.00115702131189939+3.61502070626549e-05i
-0.048,-0.08,-0.000264095331881253-0.00180399250867042i,0.000680711706727357+0i,0.00395730287315114-0.0017572026220214i,-0.00733426906036599-0.00186019646435191i,0.00120540127914707-0.000527549015643337i,0.00128021333909535-0.000515108406633769i,0.000551780926432543-0.00100564076463983i,-0.000324676902979913-0.000921480399442737i,-0.00735689712794761+0.000500746693418913i,-0.00479394553340655+0.000231610828106813i,0.00166226810002814+0.000164553909153692i
-0.047,0.046,8.38387795740183e-05-0.0010258843272639i,0.00042666849935764-0.000681111628840445i,-0.000757481614399773+0.00234309092821583i,0.0250559390111897-0.00112282520194347i,-0.00311595887920191-0.00119894364089771i,-0.000219431158415076-0.000843982350334449i,-0.00339265619132006-0.000460489857991276i,0.001377591295683-0.000142280080850846i,0.0043965914332505-0.00258129929668847i,-0.00230475552320194-0.00151129688910175i,-0.00152274628958406+0.000389735229430873i
-0.041,-0.041,-0.000145427435467696-0.00181674348441154i,7.08914063396329e-05-0.000714838918618416i,0.00409856905769779-0.00118858424279236i,-0.00329738113908151-0.00211333180530856i,0.000123169124697229-0.0004883276996471i,0.00176387148120291-0.00164483559774364i,-0.00270124463991642-0.0013876925580906i,-0.000448217550263115-0.000420626769542801i,-0.00126616010142082+0.00114876344646142i,-0.00650923484132594+0.000285994557538187i,0.00222313362190109+7.12402552554171e-05i
-0.04,0,0.000949964206179667+0i,0.000177200631783275-0.000651225395433793i,0.00181006556629039+0.000508030521081502i,0.0180617269281922-0.000660077631544894i,-0.00179760018739804-0.0013426014921541i,0.00103237104280005-0.00131693341047373i,-0.00204674570648582-0.000942454951853836i,0.000702604410156235-0.000251237971408922i,0.00670122501610439-0.00244569429761038i,-0.00671945944848506-0.00118340512360333i,-0.00156967952701647-4.34693729166879e-05i
-0.028,0.026,0.000631517901946715+0i,0.000114522232139141-0.000176587384235881i,0.000472970059371439+0.00150976541035561i,0.0438779360112443+0.000662288872069194i,0.00111904315924913-0.0020035336408634i,0.000336081019655974+0i,0.000282693032816304-0.00029556607485259i,0.000529761817276981+1.52744093364078e-05i,0.00927321478549616-0.001582515212828i,0.000945639821051196-0.000997691863225279i,-0.000309341940219954-0.000528445607995292i
-0.026,-0.023,0.000863191591185564+0i,5.25098290006465e-05-0.000197041995098278i,0.00119489528222115+0.00141483907671663i,0.0381447207097057+0.000105363357396745i,0.00196389798920566-0.00218434662325982i,0.00144987651540681-0.000227499596106614i,0.00216555704817116-0.00107794366570126i,0.000129415877450071-0.000361435234273957i,0.00662041782357655-0.00159512652165965i,-0.00131287872308522-0.000848816463663908i,0.0010222094571117-0.000638099562090096i
