force,acc1
-0.004966,-0.007447
0.011875,-0.002811
0.01684,-0.002219
0.024181,-0.002614
0.00475,-0.004488
0.006477,-0.000937
0.020079,-0.005672
0.010363,-0.002219
-0.00842,-0.004784
0.010147,-0.002466
0.00842,-0.006757
0.0095,-0.006017
0.005398,-0.004784
0.006261,-0.004143
0.028499,-0.007546
0.021374,-0.000641
0.014034,-0.004389
0.01684,-0.005524
0.001943,-0.003945
0.013386,-0.003896
0.017056,-0.002466
0.024613,-0.001923
0.010795,-0.004734
0.014681,-0.005918
0.014681,-0.00148
0.021158,-0.000592
0.015113,-0.003354
0.016408,-0.005967
-0.015329,-0.002663
0.01792,-0.001578
0.013386,-0.00286
0.003023,-0.00577
0.00842,-0.008285
-0.002807,-0.000838
0.009716,-0.001529
0.00367,-0.003206
0.019647,-0.006017
0.000648,-0.002959
0.001943,-0.004734
0.012306,-0.000592
0.016624,-0.005376
0.015761,0.001381
0.018136,-0.007102
0.007772,-0.002515
0.005613,-0.008335
0.019431,0.005228
0.019215,-0.014746
0.009284,0.017064
0.000432,-0.034128
0.174232,0.082459
0.608626,-0.556894
1.044746,-2.585768
1.483242,4.193175
1.893238,10.846261
2.217738,14.598833
2.528204,17.683892
2.69488,18.410882
2.797865,17.498705
2.805637,17.306662
2.735901,16.262906
2.603769,13.892211
2.4494,11.471508
2.307985,6.953972
2.125548,2.170021
1.975497,-3.100594
1.804719,-4.72758
1.681655,-6.483038
1.54758,-9.783073
1.447402,-8.565176
1.361473,-7.557372
1.252227,-7.867629
1.180116,-6.65634
1.095051,-3.634013
1.033088,-2.030354
0.94392,-1.122073
0.841799,-0.430493
0.715713,-0.74213
0.566525,-0.374961
0.44562,0.635555
0.330545,0.100854
0.223026,-0.521385
0.151994,-1.523962
0.080747,-2.529941
0.017056,-3.924247
-0.043612,-5.145398
-0.037783,-5.734003
-0.049225,-8.378509
-0.048578,-10.898044
-0.042101,-11.212197
-0.064123,-10.806511
-0.045555,-8.783702
-0.050737,-5.903212
-0.034544,-4.963072
-0.028283,-5.331622
-0.040374,-4.32288
-0.033465,-2.228118
-0.042964,1.257006
-0.036919,5.147223
-0.009068,8.097695
-0.000432,10.400676
0.010363,10.509372
0.020511,9.085328
0.032385,6.532553
0.048794,4.726446
0.032169,3.42032
0.039078,1.535601
0.056566,0.016965
0.058941,-1.216467
0.058941,-3.796761
0.063691,-7.021981
0.0706,-9.398643
0.032601,-10.533735
0.073406,-10.721734
0.059805,-9.881313
0.058077,-9.430896
0.03843,-9.726801
0.033033,-9.704757
0.01792,-8.281748
0.015761,-5.930682
0.007125,-4.799781
-0.003239,-4.994487
0.00108,-5.220115
-0.019863,-4.361447
-0.031737,-3.459675
-0.027204,-2.958609
-0.043396,-1.652927
-0.02526,-0.065592
-0.042317,0.801558
-0.01792,0.908873
-0.036919,1.178739
-0.028499,1.752154
-0.025476,1.923631
-0.022886,1.583044
-0.024397,1.274908
-0.009068,1.564501
-0.00108,2.152021
-0.00842,2.240743
0.011227,1.690704
0.018136,0.902265
-0.00108,0.6323
0.018136,1.482633
0.015545,3.436693
0.031522,5.865385
0.02267,7.653837
0.025692,8.513688
0.046851,8.573165
0.031522,8.093552
0.032169,7.829259
0.035192,8.123932
0.03476,9.057858
0.039078,10.222492
0.03584,10.695349
0.024181,10.589563
0.030442,10.445013
0.020942,10.083861
0.015761,9.182385
0.011875,8.086598
0.027419,7.365329
0.014249,6.446198
0.008204,4.723635
-0.002375,2.679324
0.006261,0.677179
0.000216,-1.226725
-0.020942,-3.0026
-0.023101,-4.340585
-0.028931,-5.218734
-0.011443,-5.496046
-0.016624,-5.119753
-0.037567,-4.047984
-0.023533,-2.425634
-0.020511,-0.448247
-0.017272,1.334927
0.005182,2.787231
-0.011011,4.06638
-0.005613,5.007112
-0.006477,5.658252
0.012522,6.288924
0.005398,6.846361
-0.003239,6.881721
0.018352,6.326307
0.005613,5.249606
0.022454,3.571725
0.039942,1.570172
0.011659,-0.205605
0.025476,-1.61944
0.042101,-2.683812
0.033249,-3.458442
0.030226,-4.026876
0.052896,-4.283032
0.042317,-4.229966
0.02526,-3.863142
0.022238,-3.219992
0.015545,-2.069512
0.018136,-0.490167
0.025045,1.178541
0.008204,2.636171
0.005829,3.450601
0.000648,3.555993
0.000432,3.308418
-0.011659,3.123231
0.000432,3.21654
0.007341,3.380619
0.001727,3.408434
0.001295,3.092605
-0.014681,2.453597
-0.015329,1.636554
0.004966,0.721318
-0.018136,-0.244221
-0.002375,-1.130851
-0.006045,-2.071386
-0.013818,-3.248941
-0.014249,-4.559703
-0.002159,-5.821739
0.012738,-7.041017
-0.012954,-8.191497
0.0095,-9.138986
0.012738,-9.784651
0.017272,-10.28044
0.00475,-10.697519
0.000864,-10.966151
0.026556,-11.000082
0.02634,-10.569244
0.018136,-9.465418
0.027419,-7.899241
0.025692,-6.094613
0.01209,-4.345714
0.032601,-2.984057
0.028067,-2.078389
0.026124,-1.520608
0.029363,-1.254047
0.020295,-1.171637
0.013818,-1.187764
0.011227,-1.458517
0.017272,-2.011515
0.014249,-2.804245
-0.005398,-3.657636
-0.011875,-4.356416
0.005829,-4.828385
-0.001727,-5.01308
-0.005829,-5.029847
0.001727,-4.819262
-0.004966,-4.302759
0.007125,-3.447001
-0.011659,-2.165238
