force,acc1
0.013818,-0.002269
-0.010147,-0.007546
0.016193,-0.00217
0.008852,-0.005228
0.00842,-0.005425
-0.005613,-0.009716
0.007125,-0.008483
0.003023,-0.005425
-0.000864,-0.005178
0.00842,-0.006165
0.004966,-0.005869
0.00367,-0.008335
-0.005182,-0.006904
0.009284,-0.010948
0.007772,-0.01159
-0.003023,-0.011984
-0.008204,-0.008236
-0.009068,-0.013414
0.00475,-0.009814
-0.000648,-0.010751
0.008204,-0.009124
0.00475,-0.009666
-0.000648,-0.008137
0.028283,-0.007891
0.002807,-0.006313
0.001295,-0.00503
0.015113,-0.0036
0.013602,-0.006954
0.023101,-0.007891
0.003023,-0.005326
0.012522,-0.004241
0.003239,-0.006115
0.010363,-0.006461
0.013818,-0.004093
0.002375,-0.003797
0.023317,-0.001677
0.002375,-0.001085
-0.00367,-0.000937
0.014249,-0.0036
0.012738,0.000395
0.003239,-0.002811
0.005613,-0.002712
0.0095,-0.006904
0.008204,-0.000838
-0.002807,-0.009518
0.002375,-0.000641
0.016408,-0.010357
-0.000432,-0.001134
0.019431,-0.012576
0.095428,0.004734
0.390134,-0.00794
0.811789,0.01731
1.252659,-0.0289
1.717926,-0.233716
2.143036,-0.485827
2.496035,0.727532
2.814489,1.498514
3.009664,-0.929192
3.130137,-2.039724
3.17526,-2.16869
3.129057,-2.33346
3.05781,-2.263084
2.914451,-2.218994
2.777354,0.454116
2.626223,1.460194
2.442923,1.5284
2.296758,4.955625
2.164194,10.0413
2.023858,14.420747
1.908783,16.36302
1.804503,16.132707
1.685973,15.781517
1.558375,13.15807
1.462515,8.28091
1.367519,5.98069
1.244239,5.599071
1.114914,4.896493
0.986669,3.446261
0.853242,0.141393
0.718519,-2.784814
0.624171,-3.963158
0.490096,-3.702219
0.400713,-2.175792
0.280456,-1.218982
0.201004,-1.220313
0.122632,-1.200932
0.036271,-1.699532
-0.023749,-3.936231
-0.067577,-5.954453
-0.068657,-6.851884
-0.069952,-6.719023
-0.073622,-5.668263
-0.067145,-4.688028
-0.060236,-3.575226
-0.084633,-1.937884
-0.066929,-0.787256
-0.069304,-0.308432
-0.05635,0.056222
-0.05743,0.58535
-0.046635,1.652779
-0.033896,2.402159
-0.009931,3.372087
-0.009068,3.113614
0.027635,1.388289
0.022238,-0.187555
0.020727,-1.576682
0.037351,-3.108534
0.049225,-4.754656
0.055055,-5.936847
0.050521,-7.160908
0.047282,-8.200966
0.03843,-7.614284
0.051385,-4.994733
0.058509,-1.801225
0.041453,0.917405
0.056782,2.613337
0.040805,3.531186
0.035408,3.755679
0.037351,4.101642
-0.001511,4.810384
0.009716,6.086229
-0.010579,8.339696
0.006261,10.266237
-0.00842,11.119085
-0.011875,11.040177
-0.045555,10.548185
-0.029794,10.263376
-0.032169,10.514699
-0.03843,10.463655
-0.054407,9.49062
-0.030442,7.730723
-0.03584,5.779277
-0.055918,3.452327
-0.030442,0.627073
-0.040158,-2.172685
-0.035624,-4.384675
-0.020295,-6.033114
-0.028499,-8.047194
-0.018136,-10.434064
-0.02267,-12.254671
-0.011443,-13.309475
0.016193,-14.463999
0.005398,-15.556234
-0.001943,-15.796756
0.017488,-14.905341
0.00842,-13.455751
0.026772,-11.279515
0.037999,-8.010699
0.02526,-3.766578
0.027851,0.772806
0.0516,4.473003
0.037999,7.146902
0.038646,9.107324
0.027204,10.386473
0.044044,10.579601
0.043612,9.856901
0.036703,8.616614
0.030658,6.98948
0.032385,5.242406
0.011011,3.467073
0.007125,1.067676
0.00475,-1.832788
0.010147,-4.331018
-0.004966,-6.148961
0.006477,-7.206527
-0.010363,-7.671986
-0.002591,-7.595396
-0.020511,-7.159626
-0.041885,-6.53931
-0.022238,-5.688533
-0.033681,-4.400999
-0.025692,-2.513913
-0.026772,-0.313364
-0.018352,1.659733
-0.022454,3.15652
-0.023317,4.127977
-0.014249,4.47828
-0.016193,4.344925
-0.006261,3.929622
-0.023533,3.181672
0.002159,2.001454
-0.010147,0.572774
0.004102,-0.812457
0.013818,-1.743671
0.016193,-2.053385
0.035408,-1.656922
0.015113,-0.438729
0.033465,1.591033
0.018568,4.095527
0.018136,6.575459
0.042533,8.613359
0.042964,9.798361
0.029363,9.863559
0.030874,8.714805
0.030874,6.63178
0.015329,3.886963
0.031953,0.70386
0.017704,-2.618269
0.014897,-5.747812
0.02159,-8.09587
-0.001511,-9.184555
0.017704,-8.990786
0.002159,-7.829506
0.004102,-5.924123
-0.001511,-3.640769
-0.011011,-1.445991
-0.022022,0.212361
-0.009284,1.067034
0.006261,1.246057
-0.022022,0.889245
