force,acc1
-0.006909,-0.000986
-0.0095,0.000838
-0.005829,0.003649
-0.017488,0.002663
0.005613,-0.000789
-0.00842,0.001923
-0.009068,0.00069
-0.018999,-0.006609
0.010147,0.002121
-0.006909,0.003699
-0.006909,-0.000444
-0.006261,0.000197
-0.020295,0.000247
-0.016624,0.000148
-0.02526,-0.002712
-0.006261,0.000542
-0.010795,0.001923
-0.007341,9.9e-05
-0.004102,0.002417
-0.002375,0.000641
-0.008636,0.000789
-0.009284,0.001134
-0.005829,-0.001036
-0.00475,-0.000395
-0.007772,-0.000542
-0.001511,0.002712
0.005829,-0.002269
0.01792,0.001381
0.000648,-9.9e-05
-0.019215,-0.00069
0.000216,-0.000296
0.008852,-0.000888
0.006693,-0.001036
-0.003454,-0.000542
-0.002591,0.001134
0.003023,0.001825
0.004966,-0.001085
0.000432,0.003354
-0.018136,-0.000986
-0.013602,0.002121
-0.0095,-0.000345
0.009284,0.004093
-0.0095,0.001726
-0.013602,0.007003
0.005829,-0.002219
0.003886,0.005721
-0.003886,-0.006263
0.017056,0.007743
-0.007341,-0.005474
0.199277,0.009518
0.630216,0.0036
1.060939,0.010258
1.540024,-0.000838
1.957577,0.00794
2.334325,-1.514789
2.620394,3.105871
2.852056,4.740649
3.006425,0.873907
3.081775,-2.564069
3.071627,-5.657068
3.024345,-6.951358
2.919417,-6.727407
2.757491,-7.677164
2.565339,-5.371273
2.3883,0.909909
2.224863,6.082925
2.05538,10.809667
1.923033,13.367275
1.811412,11.39191
1.712097,7.164015
1.646463,5.59404
1.562477,8.083787
1.51757,12.129306
1.442005,13.970725
1.386302,12.149082
1.295192,10.274424
1.199547,6.367191
1.110164,4.526907
1.001134,5.849111
0.857776,5.700665
0.743132,6.337848
0.611001,7.120862
0.498516,6.90278
0.383225,5.35919
0.281103,3.192818
0.196686,0.635555
0.106655,-0.272627
0.049873,-0.618097
-0.011011,-3.579813
-0.036919,-7.226254
-0.066713,-10.822637
-0.063259,-14.409799
-0.055703,-14.447576
-0.06952,-12.726048
-0.060236,-8.94502
-0.066713,-4.837854
-0.0516,-1.561246
-0.05268,1.154228
-0.041021,3.843612
