force,acc1
0.005398,9.9e-05
-0.005613,0.003403
0.016624,-0.000641
0.003886,-0.000542
0.009068,0.000444
0.028283,-0.000345
0.022454,0.001134
0.016193,-0.001282
0.01684,0.002121
0.009716,-0.002367
0.002375,-0.000395
0.010363,0.003304
0.008204,0.001874
0.016193,-0.000444
0.016624,-0.002811
0.000216,0.001677
0.008852,-0.000296
0.00475,-0.002959
0.005182,-0.001627
-0.012306,-0.001775
0,-0.003551
0.018783,-0.000444
0.002375,-0.004439
0.014249,-0.000986
0.005829,0.002367
-0.00842,-0.000296
-0.003886,-0.000493
-0.001943,-0.001233
0,0.001036
0.01317,-0.001627
0.015113,0.000296
0.015545,-0.003058
0.006045,0.00143
-0.012306,-0.001726
0.007341,0.001233
0.012522,-0.000395
0.010795,-0.000345
0.009284,0.001529
0.01317,-0.003156
0.01684,-0.000937
-0.004102,-0.001677
0.007125,-0.002959
0.005829,-0.005228
0.007988,0.000395
0.009284,-0.000838
0.004102,0.000148
0.019647,-0.005129
-0.011443,0.005622
0.017272,-0.000986
0.004534,0.003354
0.294273,-0.004882
0.740757,0.005474
1.265397,-0.011491
1.782481,-0.039553
2.219681,-0.193374
2.589088,-0.219808
2.855942,-0.124675
3.002971,-2.345839
3.075514,-2.59144
3.101206,0.071067
3.042481,2.228019
2.940359,1.788945
2.804989,-0.291763
2.608951,-2.811446
2.390243,-4.39227
2.157285,-4.66761
1.943759,-5.780313
1.779026,-6.71636
1.604146,-5.713043
1.432937,-4.763927
1.29001,-4.496577
1.132186,-5.253651
0.976953,-5.320426
0.834027,-1.820903
0.710747,2.992638
0.582718,4.487798
0.465267,3.266942
0.373725,3.999308
0.300103,7.03722
0.228639,9.100666
0.170562,9.372011
0.129109,8.342902
0.083986,8.107706
0.035624,7.780287
0.013818,7.124758
-0.012306,6.808436
-0.021374,7.190893
-0.054407,6.92517
-0.072543,5.198119
-0.062611,2.162624
-0.066929,0.714118
-0.071895,1.52411
-0.082906,3.309158
-0.083986,4.326678
-0.045771,5.060572
-0.034328,6.740328
-0.042964,10.351112
-0.045339,14.862287
-0.019215,18.191074
0.001295,20.401092
-0.009068,22.149054
-0.008852,22.58004
-0.000864,20.144295
0.037135,15.994224
0.031306,11.574483
0.020727,7.505687
0.037783,2.58562
0.058293,-3.565955
0.054407,-9.259962
0.053112,-13.753974
0.069304,-16.629187
0.066713,-19.873641
0.054623,-22.933153
0.060236,-23.847945
0.047282,-23.218209
0.049441,-20.387825
0.036271,-15.332382
0.011659,-9.064763
0.018999,-3.009751
0.008636,1.360523
-0.012306,3.962517
-0.007557,4.945071
-0.009068,5.525686
-0.011227,6.728985
-0.029578,7.786649
-0.030658,8.77951
-0.049441,10.239112
-0.033249,11.655266
-0.037783,12.009908
-0.027851,11.060052
-0.040805,9.713338
-0.040589,8.736752
-0.042748,7.584398
-0.052896,5.905382
-0.027204,3.89076
-0.017488,2.085836
-0.040374,0.06505
-0.000864,-2.624976
-0.011011,-5.297691
-0.003886,-7.179747
0.01317,-8.128124
-0.003023,-8.832576
0.022022,-9.254241
0.011227,-9.145939
0.03476,-8.560392
0.029578,-7.211261
0.041669,-5.611301
0.039942,-4.869516
0.030874,-4.980924
0.047282,-4.699765
0.045339,-3.277842
0.058293,-1.37522
0.061964,0.057948
0.045123,0.818967
0.050089,0.378907
0.015329,-1.52337
0.029794,-3.929425
0.017056,-5.66343
0,-6.818842
-0.006477,-8.297924
-0.001295,-10.318168
0.005398,-11.706507
-0.024181,-11.664883
-0.01684,-10.761977
-0.022022,-9.985373
-0.021806,-9.648978
-0.025908,-9.407076
-0.026556,-9.089964
-0.029147,-8.268038
-0.025908,-6.710392
-0.036056,-4.690691
0.000864,-2.995992
-0.017056,-2.162722
-0.023749,-1.496541
-0.008204,-0.108153
-0.023965,2.212089
-0.015977,4.540272
0.001727,6.156458
0.003239,7.233947
-0.006045,7.964538
0.009931,8.332348
0.009284,7.947178
0.009716,6.372271
0.03001,3.59372
