x,y,p
176,-211.328,0.000102781185078932+0.00036351000564349i
176,-152.470857142857,-0.00271864125956351+0.0041442168345499i
176,-93.6137142857143,-0.0133904960621715+0.0162904052330578i
176,-34.7565714285714,-0.0142757956972365+0.016989134036044i
176,24.1005714285714,-0.015789000256808+0.018669800087599i
176,82.9577142857143,-0.0157582577454962+0.0193250078378011i
176,141.814857142857,-0.00233719595407956+0.0050804248072839i
176,200.672,0.000435088814493126+0.00178770565041689i
126,-211.328,0.00095792483750618-0.00051725287834389i
126,-152.470857142857,-0.00331406103969037+0.00506000597250398i
126,-93.6137142857143,-0.0110480243823304+0.00820956737949131i
126,-34.7565714285714,0.0351209111705483-0.0346720014706068i
126,24.1005714285714,0.0333296499818243-0.0337870895176286i
126,82.9577142857143,-0.0166922267310753+0.0138366477186358i
126,141.814857142857,-0.00322617557733116+0.00454775148063756i
126,200.672,0.000990730690033982+0.000609062562084858i
74,-211.328,0.00270312180886226-0.00301417795199175i
74,-152.470857142857,0.0064243370406966-0.00782563463631369i
74,-93.6137142857143,0.0413678035662227-0.0492483745195703i
74,-34.7565714285714,0.13671618073757-0.147225579167627i
74,24.1005714285714,0.139062803671244-0.150320517238392i
74,82.9577142857143,0.0373114305644761-0.0421154501245349i
74,141.814857142857,0.00580516718451073-0.00590056400893635i
74,200.672,0.00266397089374276-0.00205339013404876i
23,-211.328,0.00312464511364783-0.00470751562326623i
23,-152.470857142857,0.0105540358083884-0.0127217582208152i
23,-93.6137142857143,0.0442252356251966-0.0492532934448701i
23,-34.7565714285714,0.161587783386427-0.167701806690183i
23,24.1005714285714,0.186572873840368-0.192809637802834i
23,82.9577142857143,0.0506408372672936-0.0540965601716333i
23,141.814857142857,0.0086204752156045-0.00891084380051765i
23,200.672,0.00256921764422797-0.00206559877813973i
-27,-211.328,0.00161107429581959-0.00320344069205379i
-27,-152.470857142857,0.00502910012453075-0.00751013312512276i
-27,-93.6137142857143,0.0210685579063256-0.0282176073079565i
-27,-34.7565714285714,0.112511404633182-0.12908367499664i
-27,24.1005714285714,0.122745554578227-0.139905742643389i
-27,82.9577142857143,0.022691528915981-0.0273712867250479i
-27,141.814857142857,0.00477482053066838-0.00516733344693293i
-27,200.672,0.00181806780970466-0.00145780307404849i
-76,-211.328,0.000346333851463158-0.00174057633811773i
-76,-152.470857142857,-0.00231246185278944+0.00114109043909068i
-76,-93.6137142857143,-0.0183374162534918+0.0144530373744734i
-76,-34.7565714285714,0.026125812874239-0.0414976030804771i
-76,24.1005714285714,0.0277138259352854-0.0440833713286696i
-76,82.9577142857143,-0.0156944441808603+0.013387865040617i
-76,141.814857142857,-0.000294685281393679+0.000888553582468475i
-76,200.672,0.00101626543837028-0.000347829350051199i
-126,-211.328,-0.000275754088109806-0.000729048678748057i
-126,-152.470857142857,-0.00436993996271694+0.00478015084714771i
-126,-93.6137142857143,-0.0285617019619692+0.0342145747034344i
-126,-34.7565714285714,-0.0257755566486838+0.0297462429266965i
-126,24.1005714285714,-0.0274572780208614+0.0299986784171414i
-126,82.9577142857143,-0.0257078279090386+0.0300036090819757i
-126,141.814857142857,-0.00210219142617958+0.00349804851364636i
-126,200.672,0.000531823901389859+0.00021607034685858i
-178,-211.328,2.18323755972808e-05-0.00107872437470942i
-178,-152.470857142857,0.0114460954617221-0.0193466865775554i
-178,-93.6137142857143,-0.00621279363141671+0.00766805067907212i
-178,-34.7565714285714,-0.010858215533801+0.0137341993163635i
-178,24.1005714285714,-0.0111176837190599+0.0136657102753699i
-178,82.9577142857143,-0.00543174696158775+0.00657706323935888i
-178,141.814857142857,0.000245092673551525+0.00135955667285277i
-178,200.672,0.000614904840313091-0.000187041641686316i
